"lang"
{
"Language"	"danish"
"portal.glados.core_destroy4_02"	"<clr:219,112,147><I>Prøver du at flygte? [kluklatter] Der er sket ændringer, siden sidste gang du forlod bygningen. Det, der sker derude, vil få dig til at ønske, at du var herinde."
"[english]portal.glados.core_destroy4_02"	"<clr:219,112,147><I>Are you trying to escape? [chuckle] Things have changed since the last time you left the building. What's going on out there will make you wish you were back in here."
"portal.08_part1_success-1"	"<clr:219,112,147><I>Som en del af en tidligere nævnt påkrævet testprotokol, kan vi ikke længere lyve for dig."
"[english]portal.08_part1_success-1"	"<clr:219,112,147><I>As part of a previously mentioned required test protocol, we can no longer lie to you."
"portal.02_part2_success-1"	"<clr:219,112,147><I>Som en del af den påkrævede testprotokol, var vores tidligere erklæring, om at vi ikke ville overvåge dette kammer, en lodret løgn."
"[english]portal.02_part2_success-1"	"<clr:219,112,147><I>As part of a required test protocol, our previous statement suggesting that we would not monitor this chamber was an outright fabrication."
"portal.02_part1_success-2"	"<clr:219,112,147><I>Som en del af den påkrævede testprotokol vil vi ikke overvåge det næste testkammer. Du vil være helt på egen hånd. Held og lykke."
"[english]portal.02_part1_success-2"	"<clr:219,112,147><I>As part of a required test protocol, we will not monitor the next test chamber. You will be entirely on your own.  Good luck."
"portal.07_part1_get_device_component-2"	"<clr:219,112,147><I>Som en del at en valgfri testprotokol er vi glade for at præsentere et morsomt fact:"
"[english]portal.07_part1_get_device_component-2"	"<clr:219,112,147><I>As part of an optional test protocol, we are pleased to present an amusing fact:"
"portal.15_part1_partyspeech-7"	"<clr:219,112,147><I>Læg dig i festfølgeunderkastelsespositionen, eller du går glip af festen."
"[english]portal.15_part1_partyspeech-7"	"<clr:219,112,147><I>Assume the party escort submission position or you will miss the party."
"portal.generic_security_camera_destroyed-1"	"<clr:219,112,147><I>På Enrichment Center lover vi aldrig at sætte din sikkerhed over dine unikke ideer og kreativitet. Men, du må ikke ødelægge de vitale testapparater."
"[english]portal.generic_security_camera_destroyed-1"	"<clr:219,112,147><I>At the Enrichment Center we promise never to value your safety above your unique ideas and creativity. However, do not destroy vital testing apparatus."
"portal.03_part2_entry-1"	"<clr:219,112,147><I>Hørbare advarselsenheder er påkrævede på alt mobilt udstyr. Men da vi har konstateret, at alarmer og blinkende advarselslamper gør højenergikuglen urolig, er de derfor blevet deaktiveret for din sikkerhed."
"[english]portal.03_part2_entry-1"	"<clr:219,112,147><I>Audible warning devices are required on all mobile equipment. However, alarms and flashing hazard lights have been found to agitate the high energy pellet and have therefore been disabled for your safety."
"portal.glados.broke_my_heart"	"<clr:219,112,147><I>For på trods af din voldelige opførsel, så er det eneste, du hidtil har slået i stykker, mit hjerte."
"[english]portal.glados.broke_my_heart"	"<clr:219,112,147><I>Because despite your violent behavior, the only thing you've managed to break so far is my heart."
"portal.escape_00_part1_nag09-1"	"<clr:219,112,147><I>Jeg tror nemlig ikke, du skal derhen, hvor du tror, du skal."
"[english]portal.escape_00_part1_nag09-1"	"<clr:219,112,147><I>Because I don't think you're going where you think you're going."
"portal.00_part1_entry-4"	"<clr:219,112,147><I>Men, inden vi starter, skal du huske, at selv om sjov og læring er det primære mål i alle aktiviteterne i enrichment center, så kan det også være farligt."
"[english]portal.00_part1_entry-4"	"<clr:219,112,147><I>Before we start, however, keep in mind that although fun and learning are the primary goals of all enrichment center activities, serious injuries may occur."
"portal.glados.not_gonna_happen"	"<clr:219,112,147><I>Men vi ved, at det ikke kommer til at ske."
"[english]portal.glados.not_gonna_happen"	"<clr:219,112,147><I>But we both know that isn't going to happen."
"portal.10_part1_entry-2"	"<clr:219,112,147><I>Du vil blive tilbudt kage og krisehjælp, når testen er færdig."
"[english]portal.10_part1_entry-2"	"<clr:219,112,147><I>Cake and grief counseling will be available at the conclusion of the test."
"portal.post_escape_bridge_02"	"<clr:219,112,147><I>Kan du høre mig?"
"[english]portal.post_escape_bridge_02"	"<clr:219,112,147><I>Can you hear me?"
"portal.post_escape_bridge_06"	"<clr:219,112,147><I>Kan du høre mig?"
"[english]portal.post_escape_bridge_06"	"<clr:219,112,147><I>Can you hear me?"
"portal.generic_security_camera_destroyed-4"	"<clr:219,112,147><I>Visse objekter kan være vitale for din succes. Ødelæg ikke testapparaterne."
"[english]portal.generic_security_camera_destroyed-4"	"<clr:219,112,147><I>Certain objects may be vital to your success; Do not destroy testing apparatus."
"portal.glados.core_nag_11"	"<clr:219,112,147><I>Helt ærligt, lad den være."
"[english]portal.glados.core_nag_11"	"<clr:219,112,147><I>Come on, leave it alone."
"portal.15_part1_into_the_fire-1"	"<clr:219,112,147><I>Tillykke! Testen er nu overstået."
"[english]portal.15_part1_into_the_fire-1"	"<clr:219,112,147><I>Congratulations! The test is now over."
"portal.08_part1_trapped-1"	"<clr:219,112,147><I>På trods af bestræbelserne fra staben i Enrichment  Center for at sikre en sikker udførelse af alle godkendte aktiviteter, har du fanget dig selv permanent i dette kammer."
"[english]portal.08_part1_trapped-1"	"<clr:219,112,147><I>Despite the best efforts of the Enrichment Center staff to ensure the safe performance of all authorized activities, you have managed to ensnare yourself permanently inside this room."
"portal.13_part1_endnag-6"	"<clr:219,112,147><I>Tilintetgør din ledsagerkube, ellers kan testen ikke fortsætte."
"[english]portal.13_part1_endnag-6"	"<clr:219,112,147><I>Destroy your Companion Cube or the testing cannot continue."
"portal.glados.escape_02_miscbabble-06"	"<clr:219,112,147><I>Hørte du mig? Jeg sagde, du er ligeglad. Hører du efter?"
"[english]portal.glados.escape_02_miscbabble-06"	"<clr:219,112,147><I>Did you hear me? I said you don't care. Are you listening?"
"portal.glados.core_destroy1_02"	"<clr:219,112,147><I>Kastede du Aperture Science-dimsen vi ikke ved, hvad gør, ind i Aperture Science nødintelligenskrematorieovnen?"
"[english]portal.glados.core_destroy1_02"	"<clr:219,112,147><I>Did you just toss the Aperture Science Thing We Don't Know What It Does into the Aperture Science Emergency Intelligence Incinerator?"
"portal.10_part1_success-1"	"<clr:219,112,147><I>Vidste du, at du kan donere et eller alle dine vitale organer til Aperture Science selvagtelsesfond for piger? Det er sandt!"
"[english]portal.10_part1_success-1"	"<clr:219,112,147><I>Did you know you can donate one or all of your vital organs to the Aperture Science self esteem fund for girls? It's true!"
"portal.escape_nags_07"	"<clr:219,112,147><I>Det var da sjovt, ikke?"
"[english]portal.escape_nags_07"	"<clr:219,112,147><I>Didn't we have some fun, though?"
"portal.01_part1_get_portal_gun-6"	"<clr:219,112,147><I>Se ikke direkte ind i den farlige ende på enheden."
"[english]portal.01_part1_get_portal_gun-6"	"<clr:219,112,147><I>Do not look directly at the operational end of The Device."
"portal.01_part1_get_portal_gun-7"	"<clr:219,112,147><I>Nedsænk ikke enheden i vand, ikke engang delvist."
"[english]portal.01_part1_get_portal_gun-7"	"<clr:219,112,147><I>Do not submerge The Device in liquid, even partially."
"portal.01_part1_get_portal_gun-5"	"<clr:219,112,147><I>Rør ikke ved den farlige ende på enheden."
"[english]portal.01_part1_get_portal_gun-5"	"<clr:219,112,147><I>Do not touch the operational end of The Device."
"portal.glados.core_drop_2"	"<clr:219,112,147><I>Kan du se den dims, som faldt ud af mig? Hvad er det? Det er ikke overraskende... Jeg har aldrig set den før."
"[english]portal.glados.core_drop_2"	"<clr:219,112,147><I>Do you see that thing that fell out of me? What is that? It's not the surprise... I've never seen it before."
"portal.glados.core_nag_3"	"<clr:219,112,147><I>Tror du, jeg prøver at narre dig med omvendt psykologi? Jeg mener, helt ærligt."
"[english]portal.glados.core_nag_3"	"<clr:219,112,147><I>Do you think I am trying to trick you with reverse psychology? I mean, seriously now."
"portal.glados.core_destroy3_05"	"<clr:219,112,147><I>Tror du ikke på mig? Prøv bare at høre her: [Hallooo!] Det er dig! Så dumt lyder du."
"[english]portal.glados.core_destroy3_05"	"<clr:219,112,147><I>Don't believe me? Here, I'll put you on: [Hellooo!] That's you! That's how dumb you sound."
"portal.11_part1_entry-1"	"<clr:219,112,147><I>På grund at påkrævet, planlagt vedligeholdelse, er det passende kammer til denne testsekvens ikke tilgængelig nu."
"[english]portal.11_part1_entry-1"	"<clr:219,112,147><I>Due to mandatory scheduled maintenance, the appropriate chamber for this testing sequence is currently unavailable."
"portal.15_part1_entry-3"	"<clr:219,112,147><I>Enrichment Center-forskrifter kræver, at begge hænder er tomme, før du kan få serveret kage [fordrejet]."
"[english]portal.15_part1_entry-3"	"<clr:219,112,147><I>Enrichment Center regulations require both hands to be empty before any cake can be served [garbled]."
"portal.00_part1_success-1"	"<clr:219,112,147><I>Fremragende. Fortsæt ind i slusekammeret, når du har afsluttet hver enkelt test."
"[english]portal.00_part1_success-1"	"<clr:219,112,147><I>Excellent. Please proceed into the chamberlock after completing each test."
"portal.05_part1_success-1"	"<clr:219,112,147><I>Fantastisk! Du forblev beslutsom og opfindsom i en atmosfære af ekstrem pessimisme."
"[english]portal.05_part1_success-1"	"<clr:219,112,147><I>Fantastic! You remained resolute and resourceful in an atmosphere of extreme pessimism."
"portal.00_part1_success-2"	"<clr:219,112,147><I>Bemærk først det fluorescerende partikelfelt hen over udgangen."
"[english]portal.00_part1_success-2"	"<clr:219,112,147><I>First, however, note the incandescent particle field across the exit."
"portal.07_part1_entry-3"	"<clr:219,112,147><I>For eksempel, gulvet her vil dræbe dig - prøv at undgå det."
"[english]portal.07_part1_entry-3"	"<clr:219,112,147><I>For instance, the floor here will kill you - try to avoid it."
"portal.14_part1_end-2"	"<clr:219,112,147><I>Deltag i et Enrichment Center-seminar om elektrisk sikkerhed for at få mere info."
"[english]portal.14_part1_end-2"	"<clr:219,112,147><I>For more information, please attend an Enrichment Center Electrical Safety seminar."
"portal.generic_security_camera_destroyed-3"	"<clr:219,112,147><I>Ødelæg ikke vitale testapparater af hensyn til din egen sikkerhed."
"[english]portal.generic_security_camera_destroyed-3"	"<clr:219,112,147><I>For your own safety, do not destroy vital testing apparatus."
"portal.05_part1_nag3-1"	"<clr:219,112,147><I>Helt ærligt, så var dette kammer en fejltagelse. Hvis jeg var dig, ville jeg stoppe nu."
"[english]portal.05_part1_nag3-1"	"<clr:219,112,147><I>Frankly, this chamber was a mistake. If we were you, we would quit now."
"portal.escape_01_part1_nag12-1"	"<clr:219,112,147><I>Bare slå den i stykker. Helt. Jeg er ligeglad."
"[english]portal.escape_01_part1_nag12-1"	"<clr:219,112,147><I>Go ahead and break it. Hero. I don't care."
"portal.glados.core_destroy4_06"	"<clr:219,112,147><I>Godt gået i øvrigt. [tilbage til computerstemme] Selvtest af sarkasmesfæren fuldført."
"[english]portal.glados.core_destroy4_06"	"<clr:219,112,147><I>Good job on that, by the way. [back to computer voice] Sarcasm sphere self-test complete."
"portal.02_part2_success-2"	"<clr:219,112,147><I>Godt gjort! Som en del af den påkrævede testprotokol, vil vi stoppe med at manipulere med sandheden om tre... to... en."
"[english]portal.02_part2_success-2"	"<clr:219,112,147><I>Good job! As part of a required test protocol, we will stop enhancing the truth in three... Two... One."
"portal.glados.core_destroy1_04"	"<clr:219,112,147><I>Godt nyt: Nu ved jeg, hvad du netop har brændt op."
"[english]portal.glados.core_destroy1_04"	"<clr:219,112,147><I>Good news: I figured out what that thing that you just burned up did."
"portal.escape_01_part1_nag02-1"	"<clr:219,112,147><I>Gode mennesker ender ikke her."
"[english]portal.escape_01_part1_nag02-1"	"<clr:219,112,147><I>Good people don't end up here."
"portal.03_part2_platform_activated-1"	"<clr:219,112,147><I>Godt. Brug nu den bevægelige Aperture Science-platform til at nå frem til slusekammeret."
"[english]portal.03_part2_platform_activated-1"	"<clr:219,112,147><I>Good. Now use the Aperture Science Unstationary Scaffold to reach the chamberlock."
"portal.15_part1_into_the_fire-5"	"<clr:219,112,147><I>Farvel."
"[english]portal.15_part1_into_the_fire-5"	"<clr:219,112,147><I>Goodbye."
"escape_02_spheredestroy1-ancillary2"	"<clr:219,112,147><I>HA! Jeg laver flere. Det tager dog et par minutter. Imens... åh se, det er din gamle ven, rakettårnet."
"[english]escape_02_spheredestroy1-ancillary2"	"<clr:219,112,147><I>HA! I'm making more. That's going to take a few minutes, though. Meanwhile... oh look, it's your old pal the rocket turret."
"portal.glados.core_nag_8"	"<clr:219,112,147><I>Har jeg løjet over for dig? I dette værelse, mener jeg. Tro mig, rør ikke ved den dims."
"[english]portal.glados.core_nag_8"	"<clr:219,112,147><I>Have I lied to you? I mean in this room. Trust me, leave that thing alone."
"portal.00_part1_entry-1"	"<clr:219,112,147><I>Goddag igen og velkommen til Aperture Science computer-aided enrichment center."
"[english]portal.00_part1_entry-1"	"<clr:219,112,147><I>Hello and, again, welcome to the Aperture Science computer-aided enrichment center."
"portal.escape_00_part1_nag01-1"	"<clr:219,112,147><I>Hallo?"
"[english]portal.escape_00_part1_nag01-1"	"<clr:219,112,147><I>Hello?"
"portal.post_escape_bridge_01"	"<clr:219,112,147><I>Hallo?"
"[english]portal.post_escape_bridge_01"	"<clr:219,112,147><I>Hello?"
"portal.glados.core_destroy2_05"	"<clr:219,112,147><I>Her er et tip: Du skal pakke så meget bagage, du kan, i de næste par minutter."
"[english]portal.glados.core_destroy2_05"	"<clr:219,112,147><I>Here's a hint: you're gonna want to pack as much living as you can into the next couple of minutes."
"portal.13_part1_end-2"	"<clr:219,112,147><I>Den kan imidlertid ikke være hos dig i resten af testen, da den desværre skal medlidenhedsdræbes."
"[english]portal.13_part1_end-2"	"<clr:219,112,147><I>However, it cannot accompany you for the rest of the test and, unfortunately, must be euthanized."
"portal.glados.core_destroy1_07"	"<clr:219,112,147><I>Hva'. Den kerne har måske haft andre ansvarsområder. Jeg kan ikke lukke tårnforsvaret ned."
"[english]portal.glados.core_destroy1_07"	"<clr:219,112,147><I>Huh. That core may have had some ancillary responsibilities. I can't shut off the turret defenses."
"escape_02_spheredestroy1-ancillary1"	"<clr:219,112,147><I>Hva'. Der er ikke nok nervegas til at dræbe dig. Så du vinder vel."
"[english]escape_02_spheredestroy1-ancillary1"	"<clr:219,112,147><I>Huh. There isn't enough neurotoxin to kill you. So I guess you win."
"portal.glados.core_nag_9"	"<clr:219,112,147><I>Jeg mener der alvorligt. Denne skøre dims er ikke del af nogen testprotokol."
"[english]portal.glados.core_nag_9"	"<clr:219,112,147><I>I am being serious now. That crazy thing is not part of any test protocol."
"portal.glados.escape_02_miscbabble-12"	"<clr:219,112,147><I>Jeg kunne bade i det der. Hæld det på cornflakes. Gnid det ind i mine øjne. Helt ærligt er det ikke dødeligt. For mig."
"[english]portal.glados.escape_02_miscbabble-12"	"<clr:219,112,147><I>I could take a bath in the stuff. Put it on cereal. Rub it right into my eyes. Honestly, it's not deadly at all. To me."
"portal.glados.core_nag_2"	"<clr:219,112,147><I>Jeg skal ikke blande mig, men hvis jeg var dig, ville jeg ikke røre ved den dims."
"[english]portal.glados.core_nag_2"	"<clr:219,112,147><I>I don't want to tell you you're business, but if it were me, I'd leave that thing alone."
"portal.escape_01_part1_nag07-1"	"<clr:219,112,147><I>Jeg har ondt af dig, for du er ikke engang det rigtige sted."
"[english]portal.escape_01_part1_nag07-1"	"<clr:219,112,147><I>I feel sorry for you, really, because you're not even in the right place."
"portal.glados.core_destroy4_03"	"<clr:219,112,147><I>Jeg har indeholder uendelig viden, og jeg er ikke sikker på, hvad der sker udenfor."
"[english]portal.glados.core_destroy4_03"	"<clr:219,112,147><I>I have an infinite capacity for knowledge, and even I'm not sure what's going on outside."
"portal.glados.core_destroy3_04"	"<clr:219,112,147><I>Jeg har scannet din hjerne og lavet en permanent backup, hvis noget forfærdeligt skulle ske for dig. Og nu er det lige før."
"[english]portal.glados.core_destroy3_04"	"<clr:219,112,147><I>I have your brain scanned and permanently backed up in case something terrible happens to you, which it's just about to."
"portal.glados.escape_02_miscbabble-23"	"<clr:219,112,147><I>Jeg inviterede din bedste ven, ledsagerkuben. Han kunne selvfølgelig ikke komme, da du myrdede ham."
"[english]portal.glados.escape_02_miscbabble-23"	"<clr:219,112,147><I>I invited your best friend the companion cube. Of course, he couldn't come because you murdered him."
"escape_nags_06"	"<clr:219,112,147><I>Du tror mig sikkert ikke, men alt hvad der er sket indtil nu, har været til din fordel."
"[english]escape_nags_06"	"<clr:219,112,147><I>I know you don't believe this, but everything that has happened so far was for your benefit."
"portal.escape_00_part1_nag03-1"	"<clr:219,112,147><I>Jeg ved, du er her. Jeg kan føle dig."
"[english]portal.escape_00_part1_nag03-1"	"<clr:219,112,147><I>I know you're there. I can feel you here."
"portal.glados.core_destroy2_01"	"<clr:219,112,147><I>Jeg har ladet dig leve så længe, fordi jeg var nysgerrig efter din opførsel. Tja, det er lykkedes dig at ødelægge den del af mig."
"[english]portal.glados.core_destroy2_01"	"<clr:219,112,147><I>I let you survive this long because I was curious about your behavior. Well, you've managed to destroy that part of me."
"portal.glados.escape_02_miscbabble-19"	"<clr:219,112,147><I>Jeg håber sandelig ikke, du forventede et svar. For jeg snakker ikke med dig."
"[english]portal.glados.escape_02_miscbabble-19"	"<clr:219,112,147><I>I sincerely hope you weren't expecting a response. Because I'm not talking to you."
"portal.glados.core_nag_1"	"<clr:219,112,147><I>Tag dig ikke af det. Jeg gætter på, at hvis du rører den, så bliver dit liv endnu mere elendigt."
"[english]portal.glados.core_nag_1"	"<clr:219,112,147><I>I wouldn't bother with that thing. My guess is that touching it will just make your life even worse somehow."
"portal.glados.escape_02_miscbabble-21"	"<clr:219,112,147><I>Jeg vil bare gøre opmærksom på, at du havde alle muligheder for at gennemføre."
"[english]portal.glados.escape_02_miscbabble-21"	"<clr:219,112,147><I>I'd just like to point out that you were given every opportunity to succeed."
"portal.08_part1_entry-2"	"<clr:219,112,147><I>Hvis du bliver svimmel af tørst, kan du bare besvime."
"[english]portal.08_part1_entry-2"	"<clr:219,112,147><I>If you become light headed from thirst, feel free to pass out."
"portal.glados.core_nag_16"	"<clr:219,112,147><I>Lad mig fortælle dig hvad den ting ikke er: Den er ikke din. Så lad den være."
"[english]portal.glados.core_nag_16"	"<clr:219,112,147><I>I'll tell you what that thing isn't: It isn't yours. So leave it alone."
"escape_nags_03"	"<clr:219,112,147><I>Jeg tjekker lige et par udskrifter, og jeg tror... Ja, lige her. Du går helt sikkert den forkerte vej."
"[english]escape_nags_03"	"<clr:219,112,147><I>I'm checking some blueprints, and I think... Yes, right here. You're definitely going the wrong way."
"portal.escape_00_part2_nag02-1"	"<clr:219,112,147><I>Jeg dræber dig, og der er ikke mere kage."
"[english]portal.escape_00_part2_nag02-1"	"<clr:219,112,147><I>I'm going to kill you and all the cake is gone."
"portal.escape_00_part1_nag10-1"	"<clr:219,112,147><I>Jeg er ikke vred. Gå blot tilbage til testområdet."
"[english]portal.escape_00_part1_nag10-1"	"<clr:219,112,147><I>I'm not angry. Just go back to the testing area."
"portal.escape_00_part2_nag01-1"	"<clr:219,112,147><I>På ære. Vend om, eller jeg dræber dig."
"[english]portal.escape_00_part2_nag01-1"	"<clr:219,112,147><I>I'm not kidding now. Turn back or I will kill you."
"portal.07_part1_entry-2"	"<clr:219,112,147><I>I farlige testmiljøer lover Enrichment Center altid at give dig nyttige råd."
"[english]portal.07_part1_entry-2"	"<clr:219,112,147><I>In dangerous testing environments, the Enrichment Center promises to always provide useful advice."
