"lang"
{
"Language"	"swedish"
"announcer.mp_hub_return07"	"<clr:250,231,181>Announcer: Genom att avsluta samtliga testbanor har du uppnått säkerhetsnivå C. Du har nu tillgång till samtliga testbanor och tre av Aperture Sciences 176 toaletter."
"[english]announcer.mp_hub_return07"	"<clr:250,231,181>Announcer: By completing all test courses, you have achieved Level C security clearance. You may now access all testing courses and three of Aperture Science's 176 restrooms."
"announcer.openingcourtesy01"	"<clr:250,231,181>Announcer: God morgon. Du har nu legat i dvala i nio nio nio... nio nio ni... Med det här meddelandet vill vi informera dig om att samtliga testdeltagare omedelbart bör evakuera [TONAR BORT]"
"[english]announcer.openingcourtesy01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for nine nine nine... nine nine ni- This courtesy call is to inform you that all test subjects should immediately vacate [FADES OUT]"
"announcer.openingexercise01"	"<clr:250,231,181>Announcer: God morgon. Du har nu legat i dvala i... FEMTIO DAGAR. I enlighet med statliga och federala lagar måste samtliga testdeltagare i Aperture Sciences center för total avslappning regelbundet återuppväckas för obligatoriska fysiska och mentala friskvårdsövningar."
"[english]announcer.openingexercise01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for -FIFTY- days. In compliance with state and federal regulations, all testing candidates in the Aperture Science Extended Relaxation Center must be revived periodically for a mandatory physical and mental wellness exercise."
"announcer.openingexercise02"	"<clr:250,231,181>Announcer: Du kommer snart att höra en signal. När du hör signalen ber vi dig att titta upp i taket. [LJUDSIGNAL]"
"[english]announcer.openingexercise02"	"<clr:250,231,181>Announcer: You will hear a buzzer. When you hear the buzzer, look up at the ceiling. [BUZZER]"
"announcer.openingexercise03"	"<clr:250,231,181>Announcer: Bra. Du kommer snart att höra en signal. När du hör signalen ber vi dig att titta ner i golvet. [LJUDSIGNAL]"
"[english]announcer.openingexercise03"	"<clr:250,231,181>Announcer: Good. You will hear a buzzer. When you hear the buzzer, look down at the floor. [BUZZER]"
"announcer.openingexercise04"	"<clr:250,231,181>Announcer: Bra. Det var gymnastikdelen av våra obligatoriska fysiska och mentala friskvårdsövningar."
"[english]announcer.openingexercise04"	"<clr:250,231,181>Announcer: Good. This completes the gymnastic portion of your mandatory physical and mental wellness exercise."
"announcer.openingexercise05"	"<clr:250,231,181>Announcer: På väggen finns en inramad tavla. Ställ dig framför den."
"[english]announcer.openingexercise05"	"<clr:250,231,181>Announcer: There is a framed painting on the wall. Please go stand in front of it."
"announcer.openingexercise06"	"<clr:250,231,181>Announcer: Detta är konst. Du kommer snart att höra en signal. När du hör signalen ber vi dig att stirra på tavlan. [LJUDSIGNAL]"
"[english]announcer.openingexercise06"	"<clr:250,231,181>Announcer: This is art. You will hear a buzzer. When you hear the buzzer, stare at the art. [BUZZER]"
"announcer.openingexercise07"	"<clr:250,231,181>Announcer: Du bör nu känna dig mentalt stimulerad. Om du misstänker att du genom att stirra på tavlan inte har fått den intellektuella stimulans som krävs ber vi dig att reflektera lite över det här klassiska musikstycket."
"[english]announcer.openingexercise07"	"<clr:250,231,181>Announcer: You should now feel mentally reinvigorated. If you suspect staring at art has not provided the required intellectual sustenance, reflect briefly on this classical music. [MUSIC INTERRUPTED BY BUZZER]"
"announcer.openingexercise08"	"<clr:250,231,181>Announcer: Bra. Gå tillbaka till din säng."
"[english]announcer.openingexercise08"	"<clr:250,231,181>Announcer: Good. Now please return to your bed."
"announcer.openingsafeguards01"	"<clr:250,231,181>Announcer: Reaktorkärnans samtliga säkerhetsfunktioner är nu ur funktion. Förbered för härdsmälta."
"[english]announcer.openingsafeguards01"	"<clr:250,231,181>Announcer: All reactor core safeguards are now non-functional. Please prepare for reactor core meltdown."
"announcer.prehub06"	"<clr:250,231,181>Announcer: Hej och välkommen än en gång till Aperture Sciences Enrichment Center."
"[english]announcer.prehub06"	"<clr:250,231,181>Announcer: Hello, and again, welcome to the Aperture Science Enrichment Center."
"announcer.prehub08"	"<clr:250,231,181>Announcer: Vi har just nu tekniska problem till följd av omständigheter av potentiellt apokalyptisk karaktär utanför vår kontroll."
"[english]announcer.prehub08"	"<clr:250,231,181>Announcer: We are currently experiencing technical difficulties due to circumstances of potentially apocalyptic significance beyond our control."
"announcer.prehub09"	"<clr:250,231,181>Announcer: Tack vare våra kristestprotokoll kan testningen fortsätta som vanligt. Dessa inspelade meddelanden bidrar med instruktioner och motivation, så att vi kan bedriva forskning trots social, ekonomisk eller strukturell kollaps."
"[english]announcer.prehub09"	"<clr:250,231,181>Announcer: However, thanks to Emergency Testing Protocols, testing can continue. These pre-recorded messages will provide instructional and motivational support, so that science can still be done, even in the event of environmental, social, economic, or structural collapse."
"announcer.prehub10"	"<clr:250,231,181>Announcer: Portalen kommer att öppnas och kristestning påbörjas om tre, två, en."
"[english]announcer.prehub10"	"<clr:250,231,181>Announcer: The portal will open and emergency testing will begin in three. Two. One."
"announcer.prehub11"	"<clr:250,231,181>Announcer: Kub- och knappbaserad testning kommer alltid att utgöra ett viktigt forskningsverktyg, även i svåra krissituationer."
"[english]announcer.prehub11"	"<clr:250,231,181>Announcer: Cube- and button-based testing remains an important tool for science, even in a dire emergency."
"announcer.prehub12"	"<clr:250,231,181>Announcer: Om nödsituationen uppstod till följd av kub- och knappbaserad testning finns det inget att oroa sig för. Risken att detta upprepas är mycket liten."
"[english]announcer.prehub12"	"<clr:250,231,181>Announcer: If cube- and button-based testing caused this emergency, don't worry. The odds of this happening twice are very slim."
"announcer.prehub17"	"<clr:250,231,181>Announcer: Om du inte tillhör personalen utan har hittat den här anläggning bland samhällsspillrorna bör du komma ihåg en sak: Testning är framtiden och framtiden börjar med dig."
"[english]announcer.prehub17"	"<clr:250,231,181>Announcer: If you are a non-employee who has discovered this facility amid the ruins of civilization, welcome! And remember: Testing is the future, and the future starts with you."
"announcer.prehub18"	"<clr:250,231,181>Announcer: Bra jobbat, framtidsmänniska! Om du råkar vara gammal, sinnesslö eller strålskadad på ett sätt som gör att framtiden inte bör börja med dig ber vi dig dock återvända till din primitiva postapokalyptiska stam och skicka någon annan som lämpar sig bättre för testning."
"[english]announcer.prehub18"	"<clr:250,231,181>Announcer: Good work getting this far, future-starter! That said, if you are simple-minded, old, or irradiated in such a way that the future should not start with you, please return to your primitive tribe and send back someone better-qualified for testing."
"announcer.prehub19"	"<clr:250,231,181>Announcer: På grund av att vi just nu har tekniska problem är din testmiljö obevakad."
"[english]announcer.prehub19"	"<clr:250,231,181>Announcer: Because of the technical difficulties we are currently experiencing, your test environment is unsupervised."
"announcer.prehub20"	"<clr:250,231,181>Announcer: Innan du återgår till något av våra avslappningsvalv efter avslutad testning ber vi dig att skriva ner dina testresultat. Någon av Aperture Sciences anställda kommer att väcka dig för en intervju så snart samhället är återuppbyggt."
"[english]announcer.prehub20"	"<clr:250,231,181>Announcer: Before re-entering a relaxation vault at the conclusion of testing, please take a moment to write down the results of your test. An Aperture Science Reintegration Associate will revive you for an interview when society has been rebuilt."
"announcer.prehub27"	"<clr:250,231,181>Announcer: Om du känner att det rinner någon form av vätska längs halsen bör du slappna av, lägga dig på rygg och trycka mot tinningarna."
"[english]announcer.prehub27"	"<clr:250,231,181>Announcer: If you feel liquid running down your neck, relax, lie on your back, and apply immediate pressure to your temples."
"announcer.prehub28"	"<clr:250,231,181>Announcer: Du har helt enkelt drabbats av en ovanlig reaktion då materialupplösningsfältet har löst upp hörselrören inuti ditt huvud."
"[english]announcer.prehub28"	"<clr:250,231,181>Announcer: You are simply experiencing a rare reaction in which the Material Emancipation Grill may have emancipated the ear tubes inside your head."
"announcer.prehub42"	"<clr:250,231,181>Announcer: Nästa test är oerhört farligt. För att du ska kunna hålla dig lugn när du ställs inför en så gott som säker död kommer vi att spela lite skön jazz om tre, två, en. [SKÖN JAZZ]"
"[english]announcer.prehub42"	"<clr:250,231,181>Announcer: This next test is very dangerous. To help you remain tranquil in the face of almost certain death, smooth jazz will be deployed in three. Two. One. [SMOOTH JAZZ]"
"announcer.prehub43"	"<clr:250,231,181>Announcer: Vid tiden för den här inspelningen finns federala lagar som tvingar oss att informera dig om att nästa test är mer eller mindre livsfarligt och leda dig till en säkrare testmiljö."
"[english]announcer.prehub43"	"<clr:250,231,181>Announcer: At the time of this recording, Federal disclosure policies require us to inform you that this next test is probably lethal and to redirect you to a safer test environment."
"announcer.prehub44"	"<clr:250,231,181>Announcer: Vi kommer att försöka uppfylla kraven från dessa numera icke-existerande myndigheter genom att spela lite mer skön jazz."
"[english]announcer.prehub44"	"<clr:250,231,181>Announcer: We will attempt to comply with these now non-existent agencies by playing some more smooth jazz."
"announcer.prehub46"	"<clr:250,231,181>Announcer: Om jorden i dagsläget styrs av något slags kung från djurriket, självmedvetet moln eller någon annan härskare som antingen vägrar eller är oförmögen att ta reson kan BZZZT!"
"[english]announcer.prehub46"	"<clr:250,231,181>Announcer: If the Earth is currently governed by a manner of animal-king, sentient cloud, or other governing body that either refuses to or is incapable of listening to reason, th- [RECORDING SHORTS OUT]"
"announcer.sarcasmcore01"	"<clr:250,231,181>Announcer: Sarkasmsjälvtest slutfört."
"[english]announcer.sarcasmcore01"	"<clr:250,231,181>Announcer: [beep] Sarcasm Self Test complete. [beep]"
"announcer.sp_sabotage_factory13"	"<clr:250,231,181>Announcer: Stridstornets botgörelseband aktiverat."
"[english]announcer.sp_sabotage_factory13"	"<clr:250,231,181>Announcer: Turret redemption lines active."
"announcer.sp_sabotage_factory14"	"<clr:250,231,181>Announcer: Rör inte stridstorn på väg mot botgörelse."
"[english]announcer.sp_sabotage_factory14"	"<clr:250,231,181>Announcer: Please do not engage with turrets heading towards redemption."
"announcer.sp_sabotage_factory15"	"<clr:250,231,181>Announcer: Stridstornets botgörelseband är inte avsett för persontransport, vänligen lämna stridstornets botgörelseband."
"[english]announcer.sp_sabotage_factory15"	"<clr:250,231,181>Announcer: Turret redemption lines are not rides, please exit the turret redemption line."
"announcer.sp_sabotage_factory16"	"<clr:250,231,181>Announcer: Stridstornsband aktiverat. Var mycket försiktig när du går in i rummet."
"[english]announcer.sp_sabotage_factory16"	"<clr:250,231,181>Announcer: Live turret line is active. Enter room with extreme caution."
"announcer.sp_sabotage_factory17"	"<clr:250,231,181>Announcer: Var noga med att inte varna stridstornen eller bli skjuten av aktiverade stridstorn."
"[english]announcer.sp_sabotage_factory17"	"<clr:250,231,181>Announcer: Please avoid alerting active turrets or being shot by active turrets."
"announcer.sp_sabotage_factory18"	"<clr:250,231,181>Announcer: Detta är en steril miljö. Åk inte på transportbandet."
"[english]announcer.sp_sabotage_factory18"	"<clr:250,231,181>Announcer: This is a sterile environment; please refrain from riding on the turret line."
"announcer.sp_sabotage_factory19"	"<clr:250,231,181>Announcer: Detta är en renrumsanläggning, saneringsmedel kan skada botgörelseprocessen."
"[english]announcer.sp_sabotage_factory19"	"<clr:250,231,181>Announcer: This is a clean room facility, decontaminates can harm the turret redemption process."
"announcer.sp_sabotage_factory20"	"<clr:250,231,181>Announcer: Testning av icke-defekta stridstorn aktiverad."
"[english]announcer.sp_sabotage_factory20"	"<clr:250,231,181>Announcer: Non-defective turret testing active."
"announcer.sp_sabotage_factory21"	"<clr:250,231,181>Announcer: Testning av defekta stridstorn aktiverad."
"[english]announcer.sp_sabotage_factory21"	"<clr:250,231,181>Announcer: Defective Turret testing active."
"announcer.sp_sabotage_factory22"	"<clr:250,231,181>Announcer: Bryggorna är säkra under pågående testning av defekta stridstorn."
"[english]announcer.sp_sabotage_factory22"	"<clr:250,231,181>Announcer: Catwalks are safe during defective turret testing."
"announcer.sp_sabotage_factory23"	"<clr:250,231,181>Announcer: Undvik defekta stridstorn. De kan fortfarande vara aktiverade."
"[english]announcer.sp_sabotage_factory23"	"<clr:250,231,181>Announcer: Avoid defective defective turrets as they may still be active."
"announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Announcer: Mall"
"[english]announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Announcer: Template"
"announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Announcer: Svar"
"[english]announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Announcer: Response"
"announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Announcer: Ny mall godkänd."
"[english]announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Announcer: New template accepted."
"announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Announcer: Mall saknas. Använder minnet."
"[english]announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Announcer: Template missing. Continuing from memory."
"announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Announcer: Varning! Nervgiftstrycket har nått farligt icke-dödliga nivåer."
"[english]announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Announcer: Warning! Neurotoxin pressure has reached dangerously unlethal levels."
"announcer.testchamber02"	"<clr:250,231,181>Announcer: Om Enrichment Center bombarderas med eldklot, meteoriter eller andra föremål från rymden uppmanas du att undvika oskyddade testområden där avsaknaden av skyddsutrustning mot rymdskräp INTE tycks utgöra en del av testet."
"[english]announcer.testchamber02"	"<clr:250,231,181>Announcer: If the Enrichment Center is currently being bombarded with fireballs, meteorites, or other objects from space, please avoid unsheltered testing areas wherever a lack of shelter from space-debris DOES NOT appear to be a deliberate part of the test."
"announcer.testchamber03"	"<clr:250,231,181>Announcer: Bra gjort! Enrichment Center vill gärna påminna dig om att även om läget verkar hopplöst är du inte ensam. Samtliga Aperture Sciences personalkonstruktioner kommer att funktionera i apokalyptiska lågenergimiljöer vid så lite som 1,1 volt."
"[english]announcer.testchamber03"	"<clr:250,231,181>Announcer: Well done! The Enrichment Center reminds you that although circumstances may appear bleak, you are not alone. All Aperture Science personality constructs will remain functional in apocalyptic, low power environments of as few as 1.1 volts."
"announcer.testchamber04"	"<clr:250,231,181>Announcer: För att säkerställa att det finns tillräckligt med ström för viktiga testprotokoll har all säkerhetsutrustning avaktiverats. Enrichment Center respekterar din rätt att ifrågasätta eller kommentera denna policy."
"[english]announcer.testchamber04"	"<clr:250,231,181>Announcer: To ensure that sufficient power remains for core testing protocols, all safety devices have been disabled. The Enrichment Center respects your right to have questions or concerns about this policy."
"announcer.testchamber05"	"<clr:250,231,181>Announcer: Vissa kristester kräver utdragen interaktion med livsfarliga militärandroider. Samtliga livsfarliga militärandroider har dock lärt sig läsa och utrustats med ett exemplar av robotarnas lagbok. Att dela på."
"[english]announcer.testchamber05"	"<clr:250,231,181>Announcer: Some emergency testing may require prolonged interaction with lethal military androids.  Rest assured that all lethal military androids have been taught to read and provided with one copy of the Laws of Robotics. To share."
"announcer.testchamber06"	"<clr:250,231,181>Announcer: Bra. Om du anser att en livsfarlig militärandroid inte har respekterat dina rättigheter i enlighet med vad som framkommer i robotarnas lagbok ber vi dig notera detta i ditt rapporteringsformulär. Någon av Apertures framtida ersättningsexperter kommer att ta fram alla jobbiga dokument."
"[english]announcer.testchamber06"	"<clr:250,231,181>Announcer: Good. If you feel that a lethal military android has not respected your rights as detailed in the Laws of Robotics, please note it on your self-reporting form. A future Aperture Science Entitlement Associate will initiate the appropriate grievance-filing paperwork."
"announcer.testchamber07"	"<clr:250,231,181>Announcer: Du har just passerat ett av Aperture Sciences materialupplösningsfält. Det mesta av Aperture Sciences utrustning förångas när den passerar fältet."
"[english]announcer.testchamber07"	"<clr:250,231,181>Announcer: You have just passed through an Aperture Science Material Emancipation Grill, which vaporizes most Aperture Science equipment that touches it."
"announcer.testchamber08"	"<clr:250,231,181>Announcer: Lägg märke till det gnistrande partikelfältet vid utgången. All icke-godkänd utrustning som passerar Aperture Sciences materialupplösningsfält kommer att förångas."
"[english]announcer.testchamber08"	"<clr:250,231,181>Announcer: Please note the incandescent particle field across the exit. This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it."
"announcer.testchamber09"	"<clr:250,231,181>Announcer: Bra gjort! Eftersom det här är ett inspelat meddelande bygger eventuella reaktioner på dina bedrifter enbart på spekulationer från vår sida. Vänligen bortse från eventuellt oförtjänt beröm."
"[english]announcer.testchamber09"	"<clr:250,231,181>Announcer: Great work! Because this message is prerecorded, any observations related to  your performance are speculation on our part. Please disregard any undeserved compliments."
"announcer.testchamber10"	"<clr:250,231,181>Announcer: I nästa test tillämpas principerna för rörelseenergi vid förflyttning genom portaler. Om fysikens lagar har satts ur spel i framtiden ligger du risigt till."
"[english]announcer.testchamber10"	"<clr:250,231,181>Announcer: This next test applies the principles of momentum to movement through portals. If the laws of physics no longer apply in the future, God help you."
"announcer.testchamber11"	"<clr:250,231,181>Announcer: Grattis. Du har fångat dig själv. Öppnar dörren."
"[english]announcer.testchamber11"	"<clr:250,231,181>Announcer: You have trapped yourself. Congratulations. The exit door is now open."
"announcer.wakeup_powerup01"	"<clr:250,231,181>Announcer: Systemstart initierad."
"[english]announcer.wakeup_powerup01"	"<clr:250,231,181>Announcer: Powerup initiated."
"announcer.wakeup_powerup02"	"<clr:250,231,181>Announcer: Systemstart avslutad."
"[english]announcer.wakeup_powerup02"	"<clr:250,231,181>Announcer: Powerup complete."
"cavejohnson.cave_laugh04"	"<clr:205,149,117>Cave Johnson: [skratt]"
"[english]cavejohnson.cave_laugh04"	"<clr:205,149,117>Cave Johnson: [laugh]"
"cavejohnson.eighties_intro01"	"<clr:205,149,117>Cave Johnson: Välkommen till Enrichment Center. [hostar]"
"[english]cavejohnson.eighties_intro01"	"<clr:205,149,117>Cave Johnson: Welcome to the enrichment center. [cough]"
"cavejohnson.eighties_intro03"	"<clr:205,149,117>Cave Johnson: Sedan vi införde obligatoriskt testdeltagande för alla anställda har kvaliteten på våra testdeltagare ökat dramatiskt. Det har däremot inte vår förmåga att behålla anställda."
"[english]cavejohnson.eighties_intro03"	"<clr:205,149,117>Cave Johnson: Since making test participation mandatory for all employees, the quality of our test subjects has risen dramatically. Employee retention, however, has not."
"cavejohnson.eighties_intro04"	"<clr:205,149,117>Cave Johnson: [hostar] Därför ska vi nu sluta använda oss av mänskliga testpersoner. Men först är det ett par saker vi måste fixa."
"[english]cavejohnson.eighties_intro04"	"<clr:205,149,117>Cave Johnson: [cough] As a result, you may have heard we're gonna phase out human testing. There's still a few things left to wrap up, though."
"cavejohnson.eighties_intro06"	"<clr:205,149,117>Cave Johnson: Först och främst, konverteringsgel."
"[english]cavejohnson.eighties_intro06"	"<clr:205,149,117>Cave Johnson: First up, conversion gel. [cough]"
"cavejohnson.eighties_intro07"	"<clr:205,149,117>Cave Johnson: Räknenissarna påstår att vi inte har råd att lägga ens en hundring på månsten, än mindre 100 miljoner. Köpte dem ändå. Malde dem och blandade till en gel."
"[english]cavejohnson.eighties_intro07"	"<clr:205,149,117>Cave Johnson: The bean counters told me we literally could not afford to buy seven dollars worth of moon rocks, much less seventy million. Bought 'em anyway. Ground 'em up, mixed em into a gel."
"cavejohnson.eighties_intro08"	"<clr:205,149,117>Cave Johnson: Och vet ni vad? Malda månstenar är rena giftet. Så nu är jag dödssjuk."
"[english]cavejohnson.eighties_intro08"	"<clr:205,149,117>Cave Johnson: And guess what? Ground up moon rocks are pure poison. I am deathly ill."
