"lang"
{
"Language"	"ukrainian"
"announcer.mp_hub_return07"	"<clr:250,231,181>Диктор: Завершивши усі тестування, ви отримали рівень допуску C. Відтепер вам доступні усі курси тестування та три із 176 тестувальних камер лабораторії Aperture."
"[english]announcer.mp_hub_return07"	"<clr:250,231,181>Announcer: By completing all test courses, you have achieved Level C security clearance. You may now access all testing courses and three of Aperture Science's 176 restrooms."
"announcer.openingcourtesy01"	"<clr:250,231,181>Диктор: Доброго ранку. Ви перебували у криосні протягом наступного проміжку часу: дев’ять, дев’ять, дев’ять… дев’ять, дев’ять, дев… Цим повідомленням ми повідомляємо, що усім піддослідним суб’єктам необхідно терміново залишити [УЩУХАЄ]"
"[english]announcer.openingcourtesy01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for nine nine nine... nine nine ni- This courtesy call is to inform you that all test subjects should immediately vacate [FADES OUT]"
"announcer.openingexercise01"	"<clr:250,231,181>Диктор: Доброго ранку. Ви перебували у криосні протягом п’ятдесяти днів. Згідно державного та федерального законодавства, усі кандидати на тестування, розміщені у покращеному центрі відпочинку лабораторії Aperture, мають періодично пробуджуватися для виконання фізичних та розумових вправ, щоби підтримувати гарний стан здоров’я."
"[english]announcer.openingexercise01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for -FIFTY- days. In compliance with state and federal regulations, all testing candidates in the Aperture Science Extended Relaxation Center must be revived periodically for a mandatory physical and mental wellness exercise."
"announcer.openingexercise02"	"<clr:250,231,181>Диктор: Ви почуєте звуковий сигнал. Коли ви почуєте звуковий сигнал, подивіться вгору на стелю. [ЗВУКОВИЙ СИГНАЛ]"
"[english]announcer.openingexercise02"	"<clr:250,231,181>Announcer: You will hear a buzzer. When you hear the buzzer, look up at the ceiling. [BUZZER]"
"announcer.openingexercise03"	"<clr:250,231,181>Диктор: Добре. Ви почуєте звуковий сигнал. Коли ви почуєте звуковий сигнал, подивіться вниз на підлогу. [ЗВУКОВИЙ СИГНАЛ]"
"[english]announcer.openingexercise03"	"<clr:250,231,181>Announcer: Good. You will hear a buzzer. When you hear the buzzer, look down at the floor. [BUZZER]"
"announcer.openingexercise04"	"<clr:250,231,181>Диктор: Добре. Ви завершили обов’язкові фізичні та розумові вправи."
"[english]announcer.openingexercise04"	"<clr:250,231,181>Announcer: Good. This completes the gymnastic portion of your mandatory physical and mental wellness exercise."
"announcer.openingexercise05"	"<clr:250,231,181>Диктор: На стіні висить картина у рамці. Підійдіть до неї, будь ласка."
"[english]announcer.openingexercise05"	"<clr:250,231,181>Announcer: There is a framed painting on the wall. Please go stand in front of it."
"announcer.openingexercise06"	"<clr:250,231,181>Диктор: Це мистецтво. Ви почуєте звуковий сигнал. Коли ви почуєте звуковий сигнал, почніть витріщатися на мистецтво. [ЗВУКОВИЙ СИГНАЛ]"
"[english]announcer.openingexercise06"	"<clr:250,231,181>Announcer: This is art. You will hear a buzzer. When you hear the buzzer, stare at the art. [BUZZER]"
"announcer.openingexercise07"	"<clr:250,231,181>Диктор: Ви маєте відчути духовне збагачення. Якщо ви відчуваєте, що витріщання на мистецтво не дало потрібного результату, прослухайте уривок класичної музики. [МУЗИКА ПЕРЕРИВАЄТЬСЯ ЗВУКОВИМ СИГНАЛОМ]"
"[english]announcer.openingexercise07"	"<clr:250,231,181>Announcer: You should now feel mentally reinvigorated. If you suspect staring at art has not provided the required intellectual sustenance, reflect briefly on this classical music. [MUSIC INTERRUPTED BY BUZZER]"
"announcer.openingexercise08"	"<clr:250,231,181>Диктор: Добре. Тепер поверніться, будь ласка, до свого ліжка."
"[english]announcer.openingexercise08"	"<clr:250,231,181>Announcer: Good. Now please return to your bed."
"announcer.openingsafeguards01"	"<clr:250,231,181>Диктор: Усі захисні функції ядра реактора не працюють. Приготуйтеся до розплавлення ядра реактора."
"[english]announcer.openingsafeguards01"	"<clr:250,231,181>Announcer: All reactor core safeguards are now non-functional. Please prepare for reactor core meltdown."
"announcer.prehub06"	"<clr:250,231,181>Диктор: Вітаємо вас знову у дослідницькому центрі лабораторії Aperture."
"[english]announcer.prehub06"	"<clr:250,231,181>Announcer: Hello, and again, welcome to the Aperture Science Enrichment Center."
"announcer.prehub08"	"<clr:250,231,181>Диктор: Наразі ми намагаємося вирішити проблеми, спричинені обставинами апокаліптичного масштабу, на які ми не маємо впливу."
"[english]announcer.prehub08"	"<clr:250,231,181>Announcer: We are currently experiencing technical difficulties due to circumstances of potentially apocalyptic significance beyond our control."
"announcer.prehub09"	"<clr:250,231,181>Диктор: Незважаючи на це, ми продовжуємо випробування завдяки протоколу випробувань під час аварійних ситуацій. Ці записані повідомлення нададуть вам необхідні інструкції та мотиваційну підтримку, тож ми продовжимо займатися наукою — навіть під час екологічних, соціальних, економічних або техногенних катастроф."
"[english]announcer.prehub09"	"<clr:250,231,181>Announcer: However, thanks to Emergency Testing Protocols, testing can continue. These pre-recorded messages will provide instructional and motivational support, so that science can still be done, even in the event of environmental, social, economic, or structural collapse."
"announcer.prehub10"	"<clr:250,231,181>Диктор: Аварійне випробування розпочнеться після відкриття порталу через три… дві… одну…"
"[english]announcer.prehub10"	"<clr:250,231,181>Announcer: The portal will open and emergency testing will begin in three. Two. One."
"announcer.prehub11"	"<clr:250,231,181>Диктор: Випробування, які базуються на кубах та кнопках, лишаються важливим інструментом для науки, навіть під час надзвичайних ситуацій."
"[english]announcer.prehub11"	"<clr:250,231,181>Announcer: Cube- and button-based testing remains an important tool for science, even in a dire emergency."
"announcer.prehub12"	"<clr:250,231,181>Диктор: Якщо під час випробування, які базуються на кубах та кнопках, сталася надзвичайна ситуація — не переймайтеся: ймовірність того, що це станеться двічі, дуже низька."
"[english]announcer.prehub12"	"<clr:250,231,181>Announcer: If cube- and button-based testing caused this emergency, don't worry. The odds of this happening twice are very slim."
"announcer.prehub17"	"<clr:250,231,181>Диктор: Якщо ви не працюєте тут і просто знайшли цю будівлю на руїнах цивілізації, ми вітаємо вас! Пам’ятайте: майбутнє — за випробуваннями, і воно починається саме з вас."
"[english]announcer.prehub17"	"<clr:250,231,181>Announcer: If you are a non-employee who has discovered this facility amid the ruins of civilization, welcome! And remember: Testing is the future, and the future starts with you."
"announcer.prehub18"	"<clr:250,231,181>Диктор: Ви молодець, створювачу майбутнього! Та якщо ви старі, слабкі, немічні і опромінені достатньо, щоби майбутнє не почалося з вас — будь ласка, поверніться до свого примітивного племені і відправте нам для випробувань когось кращого."
"[english]announcer.prehub18"	"<clr:250,231,181>Announcer: Good work getting this far, future-starter! That said, if you are simple-minded, old, or irradiated in such a way that the future should not start with you, please return to your primitive tribe and send back someone better-qualified for testing."
"announcer.prehub19"	"<clr:250,231,181>Диктор: У зв’язку з технічними труднощами, наразі ви залишаєтеся без нагляду під час випробувань."
"[english]announcer.prehub19"	"<clr:250,231,181>Announcer: Because of the technical difficulties we are currently experiencing, your test environment is unsupervised."
"announcer.prehub20"	"<clr:250,231,181>Диктор: Перед поверненням до кріогенного сховища — після закінчення випробування — запишіть, будь ласка, ваші результати. Асоціація повторної адаптації суспільства лабораторії Aperture оживить вас для інтерв’ю після того, як людство буде відновлено."
"[english]announcer.prehub20"	"<clr:250,231,181>Announcer: Before re-entering a relaxation vault at the conclusion of testing, please take a moment to write down the results of your test. An Aperture Science Reintegration Associate will revive you for an interview when society has been rebuilt."
"announcer.prehub27"	"<clr:250,231,181>Диктор: Якщо ви відчуваєте, що по вашій шиї стікає рідина — розслабтеся, ляжте на спину та швидко напружте скроні."
"[english]announcer.prehub27"	"<clr:250,231,181>Announcer: If you feel liquid running down your neck, relax, lie on your back, and apply immediate pressure to your temples."
"announcer.prehub28"	"<clr:250,231,181>Диктор: У вас просто рідкісна реакція на субмолекулярну дезінтеграційну сітку, яка могла випадково дезінтегрувати ваші барабанні перетинки у вухах."
"[english]announcer.prehub28"	"<clr:250,231,181>Announcer: You are simply experiencing a rare reaction in which the Material Emancipation Grill may have emancipated the ear tubes inside your head."
"announcer.prehub42"	"<clr:250,231,181>Диктор: Наступне випробування надзвичайно небезпечне. Щоби допомогти вам зберегти спокій перед обличчям певної смерті, ми увімкнемо м’який джаз за три… дві… одну… [М’ЯКИЙ ДЖАЗ]"
"[english]announcer.prehub42"	"<clr:250,231,181>Announcer: This next test is very dangerous. To help you remain tranquil in the face of almost certain death, smooth jazz will be deployed in three. Two. One. [SMOOTH JAZZ]"
"announcer.prehub43"	"<clr:250,231,181>Диктор: Федеральна політика розкриття інформації зобов’язує повідомити вам, що наступне випробування, цілком ймовірно, буде смертельним для вас, і вимагає переправити вас до більш безпечного випробування."
"[english]announcer.prehub43"	"<clr:250,231,181>Announcer: At the time of this recording, Federal disclosure policies require us to inform you that this next test is probably lethal and to redirect you to a safer test environment."
"announcer.prehub44"	"<clr:250,231,181>Диктор: Ми спробуємо виконати вимоги цієї вже неіснуючої організації, знову увімкнувши м’який джаз."
"[english]announcer.prehub44"	"<clr:250,231,181>Announcer: We will attempt to comply with these now non-existent agencies by playing some more smooth jazz."
"announcer.prehub46"	"<clr:250,231,181>Диктор: Якщо на Землі за головного зараз якась тварина, розумна хмара чи інший орган самоврядування, який відмовляється або неспроможний прислухатися до причини, з як… [ЗАПИС ОБРИВАЄТЬСЯ]"
"[english]announcer.prehub46"	"<clr:250,231,181>Announcer: If the Earth is currently governed by a manner of animal-king, sentient cloud, or other governing body that either refuses to or is incapable of listening to reason, th- [RECORDING SHORTS OUT]"
"announcer.sarcasmcore01"	"<clr:250,231,181>Диктор: [сигнал] Самоперевірку сарказму завершено. [сигнал]"
"[english]announcer.sarcasmcore01"	"<clr:250,231,181>Announcer: [beep] Sarcasm Self Test complete. [beep]"
"announcer.sp_sabotage_factory13"	"<clr:250,231,181>Диктор: Конвеєр корекції поведінки турелей активовано."
"[english]announcer.sp_sabotage_factory13"	"<clr:250,231,181>Announcer: Turret redemption lines active."
"announcer.sp_sabotage_factory14"	"<clr:250,231,181>Диктор: Будь ласка, не взаємодійте із турелями, які прямують на корекцію поведінки."
"[english]announcer.sp_sabotage_factory14"	"<clr:250,231,181>Announcer: Please do not engage with turrets heading towards redemption."
"announcer.sp_sabotage_factory15"	"<clr:250,231,181>Диктор: Конвеєр корекції поведінки турелей — не забавка. Будь ласка, зійдіть з конвеєру корекції поведінки турелей."
"[english]announcer.sp_sabotage_factory15"	"<clr:250,231,181>Announcer: Turret redemption lines are not rides, please exit the turret redemption line."
"announcer.sp_sabotage_factory16"	"<clr:250,231,181>Диктор: Увімкнено конвеєр турелей. Заходьте до приміщення з особливою обережністю."
"[english]announcer.sp_sabotage_factory16"	"<clr:250,231,181>Announcer: Live turret line is active. Enter room with extreme caution."
"announcer.sp_sabotage_factory17"	"<clr:250,231,181>Диктор: Будь ласка, уникайте активованих турелей, інакше вас застрелять активовані турелі."
"[english]announcer.sp_sabotage_factory17"	"<clr:250,231,181>Announcer: Please avoid alerting active turrets or being shot by active turrets."
"announcer.sp_sabotage_factory18"	"<clr:250,231,181>Диктор: Це стерильне приміщення. Будь ласка, утримайтеся від поїздки на конвеєрі турелей."
"[english]announcer.sp_sabotage_factory18"	"<clr:250,231,181>Announcer: This is a sterile environment; please refrain from riding on the turret line."
"announcer.sp_sabotage_factory19"	"<clr:250,231,181>Диктор: Це чисте приміщення, знезараження може пошкодити процесу корекції поведінки турелей."
"[english]announcer.sp_sabotage_factory19"	"<clr:250,231,181>Announcer: This is a clean room facility, decontaminates can harm the turret redemption process."
"announcer.sp_sabotage_factory20"	"<clr:250,231,181>Диктор: Увімкнено тестування не бракованих турелей."
"[english]announcer.sp_sabotage_factory20"	"<clr:250,231,181>Announcer: Non-defective turret testing active."
"announcer.sp_sabotage_factory21"	"<clr:250,231,181>Диктор: Увімкнено тестування бракованих турелей."
"[english]announcer.sp_sabotage_factory21"	"<clr:250,231,181>Announcer: Defective Turret testing active."
"announcer.sp_sabotage_factory22"	"<clr:250,231,181>Диктор: Під час тестування бракованих турелей по місткам пересуватися безпечно."
"[english]announcer.sp_sabotage_factory22"	"<clr:250,231,181>Announcer: Catwalks are safe during defective turret testing."
"announcer.sp_sabotage_factory23"	"<clr:250,231,181>Диктор: Уникайте бракованих бракованих турелей, оскільки вони й досі можуть бути активованими."
"[english]announcer.sp_sabotage_factory23"	"<clr:250,231,181>Announcer: Avoid defective defective turrets as they may still be active."
"announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Диктор: Шаблон"
"[english]announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Announcer: Template"
"announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Диктор: Реакція"
"[english]announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Announcer: Response"
"announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Диктор: Застосовано новий шаблон."
"[english]announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Announcer: New template accepted."
"announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Диктор: Шаблон відсутній. Процес продовжується по пам’яті."
"[english]announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Announcer: Template missing. Continuing from memory."
"announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Диктор: Увага! Тиск нейротоксину досяг небезпечно несмертельного рівня."
"[english]announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Announcer: Warning! Neurotoxin pressure has reached dangerously unlethal levels."
"announcer.testchamber02"	"<clr:250,231,181>Диктор: Якщо наразі дослідницький центр бомбардується вогняними кулями, метеоритами або іншими об’єктами із космосу, — уникайте, будь ласка, відкритих ділянок тестування, оскільки незахищені від космічного сміття ділянки не входять до тестування."
"[english]announcer.testchamber02"	"<clr:250,231,181>Announcer: If the Enrichment Center is currently being bombarded with fireballs, meteorites, or other objects from space, please avoid unsheltered testing areas wherever a lack of shelter from space-debris DOES NOT appear to be a deliberate part of the test."
"announcer.testchamber03"	"<clr:250,231,181>Диктор: Чудово! Дослідницький центр нагадує, що попри усю похмурість ситуації, ви не одинокі. Усі роботи-помічники та автоматизовані супутники зберігатимуть працездатність навіть за критичних умов і низької напруги у 1,1 вольт."
"[english]announcer.testchamber03"	"<clr:250,231,181>Announcer: Well done! The Enrichment Center reminds you that although circumstances may appear bleak, you are not alone. All Aperture Science personality constructs will remain functional in apocalyptic, low power environments of as few as 1.1 volts."
"announcer.testchamber04"	"<clr:250,231,181>Диктор: Для забезпечення необхідної кількості енергії ключовим протоколам тестування, усі захисні пристрої будуть вимкнені. Дослідницький центр поважає ваше право піддавати сумнівам цю політику."
"[english]announcer.testchamber04"	"<clr:250,231,181>Announcer: To ensure that sufficient power remains for core testing protocols, all safety devices have been disabled. The Enrichment Center respects your right to have questions or concerns about this policy."
"announcer.testchamber05"	"<clr:250,231,181>Диктор: У деяких аварійних тестуваннях вам необхідно взаємодіяти зі смертельно небезпечними бойовими андроїдами. Ми запевняємо вас, що усі смертельно небезпечні бойові андроїди уміють читати і кожному з них було видано примірник законів робототехніки. Щоби поділитися."
"[english]announcer.testchamber05"	"<clr:250,231,181>Announcer: Some emergency testing may require prolonged interaction with lethal military androids.  Rest assured that all lethal military androids have been taught to read and provided with one copy of the Laws of Robotics. To share."
"announcer.testchamber06"	"<clr:250,231,181>Диктор: Добре. Якщо ви відчуваєте, що смертельно небезпечні бойові андроїди не поважають ваші права, як це записано у законах робототехніки, заповніть відповідну форму у вашому звіті. Майбутня правова асоціація лабораторії Aperture ініціює процедуру подання та обробки подібних скарг."
"[english]announcer.testchamber06"	"<clr:250,231,181>Announcer: Good. If you feel that a lethal military android has not respected your rights as detailed in the Laws of Robotics, please note it on your self-reporting form. A future Aperture Science Entitlement Associate will initiate the appropriate grievance-filing paperwork."
"announcer.testchamber07"	"<clr:250,231,181>Диктор: Щойно ви пройшли крізь субмолекулярну дезінтеграційну сітку, яка дезінтегрує більшість обладнання лабораторії Aperture під час дотику."
"[english]announcer.testchamber07"	"<clr:250,231,181>Announcer: You have just passed through an Aperture Science Material Emancipation Grill, which vaporizes most Aperture Science equipment that touches it."
"announcer.testchamber08"	"<clr:250,231,181>Диктор: Зауважте на поле із сяючих частинок на виході із камери. Субмолекулярна дезінтеграційна сітка лабораторії Aperture знищить будь-яке несанкціоноване обладнання, яке ви намагаєтеся пронести крізь неї."
"[english]announcer.testchamber08"	"<clr:250,231,181>Announcer: Please note the incandescent particle field across the exit. This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it."
"announcer.testchamber09"	"<clr:250,231,181>Диктор: Надзвичайно! Оскільки це повідомлення записане раніше, усі наші коментарі стосовно вашого прогресу можуть бути приблизними. Будь ласка, не зважайте на незаслужені компліменти."
"[english]announcer.testchamber09"	"<clr:250,231,181>Announcer: Great work! Because this message is prerecorded, any observations related to  your performance are speculation on our part. Please disregard any undeserved compliments."
"announcer.testchamber10"	"<clr:250,231,181>Диктор: Наступні тестування використовують принцип збереження кінетичної енергії під час проходження крізь портали. Якщо у майбутньому закони фізики не діятимуть, то нехай вам Бог помагає."
"[english]announcer.testchamber10"	"<clr:250,231,181>Announcer: This next test applies the principles of momentum to movement through portals. If the laws of physics no longer apply in the future, God help you."
"announcer.testchamber11"	"<clr:250,231,181>Диктор: Ви завели себе у пастку. Вітаємо. Двері на вихід тепер відчинено."
"[english]announcer.testchamber11"	"<clr:250,231,181>Announcer: You have trapped yourself. Congratulations. The exit door is now open."
"announcer.wakeup_powerup01"	"<clr:250,231,181>Диктор: Ініційовано ввімкнення живлення."
"[english]announcer.wakeup_powerup01"	"<clr:250,231,181>Announcer: Powerup initiated."
"announcer.wakeup_powerup02"	"<clr:250,231,181>Диктор: Увімкнення живлення виконано."
"[english]announcer.wakeup_powerup02"	"<clr:250,231,181>Announcer: Powerup complete."
"cavejohnson.cave_laugh04"	"<clr:205,149,117>Кейв Джонсон: [сміється]"
"[english]cavejohnson.cave_laugh04"	"<clr:205,149,117>Cave Johnson: [laugh]"
"cavejohnson.eighties_intro01"	"<clr:205,149,117>Кейв Джонсон: Вітаємо у дослідницькому центрі. [кашель]"
"[english]cavejohnson.eighties_intro01"	"<clr:205,149,117>Cave Johnson: Welcome to the enrichment center. [cough]"
"cavejohnson.eighties_intro03"	"<clr:205,149,117>Кейв Джонсон: Відтоді як усі працівники мають обов’язково брати участь у тестуванні, якість піддослідних стрімко зросла. Як і плинність кадрів."
"[english]cavejohnson.eighties_intro03"	"<clr:205,149,117>Cave Johnson: Since making test participation mandatory for all employees, the quality of our test subjects has risen dramatically. Employee retention, however, has not."
"cavejohnson.eighties_intro04"	"<clr:205,149,117>Кейв Джонсон: [кашель] У результаті, як ви вже, мабуть, чули, ми припинимо тестувати людей. Залишилося улагодити кілька справ."
"[english]cavejohnson.eighties_intro04"	"<clr:205,149,117>Cave Johnson: [cough] As a result, you may have heard we're gonna phase out human testing. There's still a few things left to wrap up, though."
"cavejohnson.eighties_intro06"	"<clr:205,149,117>Кейв Джонсон: Насамперед перетворювальний гель. [cough]"
"[english]cavejohnson.eighties_intro06"	"<clr:205,149,117>Cave Johnson: First up, conversion gel. [cough]"
