"lang"
{
"Language"	"polish"
"announcer.mp_hub_return05"	"<clr:250,231,181>Komunikat: Witamy z powrotem w centralnym pomieszczeniu. Wszystkie pomieszczenia testowe są dostępne. Można swobodnie brać udział w testach w dogodnej dla siebie chwili."
"[english]announcer.mp_hub_return05"	"<clr:250,231,181>Announcer: Welcome back to the central hub. All test courses are available. You may redundantly solve the courses at your leisure."
"announcer.mp_hub_return06"	"<clr:250,231,181>Komunikat: Dziękujemy za ukończenie testów. W celu ponownego doświadczenia ekscytujących zmagań można powtórzyć wybrany test w dowolnym momencie."
"[english]announcer.mp_hub_return06"	"<clr:250,231,181>Announcer: Thank you for completing the testing courses. If you enjoyed your experience, you may now re-enter the testing course of your choice."
"announcer.mp_hub_return07"	"<clr:250,231,181>Komunikat: W dowód uznania za ukończenie wszystkich testów przyznane zostały uprawnienia poziomu C. Udostępniono wszystkie obszary testowe oraz trzy z 176 toalet Aperture Science."
"[english]announcer.mp_hub_return07"	"<clr:250,231,181>Announcer: By completing all test courses, you have achieved Level C security clearance. You may now access all testing courses and three of Aperture Science's 176 restrooms."
"announcer.openingcourtesy01"	"<clr:250,231,181>Komunikat: Dzień dobry. Czas spędzony w hibernacji wynosi: dziewięć, dziewięć, dziewięć... dziewięć, dziewięć, dzie- Niniejszy komunikat ma na celu poinformowanie o konieczności opuszczenia [CICHNIE]"
"[english]announcer.openingcourtesy01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for nine nine nine... nine nine ni- This courtesy call is to inform you that all test subjects should immediately vacate [FADES OUT]"
"announcer.openingexercise01"	"<clr:250,231,181>Komunikat: Dzień dobry. Czas spędzony w hibernacji wynosi: PIĘĆDZIESIĄT DNI. W celu zachowania zgodności z przepisami stanowymi i federalnymi wszyscy kandydaci do testowania w Centrum wydłużonej relaksacji Aperture Science są okresowo wybudzani celem przeprowadzenia obowiązkowych ćwiczeń fizycznych i umysłowych."
"[english]announcer.openingexercise01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for -FIFTY- days. In compliance with state and federal regulations, all testing candidates in the Aperture Science Extended Relaxation Center must be revived periodically for a mandatory physical and mental wellness exercise."
"announcer.openingexercise02"	"<clr:250,231,181>Komunikat: Usłyszysz sygnał dźwiękowy. Po usłyszeniu sygnału dźwiękowego spójrz na sufit. [DŹWIĘK BRZĘCZYKA]"
"[english]announcer.openingexercise02"	"<clr:250,231,181>Announcer: You will hear a buzzer. When you hear the buzzer, look up at the ceiling. [BUZZER]"
"announcer.openingexercise03"	"<clr:250,231,181>Komunikat: Dobrze. Usłyszysz sygnał dźwiękowy. Po usłyszeniu sygnału dźwiękowego spójrz na podłogę. [DŹWIĘK BRZĘCZYKA]"
"[english]announcer.openingexercise03"	"<clr:250,231,181>Announcer: Good. You will hear a buzzer. When you hear the buzzer, look down at the floor. [BUZZER]"
"announcer.openingexercise04"	"<clr:250,231,181>Komunikat: Dobrze. Niniejszym zakończono gimnastyczną część twoich obowiązkowych ćwiczeń fizycznych i umysłowych."
"[english]announcer.openingexercise04"	"<clr:250,231,181>Announcer: Good. This completes the gymnastic portion of your mandatory physical and mental wellness exercise."
"announcer.openingexercise05"	"<clr:250,231,181>Komunikat: Na przeciwnej ścianie znajduje się obraz. Podejdź i stań przed obrazem."
"[english]announcer.openingexercise05"	"<clr:250,231,181>Announcer: There is a framed painting on the wall. Please go stand in front of it."
"announcer.openingexercise06"	"<clr:250,231,181>Komunikat: To jest sztuka. Usłyszysz sygnał dźwiękowy. Po usłyszeniu sygnału dźwiękowego wpatruj się w sztukę. [DŹWIĘK BRZĘCZYKA]"
"[english]announcer.openingexercise06"	"<clr:250,231,181>Announcer: This is art. You will hear a buzzer. When you hear the buzzer, stare at the art. [BUZZER]"
"announcer.openingexercise07"	"<clr:250,231,181>Komunikat: Powinieneś teraz odczuwać ożywienie umysłowe. Jeśli podejrzewasz, że wpatrywanie się w sztukę nie dostarczyło wymaganego ożywienia umysłowego, zastanów się krótko nad tym klasycznym utworem. [MUZYKA PRZERWANA PRZEZ BRZĘCZYK]"
"[english]announcer.openingexercise07"	"<clr:250,231,181>Announcer: You should now feel mentally reinvigorated. If you suspect staring at art has not provided the required intellectual sustenance, reflect briefly on this classical music. [MUSIC INTERRUPTED BY BUZZER]"
"announcer.openingexercise08"	"<clr:250,231,181>Komunikat: Dobrze. A teraz prosimy wrócić do łóżka."
"[english]announcer.openingexercise08"	"<clr:250,231,181>Announcer: Good. Now please return to your bed."
"announcer.openingsafeguards01"	"<clr:250,231,181>Komunikat: Wszystkie zabezpieczenia rdzenia reaktora są nieaktywne. Prosimy przygotować się na stopienie rdzenia reaktora."
"[english]announcer.openingsafeguards01"	"<clr:250,231,181>Announcer: All reactor core safeguards are now non-functional. Please prepare for reactor core meltdown."
"announcer.prehub06"	"<clr:250,231,181>Komunikat: Dzień dobry. Witamy ponownie w laboratorium Aperture Science Enrichment Center."
"[english]announcer.prehub06"	"<clr:250,231,181>Announcer: Hello, and again, welcome to the Aperture Science Enrichment Center."
"announcer.prehub08"	"<clr:250,231,181>Komunikat: Doświadczamy aktualnie trudności technicznych, spowodowanych okolicznościami o potencjalnie apokaliptycznym znaczeniu, które znajdują się poza naszą kontrolą."
"[english]announcer.prehub08"	"<clr:250,231,181>Announcer: We are currently experiencing technical difficulties due to circumstances of potentially apocalyptic significance beyond our control."
"announcer.prehub09"	"<clr:250,231,181>Komunikat: Jednakże dzięki awaryjnym protokołom testowym możemy kontynuować testowanie. Te nagrane komunikaty dostarczać będą wsparcia w zakresie instrukcji i motywacji, tak aby badania naukowe mogły być kontynuowane nawet w przypadku ekologicznej, społecznej, ekonomicznej lub strukturalnej katastrofy."
"[english]announcer.prehub09"	"<clr:250,231,181>Announcer: However, thanks to Emergency Testing Protocols, testing can continue. These pre-recorded messages will provide instructional and motivational support, so that science can still be done, even in the event of environmental, social, economic, or structural collapse."
"announcer.prehub10"	"<clr:250,231,181>Komunikat: Otwarcie portalu i rozpoczęcie awaryjnego testowania za trzy... dwa... jeden."
"[english]announcer.prehub10"	"<clr:250,231,181>Announcer: The portal will open and emergency testing will begin in three. Two. One."
"announcer.prehub11"	"<clr:250,231,181>Komunikat: Testowanie z użyciem kostek i przycisków pozostaje ważnym narzędziem naukowym nawet w sytuacjach alarmowych."
"[english]announcer.prehub11"	"<clr:250,231,181>Announcer: Cube- and button-based testing remains an important tool for science, even in a dire emergency."
"announcer.prehub12"	"<clr:250,231,181>Komunikat: Jeśli testowanie z użyciem kostek i przycisków spowodowało wystąpienie sytuacji alarmowej, nie martw się. Szanse powtórzenia tej sytuacji są nieznaczne."
"[english]announcer.prehub12"	"<clr:250,231,181>Announcer: If cube- and button-based testing caused this emergency, don't worry. The odds of this happening twice are very slim."
"announcer.prehub17"	"<clr:250,231,181>Komunikat: Jeśli nie jesteś pracownikiem laboratorium i odkryłeś tę placówkę pośród ruin cywilizacji, pamiętaj: testowanie to przyszłość, a przyszłość zaczyna się od ciebie."
"[english]announcer.prehub17"	"<clr:250,231,181>Announcer: If you are a non-employee who has discovered this facility amid the ruins of civilization, welcome! And remember: Testing is the future, and the future starts with you."
"announcer.prehub18"	"<clr:250,231,181>Komunikat: Dobra robota, obywatelu przyszłości! Jednakże, jeśli jesteś stary, ograniczony umysłowo lub napromieniowany w takim stopniu, iż przyszłość nie powinna zacząć się od ciebie, prosimy o powrót do twojej prymitywnej, postapokaliptycznej społeczności i przysłanie osoby, która posiada lepsze kwalifikacje."
"[english]announcer.prehub18"	"<clr:250,231,181>Announcer: Good work getting this far, future-starter! That said, if you are simple-minded, old, or irradiated in such a way that the future should not start with you, please return to your primitive tribe and send back someone better-qualified for testing."
"announcer.prehub19"	"<clr:250,231,181>Komunikat: Ze względu na zaistniałe trudności techniczne środowisko testowe nie jest nadzorowane."
"[english]announcer.prehub19"	"<clr:250,231,181>Announcer: Because of the technical difficulties we are currently experiencing, your test environment is unsupervised."
"announcer.prehub20"	"<clr:250,231,181>Komunikat: Przed powrotem do komory relaksacyjnej po zakończeniu testowania prosimy poświęcić chwilę na spisanie wyników swojego testu. Asystent reintegracji Aperture Science ożywi cię i przeprowadzi z tobą rozmowę, gdy społeczeństwo zostanie odbudowane."
"[english]announcer.prehub20"	"<clr:250,231,181>Announcer: Before re-entering a relaxation vault at the conclusion of testing, please take a moment to write down the results of your test. An Aperture Science Reintegration Associate will revive you for an interview when society has been rebuilt."
"announcer.prehub27"	"<clr:250,231,181>Komunikat: Jeśli poczujesz ściekającą po szyi ciecz, zrelaksuj się, połóż się na plecach i natychmiast zastosuj ucisk na skroniach."
"[english]announcer.prehub27"	"<clr:250,231,181>Announcer: If you feel liquid running down your neck, relax, lie on your back, and apply immediate pressure to your temples."
"announcer.prehub28"	"<clr:250,231,181>Komunikat: Jest to po prostu nietypowa reakcja na siatkę dematerializującą, która mogła zdezintegrować kanały uszne w twojej głowie."
"[english]announcer.prehub28"	"<clr:250,231,181>Announcer: You are simply experiencing a rare reaction in which the Material Emancipation Grill may have emancipated the ear tubes inside your head."
"announcer.prehub42"	"<clr:250,231,181>Komunikat: Kolejny test jest wyjątkowo niebezpieczny. Aby pomóc ci w zachowaniu spokoju w obliczu niemal pewnej śmierci, zastosowany zostanie smooth jazz za trzy... dwa... jeden. [SMOOTH JAZZ]"
"[english]announcer.prehub42"	"<clr:250,231,181>Announcer: This next test is very dangerous. To help you remain tranquil in the face of almost certain death, smooth jazz will be deployed in three. Two. One. [SMOOTH JAZZ]"
"announcer.prehub43"	"<clr:250,231,181>Komunikat: W momencie nagrywania niniejszego komunikatu przepisy federalne obligują nas do poinformowania, iż kolejny tekst jest prawdopodobnie śmiertelny oraz do pokierowania cię do bezpieczniejszego obszaru testowego."
"[english]announcer.prehub43"	"<clr:250,231,181>Announcer: At the time of this recording, Federal disclosure policies require us to inform you that this next test is probably lethal and to redirect you to a safer test environment."
"announcer.prehub44"	"<clr:250,231,181>Komunikat: Postaramy się zachować zgodność z tymi obecnie nieistniejącymi agencjami, odtwarzając więcej smooth jazzu."
"[english]announcer.prehub44"	"<clr:250,231,181>Announcer: We will attempt to comply with these now non-existent agencies by playing some more smooth jazz."
"announcer.prehub46"	"<clr:250,231,181>Komunikat: Jeśli władzę na Ziemi sprawuje istota zwierzęca, obdarzona świadomością chmura lub inne ciało zarządzające, które odmawia lub nie jest w stanie wysłuchać racjonalnych argumentów, laborator-BZZZT!"
"[english]announcer.prehub46"	"<clr:250,231,181>Announcer: If the Earth is currently governed by a manner of animal-king, sentient cloud, or other governing body that either refuses to or is incapable of listening to reason, th- [RECORDING SHORTS OUT]"
"announcer.sarcasmcore01"	"<clr:250,231,181>Komunikat: Autotest sarkazmu zakończony."
"[english]announcer.sarcasmcore01"	"<clr:250,231,181>Announcer: [beep] Sarcasm Self Test complete. [beep]"
"announcer.sp_sabotage_factory13"	"<clr:250,231,181>Komunikat: Linia odkupienia dla wieżyczek aktywna."
"[english]announcer.sp_sabotage_factory13"	"<clr:250,231,181>Announcer: Turret redemption lines active."
"announcer.sp_sabotage_factory14"	"<clr:250,231,181>Komunikat: Prosimy o niewchodzenie w interakcję z wieżyczkami zmierzającymi do odkupienia."
"[english]announcer.sp_sabotage_factory14"	"<clr:250,231,181>Announcer: Please do not engage with turrets heading towards redemption."
"announcer.sp_sabotage_factory15"	"<clr:250,231,181>Komunikat: Linie odkupienia dla wieżyczek nie służą do zabawy. Prosimy o zejście z linii odkupienia dla wieżyczek."
"[english]announcer.sp_sabotage_factory15"	"<clr:250,231,181>Announcer: Turret redemption lines are not rides, please exit the turret redemption line."
"announcer.sp_sabotage_factory16"	"<clr:250,231,181>Komunikat: Linia dla aktywnych wieżyczek aktywna. Prosimy zachować szczególną ostrożność podczas wchodzenia do pomieszczenia."
"[english]announcer.sp_sabotage_factory16"	"<clr:250,231,181>Announcer: Live turret line is active. Enter room with extreme caution."
"announcer.sp_sabotage_factory17"	"<clr:250,231,181>Komunikat: Prosimy unikać aktywowania wieżyczek lub rozstrzelania przez wieżyczki."
"[english]announcer.sp_sabotage_factory17"	"<clr:250,231,181>Announcer: Please avoid alerting active turrets or being shot by active turrets."
"announcer.sp_sabotage_factory18"	"<clr:250,231,181>Komunikat: Sterylne środowisko – prosimy unikać wchodzenia na linię wieżyczek."
"[english]announcer.sp_sabotage_factory18"	"<clr:250,231,181>Announcer: This is a sterile environment; please refrain from riding on the turret line."
"announcer.sp_sabotage_factory19"	"<clr:250,231,181>Komunikat: Pomieszczenia te należy zachować w czystości. Środki odkażające mogą uszkodzić proces odkupienia dla wieżyczek."
"[english]announcer.sp_sabotage_factory19"	"<clr:250,231,181>Announcer: This is a clean room facility, decontaminates can harm the turret redemption process."
"announcer.sp_sabotage_factory20"	"<clr:250,231,181>Komunikat: Testowanie sprawnych wieżyczek aktywne."
"[english]announcer.sp_sabotage_factory20"	"<clr:250,231,181>Announcer: Non-defective turret testing active."
"announcer.sp_sabotage_factory21"	"<clr:250,231,181>Komunikat: Testowanie wadliwych wieżyczek aktywne."
"[english]announcer.sp_sabotage_factory21"	"<clr:250,231,181>Announcer: Defective Turret testing active."
"announcer.sp_sabotage_factory22"	"<clr:250,231,181>Komunikat: Kładki są bezpieczne podczas testowania wadliwych wieżyczek."
"[english]announcer.sp_sabotage_factory22"	"<clr:250,231,181>Announcer: Catwalks are safe during defective turret testing."
"announcer.sp_sabotage_factory23"	"<clr:250,231,181>Komunikat: Należy unikać uszkodzonych wadliwych wieżyczek, ponieważ mogą one nadal być aktywne."
"[english]announcer.sp_sabotage_factory23"	"<clr:250,231,181>Announcer: Avoid defective defective turrets as they may still be active."
"announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Komunikat: Szablon"
"[english]announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Announcer: Template"
"announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Komunikat: Odpowiedź"
"[english]announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Announcer: Response"
"announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Komunikat: Zaakceptowano nowy szablon."
"[english]announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Announcer: New template accepted."
"announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Komunikat: Brak szablonu. Kontynuuję z pamięci."
"[english]announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Announcer: Template missing. Continuing from memory."
"announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Komunikat: Ostrzeżenie! Ciśnienie neurotoksyn osiągnęło niebezpiecznie nieszkodliwy poziom."
"[english]announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Announcer: Warning! Neurotoxin pressure has reached dangerously unlethal levels."
"announcer.testchamber02"	"<clr:250,231,181>Komunikat: Jeśli laboratorium Enrichment Center jest aktualnie bombardowane przez kule ognia, meteoryty lub inne kosmiczne obiekty, należy unikać obszarów testowych pozbawionych ochrony w sytuacjach, gdzie brak ochrony przed kosmicznymi szczątkami NIE STANOWI części testu."
"[english]announcer.testchamber02"	"<clr:250,231,181>Announcer: If the Enrichment Center is currently being bombarded with fireballs, meteorites, or other objects from space, please avoid unsheltered testing areas wherever a lack of shelter from space-debris DOES NOT appear to be a deliberate part of the test."
"announcer.testchamber03"	"<clr:250,231,181>Komunikat: Dobra robota! Laboratorium Enrichment Center przypomina: mimo iż okoliczności mogą wydawać się ponure, nie jesteś sam. Wszystkie moduły osobowości Aperture Science zachowają funkcjonalność w postapokaliptycznych środowiskach, gdzie poziom zasilania wynosi przynajmniej 1,1 V."
"[english]announcer.testchamber03"	"<clr:250,231,181>Announcer: Well done! The Enrichment Center reminds you that although circumstances may appear bleak, you are not alone. All Aperture Science personality constructs will remain functional in apocalyptic, low power environments of as few as 1.1 volts."
"announcer.testchamber04"	"<clr:250,231,181>Komunikat: W celu zapewnienia dostawy wystarczającej ilości energii dla głównych protokołów testowych wszelkie urządzenia zabezpieczające zostały wyłączone. Laboratorium Enrichment Center szanuje twoje prawo do pytań i zastrzeżeń dotyczących wspomnianego przepisu."
"[english]announcer.testchamber04"	"<clr:250,231,181>Announcer: To ensure that sufficient power remains for core testing protocols, all safety devices have been disabled. The Enrichment Center respects your right to have questions or concerns about this policy."
"announcer.testchamber05"	"<clr:250,231,181>Komunikat: Część awaryjnych procedur testowych może wymagać wydłużonej interakcji ze śmiercionośnymi androidami wojskowymi. Zapewniamy, że wszystkie androidy wojskowe nauczono czytać i przekazano im kopię Praw robotyki. Wspólną."
"[english]announcer.testchamber05"	"<clr:250,231,181>Announcer: Some emergency testing may require prolonged interaction with lethal military androids.  Rest assured that all lethal military androids have been taught to read and provided with one copy of the Laws of Robotics. To share."
"announcer.testchamber06"	"<clr:250,231,181>Komunikat: Dobrze. Jeśli uważasz, że śmiercionośny android wojskowy nie uszanował twojej godności zgodnie z postanowieniami Praw robotyki, prosimy o sporządzenie notatki na odpowiednim formularzu. W przyszłości asystent Aperture Science ds. przepisów rozpocznie odpowiednią procedurę służbową."
"[english]announcer.testchamber06"	"<clr:250,231,181>Announcer: Good. If you feel that a lethal military android has not respected your rights as detailed in the Laws of Robotics, please note it on your self-reporting form. A future Aperture Science Entitlement Associate will initiate the appropriate grievance-filing paperwork."
"announcer.testchamber07"	"<clr:250,231,181>Komunikat: Właśnie przekroczono siatkę dematerializującą Aperture Science, która powoduje wyparowanie większości urządzeń Aperture Science, które się z nią zetkną."
"[english]announcer.testchamber07"	"<clr:250,231,181>Announcer: You have just passed through an Aperture Science Material Emancipation Grill, which vaporizes most Aperture Science equipment that touches it."
"announcer.testchamber08"	"<clr:250,231,181>Komunikat: Prosimy zwrócić uwagę na żarzące się pole cząsteczek w przejściu. Jest to siatka dematerializująca Aperture Science, która powoduje wyparowanie wszelkich niedozwolonych przedmiotów."
"[english]announcer.testchamber08"	"<clr:250,231,181>Announcer: Please note the incandescent particle field across the exit. This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it."
"announcer.testchamber09"	"<clr:250,231,181>Komunikat: Świetna robota! Z uwagi na fakt, iż niniejszy komunikat jest nagraniem, wszelkie nasze obserwacje powiązane z twoim działaniem mają charakter spekulacji. Prosimy nie zwracać uwagi na niezasłużone komplementy."
"[english]announcer.testchamber09"	"<clr:250,231,181>Announcer: Great work! Because this message is prerecorded, any observations related to  your performance are speculation on our part. Please disregard any undeserved compliments."
"announcer.testchamber10"	"<clr:250,231,181>Komunikat: Kolejny test wymaga zastosowania zasad pędu podczas przemieszczania się między portalami. Jeśli prawa fizyki nie stosują się już w przyszłości, niech Bóg ma cię w swojej opiece."
"[english]announcer.testchamber10"	"<clr:250,231,181>Announcer: This next test applies the principles of momentum to movement through portals. If the laws of physics no longer apply in the future, God help you."
"announcer.testchamber11"	"<clr:250,231,181>Komunikat: Gratulujemy znalezienia się w sytuacji bez wyjścia. Trwa otwieranie drzwi."
"[english]announcer.testchamber11"	"<clr:250,231,181>Announcer: You have trapped yourself. Congratulations. The exit door is now open."
"announcer.wakeup_powerup01"	"<clr:250,231,181>Komunikat: Rozpoczęto przywracanie zasilania."
"[english]announcer.wakeup_powerup01"	"<clr:250,231,181>Announcer: Powerup initiated."
