"lang"
{
"Language"	"dutch"
"[english]announcer.mp_hub_return06"	"<clr:250,231,181>Announcer: Thank you for completing the testing courses. If you enjoyed your experience, you may now re-enter the testing course of your choice."
"announcer.mp_hub_return07"	"<clr:250,231,181>Omroeper: Wegens het voltooien van alle testtrajecten wordt u het beveiligingsniveau C verleend. U hebt nu toegang tot alle testtrajecten en tot drie van de 176 toiletten van Aperture Science."
"[english]announcer.mp_hub_return07"	"<clr:250,231,181>Announcer: By completing all test courses, you have achieved Level C security clearance. You may now access all testing courses and three of Aperture Science's 176 restrooms."
"announcer.openingcourtesy01"	"<clr:250,231,181>Omroeper: Goedemorgen. U bent kunstmatig in slaap gehouden gedurende: negen, negen, negen... negen, negen, neg- Middels deze wekdienst willen wij u laten weten dat alle proefpersonen het verrijkingscentrum onmiddellijk dienen te verlaten. [VERVAAGT]"
"[english]announcer.openingcourtesy01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for nine nine nine... nine nine ni- This courtesy call is to inform you that all test subjects should immediately vacate [FADES OUT]"
"announcer.openingexercise01"	"<clr:250,231,181>Omroeper: Goedemorgen. U bent kunstmatig in slaap gehouden gedurende... -VIJFTIG- dagen. Overeenkomstig de regionale en nationale regelgeving dienen alle proefpersonen in het langdurige ontspanningscentrum van Aperture Science periodiek tot leven gewekt te worden voor verplichte lichamelijke en geestelijke oefeningen."
"[english]announcer.openingexercise01"	"<clr:250,231,181>Announcer: Good morning. You have been in suspension for -FIFTY- days. In compliance with state and federal regulations, all testing candidates in the Aperture Science Extended Relaxation Center must be revived periodically for a mandatory physical and mental wellness exercise."
"announcer.openingexercise02"	"<clr:250,231,181>Omroeper: U hoort een zoemer. Kijk omhoog naar het plafond als u de zoemer hoort. [ZOEMER]"
"[english]announcer.openingexercise02"	"<clr:250,231,181>Announcer: You will hear a buzzer. When you hear the buzzer, look up at the ceiling. [BUZZER]"
"announcer.openingexercise03"	"<clr:250,231,181>Omroeper: Goed. U hoort een zoemer. Kijk omlaag naar de vloer als u de zoemer hoort. [ZOEMER]"
"[english]announcer.openingexercise03"	"<clr:250,231,181>Announcer: Good. You will hear a buzzer. When you hear the buzzer, look down at the floor. [BUZZER]"
"announcer.openingexercise04"	"<clr:250,231,181>Omroeper: Goed. Hiermee is het fysieke onderdeel van uw verplichte lichamelijke en geestelijke oefeningen voltooid."
"[english]announcer.openingexercise04"	"<clr:250,231,181>Announcer: Good. This completes the gymnastic portion of your mandatory physical and mental wellness exercise."
"announcer.openingexercise05"	"<clr:250,231,181>Omroeper: Er hangt een ingelijst schilderij op de muur tegenover u. Ga ervoor staan."
"[english]announcer.openingexercise05"	"<clr:250,231,181>Announcer: There is a framed painting on the wall. Please go stand in front of it."
"announcer.openingexercise06"	"<clr:250,231,181>Omroeper: Dit is kunst. U hoort een zoemer. Kijk naar de kunst als u de zoemer hoort. [ZOEMER]"
"[english]announcer.openingexercise06"	"<clr:250,231,181>Announcer: This is art. You will hear a buzzer. When you hear the buzzer, stare at the art. [BUZZER]"
"announcer.openingexercise07"	"<clr:250,231,181>Omroeper: U moet zich nu mentaal gestimuleerd voelen. Indien u vermoedt dat het kijken naar kunst niet de noodzakelijke intellectuele stimulans heeft geboden, beluister dan deze klassieke muziek. [MUZIEK ONDERBROKEN DOOR ZOEMER]"
"[english]announcer.openingexercise07"	"<clr:250,231,181>Announcer: You should now feel mentally reinvigorated. If you suspect staring at art has not provided the required intellectual sustenance, reflect briefly on this classical music. [MUSIC INTERRUPTED BY BUZZER]"
"announcer.openingexercise08"	"<clr:250,231,181>Omroeper: Goed. Keer nu terug naar uw bed."
"[english]announcer.openingexercise08"	"<clr:250,231,181>Announcer: Good. Now please return to your bed."
"announcer.openingsafeguards01"	"<clr:250,231,181>Omroeper: Alle beveiligingsmechanismen voor de reactorkern zijn uitgeschakeld. Bereid u voor op een meltdown van de reactorkern."
"[english]announcer.openingsafeguards01"	"<clr:250,231,181>Announcer: All reactor core safeguards are now non-functional. Please prepare for reactor core meltdown."
"announcer.prehub06"	"<clr:250,231,181>Omroeper: Hallo. Nogmaals welkom in het verrijkingscentrum van Aperture Science."
"[english]announcer.prehub06"	"<clr:250,231,181>Announcer: Hello, and again, welcome to the Aperture Science Enrichment Center."
"announcer.prehub08"	"<clr:250,231,181>Omroeper: Wij kampen momenteel met technische problemen wegens omstandigheden van potentieel apocalyptische aard buiten onze macht."
"[english]announcer.prehub08"	"<clr:250,231,181>Announcer: We are currently experiencing technical difficulties due to circumstances of potentially apocalyptic significance beyond our control."
"announcer.prehub09"	"<clr:250,231,181>Omroeper: Dankzij de noodtestprotocollen kan het testen wel worden voortgezet. Deze vooraf opgenomen berichten bieden u uitleg en ondersteuning, zodat zelfs in het geval van een ramp van milieutechnische, sociale, economische of structurele aard wetenschap kan worden bedreven."
"[english]announcer.prehub09"	"<clr:250,231,181>Announcer: However, thanks to Emergency Testing Protocols, testing can continue. These pre-recorded messages will provide instructional and motivational support, so that science can still be done, even in the event of environmental, social, economic, or structural collapse."
"announcer.prehub10"	"<clr:250,231,181>Omroeper: De portal gaat open en de noodtest start over drie, twee, één."
"[english]announcer.prehub10"	"<clr:250,231,181>Announcer: The portal will open and emergency testing will begin in three. Two. One."
"announcer.prehub11"	"<clr:250,231,181>Omroeper: Testen op basis van kubussen en knoppen blijft een belangrijk wetenschappelijk hulpmiddel, zelfs in geval van nood."
"[english]announcer.prehub11"	"<clr:250,231,181>Announcer: Cube- and button-based testing remains an important tool for science, even in a dire emergency."
"announcer.prehub12"	"<clr:250,231,181>Omroeper: Indien het testen op basis van kubussen en knoppen deze noodsituatie heeft veroorzaakt, hoeft u zich niet ongerust te maken. De kans dat dit twee keer gebeurt, is miniem."
"[english]announcer.prehub12"	"<clr:250,231,181>Announcer: If cube- and button-based testing caused this emergency, don't worry. The odds of this happening twice are very slim."
"announcer.prehub17"	"<clr:250,231,181>Omroeper: Indien u geen medewerker bent en deze basis hebt ontdekt te midden van de overblijfselen van een beschaving, welkom! En vergeet niet: testen is de toekomst en de toekomst begint met u."
"[english]announcer.prehub17"	"<clr:250,231,181>Announcer: If you are a non-employee who has discovered this facility amid the ruins of civilization, welcome! And remember: Testing is the future, and the future starts with you."
"announcer.prehub18"	"<clr:250,231,181>Omroeper: Goed gedaan, toekomststarter! Dat gezegd zijnde, indien u oud, simpel van geest of dermate bestraald bent dat de toekomst niet met u kan beginnen, keer dan alstublieft terug naar uw primitieve, post-apocalyptische stam en stuur iemand die beter geschikt is als proefpersoon."
"[english]announcer.prehub18"	"<clr:250,231,181>Announcer: Good work getting this far, future-starter! That said, if you are simple-minded, old, or irradiated in such a way that the future should not start with you, please return to your primitive tribe and send back someone better-qualified for testing."
"announcer.prehub19"	"<clr:250,231,181>Omroeper: Wegens de huidige technische problemen is uw testomgeving onbewaakt."
"[english]announcer.prehub19"	"<clr:250,231,181>Announcer: Because of the technical difficulties we are currently experiencing, your test environment is unsupervised."
"announcer.prehub20"	"<clr:250,231,181>Omroeper: Voordat u na het voltooien van de test terugkeert naar de ontspanningskluis, verzoeken wij u de tijd te nemen om de resultaten van uw test op te schrijven. Een re-integratiebegeleider van Aperture Science wekt u tot leven voor een interview nadat de maatschappij weer is opgebouwd."
"[english]announcer.prehub20"	"<clr:250,231,181>Announcer: Before re-entering a relaxation vault at the conclusion of testing, please take a moment to write down the results of your test. An Aperture Science Reintegration Associate will revive you for an interview when society has been rebuilt."
"announcer.prehub27"	"<clr:250,231,181>Omroeper: Indien u vloeistof langs uw nek voelt lopen, ontspan, ga op uw rug liggen en oefen druk uit op uw slapen."
"[english]announcer.prehub27"	"<clr:250,231,181>Announcer: If you feel liquid running down your neck, relax, lie on your back, and apply immediate pressure to your temples."
"announcer.prehub28"	"<clr:250,231,181>Omroeper: U hebt een zeldzame reactie waarbij het materiaalemancipatieraster de oorbuisjes in uw hoofd heeft geëmancipeerd."
"[english]announcer.prehub28"	"<clr:250,231,181>Announcer: You are simply experiencing a rare reaction in which the Material Emancipation Grill may have emancipated the ear tubes inside your head."
"announcer.prehub42"	"<clr:250,231,181>Omroeper: De volgende test is extreem gevaarlijk. Om u te helpen uw kalmte te bewaren met de dood voor ogen, spelen wij wat rustige jazz af over drie, twee, één. [RUSTIGE JAZZ]"
"[english]announcer.prehub42"	"<clr:250,231,181>Announcer: This next test is very dangerous. To help you remain tranquil in the face of almost certain death, smooth jazz will be deployed in three. Two. One. [SMOOTH JAZZ]"
"announcer.prehub43"	"<clr:250,231,181>Omroeper: Volgens het op het moment van deze opname geldende, nationale openbaarheidsbeleid moeten wij u op de hoogte stellen van het feit dat de volgende test waarschijnlijk dodelijk is en u begeleiden naar een veiligere testomgeving."
"[english]announcer.prehub43"	"<clr:250,231,181>Announcer: At the time of this recording, Federal disclosure policies require us to inform you that this next test is probably lethal and to redirect you to a safer test environment."
"announcer.prehub44"	"<clr:250,231,181>Omroeper: Wij zullen proberen aan de eisen van deze niet langer bestaande overheidsinstanties te voldoen door nog wat rustige jazz af te spelen."
"[english]announcer.prehub44"	"<clr:250,231,181>Announcer: We will attempt to comply with these now non-existent agencies by playing some more smooth jazz."
"announcer.prehub46"	"<clr:250,231,181>Omroeper: Indien de aarde op dit moment wordt geregeerd door een soort beest-koning, wolk met bewustzijn of andere entiteit die weigert of niet in staat is om naar redelijke argumenten te luisteren, dan-BZZZZ!"
"[english]announcer.prehub46"	"<clr:250,231,181>Announcer: If the Earth is currently governed by a manner of animal-king, sentient cloud, or other governing body that either refuses to or is incapable of listening to reason, th- [RECORDING SHORTS OUT]"
"announcer.sarcasmcore01"	"<clr:250,231,181>Omroeper: Sarcasme-zelftest voltooid."
"[english]announcer.sarcasmcore01"	"<clr:250,231,181>Announcer: [beep] Sarcasm Self Test complete. [beep]"
"announcer.sp_sabotage_factory13"	"<clr:250,231,181>Omroeper: Turretbevrijdingsspoor actief."
"[english]announcer.sp_sabotage_factory13"	"<clr:250,231,181>Announcer: Turret redemption lines active."
"announcer.sp_sabotage_factory14"	"<clr:250,231,181>Omroeper: Maak geen contact met turrets die op weg zijn naar bevrijding."
"[english]announcer.sp_sabotage_factory14"	"<clr:250,231,181>Announcer: Please do not engage with turrets heading towards redemption."
"announcer.sp_sabotage_factory15"	"<clr:250,231,181>Omroeper: Turretbevrijdingssporen zijn geen pretparkattracties, verlaat het turretbevrijdingsspoor."
"[english]announcer.sp_sabotage_factory15"	"<clr:250,231,181>Announcer: Turret redemption lines are not rides, please exit the turret redemption line."
"announcer.sp_sabotage_factory16"	"<clr:250,231,181>Omroeper: Turretspoor actief. Betreed de kamer uiterst voorzichtig."
"[english]announcer.sp_sabotage_factory16"	"<clr:250,231,181>Announcer: Live turret line is active. Enter room with extreme caution."
"announcer.sp_sabotage_factory17"	"<clr:250,231,181>Omroeper: Voorkom dat actieve turrets uw aanwezigheid opmerken of op u schieten."
"[english]announcer.sp_sabotage_factory17"	"<clr:250,231,181>Announcer: Please avoid alerting active turrets or being shot by active turrets."
"announcer.sp_sabotage_factory18"	"<clr:250,231,181>Omroeper: Dit is een steriele omgeving; het is verboden een rit te maken op het turretspoor."
"[english]announcer.sp_sabotage_factory18"	"<clr:250,231,181>Announcer: This is a sterile environment; please refrain from riding on the turret line."
"announcer.sp_sabotage_factory19"	"<clr:250,231,181>Omroeper: Dit is een gedesinfecteerde ruimte. Verontreinigingen kunnen het turretbevrijdingsproces schaden."
"[english]announcer.sp_sabotage_factory19"	"<clr:250,231,181>Announcer: This is a clean room facility, decontaminates can harm the turret redemption process."
"announcer.sp_sabotage_factory20"	"<clr:250,231,181>Omroeper: Testen van niet-defecte turrets actief."
"[english]announcer.sp_sabotage_factory20"	"<clr:250,231,181>Announcer: Non-defective turret testing active."
"announcer.sp_sabotage_factory21"	"<clr:250,231,181>Omroeper: Testen van defecte turrets actief."
"[english]announcer.sp_sabotage_factory21"	"<clr:250,231,181>Announcer: Defective Turret testing active."
"announcer.sp_sabotage_factory22"	"<clr:250,231,181>Omroeper: Looppaden zijn veilig tijdens het testen van defecte turrets."
"[english]announcer.sp_sabotage_factory22"	"<clr:250,231,181>Announcer: Catwalks are safe during defective turret testing."
"announcer.sp_sabotage_factory23"	"<clr:250,231,181>Omroeper: Ontwijk defecte defecte turrets, aangezien zij nog actief kunnen zijn."
"[english]announcer.sp_sabotage_factory23"	"<clr:250,231,181>Announcer: Avoid defective defective turrets as they may still be active."
"announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Omroeper: Sjabloon"
"[english]announcer.sp_sabotage_factory_line01"	"<clr:250,231,181><low>Announcer: Template"
"announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Omroeper: Antwoord"
"[english]announcer.sp_sabotage_factory_line02"	"<clr:250,231,181><low>Announcer: Response"
"announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Omroeper: Nieuwe sjabloon geaccepteerd."
"[english]announcer.sp_sabotage_factory_line04"	"<clr:250,231,181>Announcer: New template accepted."
"announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Omroeper: Sjabloon niet gevonden. Voortzetting vanuit geheugen."
"[english]announcer.sp_sabotage_factory_line05"	"<clr:250,231,181>Announcer: Template missing. Continuing from memory."
"announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Omroeper: Waarschuwing! De zenuwgifdruk heeft een gevaarlijk niet-dodelijk niveau bereikt."
"[english]announcer.sp_sabotage_implosion01"	"<clr:250,231,181>Announcer: Warning! Neurotoxin pressure has reached dangerously unlethal levels."
"announcer.testchamber02"	"<clr:250,231,181>Omroeper: Indien het verrijkingscentrum op dit moment wordt bestookt met vuurballen, meteorieten of andere voorwerpen uit de ruimte, vermijd dan alstublieft onbeschermde testgebieden waar een gebrek aan schuilgelegenheid voor ruimtepuin NIET opzettelijk deel uit lijkt te maken van de test."
"[english]announcer.testchamber02"	"<clr:250,231,181>Announcer: If the Enrichment Center is currently being bombarded with fireballs, meteorites, or other objects from space, please avoid unsheltered testing areas wherever a lack of shelter from space-debris DOES NOT appear to be a deliberate part of the test."
"announcer.testchamber03"	"<clr:250,231,181>Omroeper: Goed gedaan! Het verrijkingscentrum herinnert u eraan dat, hoewel de omstandigheden deprimerend zijn, u niet alleen bent. Alle persoonlijkheidsconcepten van Aperture Science blijven werken in apocalyptische omgevingen met een lage stroomvoorziening, zelfs tot 1,1 volt."
"[english]announcer.testchamber03"	"<clr:250,231,181>Announcer: Well done! The Enrichment Center reminds you that although circumstances may appear bleak, you are not alone. All Aperture Science personality constructs will remain functional in apocalyptic, low power environments of as few as 1.1 volts."
"announcer.testchamber04"	"<clr:250,231,181>Omroeper: Om te garanderen dat er voldoende stroom resteert voor de belangrijkste testprotocollen, zijn alle veiligheidsmechanismen uitgeschakeld. Het verrijkingscentrum respecteert uw recht om vragen te stellen over dit beleid."
"[english]announcer.testchamber04"	"<clr:250,231,181>Announcer: To ensure that sufficient power remains for core testing protocols, all safety devices have been disabled. The Enrichment Center respects your right to have questions or concerns about this policy."
"announcer.testchamber05"	"<clr:250,231,181>Omroeper: Sommige noodtests vereisen een langdurige interactie met dodelijke, militaire androïden. U kunt ervan verzekerd zijn dat alle dodelijke, militaire androïden kunnen lezen en schrijven en zijn voorzien van een exemplaar van de Roboticawetten. Om te delen."
"[english]announcer.testchamber05"	"<clr:250,231,181>Announcer: Some emergency testing may require prolonged interaction with lethal military androids.  Rest assured that all lethal military androids have been taught to read and provided with one copy of the Laws of Robotics. To share."
"announcer.testchamber06"	"<clr:250,231,181>Omroeper: Goed. Indien u meent dat een dodelijke, militaire androïde uw rechten, zoals uiteengezet in de Roboticawetten, met voeten heeft getreden, kunt u dit noteren op het rapportageformulier. Een schadevergoedingsmedewerker van Aperture Science zal de betreffende klacht indienen."
"[english]announcer.testchamber06"	"<clr:250,231,181>Announcer: Good. If you feel that a lethal military android has not respected your rights as detailed in the Laws of Robotics, please note it on your self-reporting form. A future Aperture Science Entitlement Associate will initiate the appropriate grievance-filing paperwork."
"announcer.testchamber07"	"<clr:250,231,181>Omroeper: U bent zojuist het materiaalemancipatieraster van Aperture Science gepasseerd. Dit raster verdampt nagenoeg alle Aperture Science-apparatuur die ermee in aanraking komt."
"[english]announcer.testchamber07"	"<clr:250,231,181>Announcer: You have just passed through an Aperture Science Material Emancipation Grill, which vaporizes most Aperture Science equipment that touches it."
"announcer.testchamber08"	"<clr:250,231,181>Omroeper: Ik wijs u op het lichtgevende deeltjesveld in de uitgang. Het materiaalemancipatieraster van Aperture Science verdampt elke apparatuur die er zonder machtiging doorheengaat."
"[english]announcer.testchamber08"	"<clr:250,231,181>Announcer: Please note the incandescent particle field across the exit. This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it."
"announcer.testchamber09"	"<clr:250,231,181>Omroeper: Uitstekend! Omdat dit een vooraf opgenomen bericht is, zijn observaties omtrent uw prestatie puur speculatief. Negeer alle onterechte complimenten."
"[english]announcer.testchamber09"	"<clr:250,231,181>Announcer: Great work! Because this message is prerecorded, any observations related to  your performance are speculation on our part. Please disregard any undeserved compliments."
"announcer.testchamber10"	"<clr:250,231,181>Omroeper: De volgende test past stuwkracht toe op de verplaatsing via portals. Mochten de natuurkundige wetten niet langer gelden in de toekomst, moge God u helpen."
"[english]announcer.testchamber10"	"<clr:250,231,181>Announcer: This next test applies the principles of momentum to movement through portals. If the laws of physics no longer apply in the future, God help you."
"announcer.testchamber11"	"<clr:250,231,181>Omroeper: Gefeliciteerd. U hebt uzelf gevangengezet. Deur wordt geopend."
"[english]announcer.testchamber11"	"<clr:250,231,181>Announcer: You have trapped yourself. Congratulations. The exit door is now open."
"announcer.wakeup_powerup01"	"<clr:250,231,181>Omroeper: Opstarten geïnitieerd."
"[english]announcer.wakeup_powerup01"	"<clr:250,231,181>Announcer: Powerup initiated."
"announcer.wakeup_powerup02"	"<clr:250,231,181>Omroeper: Opstarten voltooid."
"[english]announcer.wakeup_powerup02"	"<clr:250,231,181>Announcer: Powerup complete."
"cavejohnson.cave_laugh04"	"<clr:205,149,117>Cave Johnson: [lacht]"
"[english]cavejohnson.cave_laugh04"	"<clr:205,149,117>Cave Johnson: [laugh]"
"cavejohnson.eighties_intro01"	"<clr:205,149,117>Cave Johnson: Welkom in het verrijkingscentrum. [hoest]"
"[english]cavejohnson.eighties_intro01"	"<clr:205,149,117>Cave Johnson: Welcome to the enrichment center. [cough]"
"cavejohnson.eighties_intro03"	"<clr:205,149,117>Cave Johnson: Sinds ik deelname aan de tests verplicht heb gesteld voor alle werknemers is de kwaliteit van onze proefpersonen dramatisch gestegen, maar het personeelsbestand dramatisch gedaald."
"[english]cavejohnson.eighties_intro03"	"<clr:205,149,117>Cave Johnson: Since making test participation mandatory for all employees, the quality of our test subjects has risen dramatically. Employee retention, however, has not."
"cavejohnson.eighties_intro04"	"<clr:205,149,117>Cave Johnson: [hoest] Als gevolg willen we tests met mensen geleidelijk stopzetten, zoals je misschien hebt gehoord. Maar op dit moment zijn er nog wat losse eindjes."
