"lang"
{
"Language"	"vietnamese"
"DOTA_Bundle_Desc_Axe_Blood_Mist"	"Bao gồm tất cả các trang bị trong bộ 'Bloodmist Armor' dành cho Axe:"
"DOTA_Bundle_Desc_Dragon_Knight_Davion"	"Bao gồm tất cả trang bị trong bộ 'Armor of Sir Davion' dành cho Dragon Knight:"
"DOTA_Bundle_Desc_Omniknight_Purist_Champion"	"Bao gồm tất cả trang bị trong bộ 'Armor of the Purist Champion' dành cho Omniknight:"
"DOTA_Bundle_Desc_Witch_Doctor_Tale_Teller"	"Bao gồm tất cả các trang bị trong bộ 'Traveling Tale-Teller' dành cho Witch Doctor:"
"DOTA_Bundle_Desc_Bounty_Hunter_Hardened"	"Bao gồm tất cả trang bị trong bộ 'Hardened Hunter's Gear' dành cho Bounty Hunter:"
"DOTA_Bundle_Desc_Morphling_Radiant_Crystal"	"Bao gồm tất cả trang bị trong bộ 'Radiant Crystal Binding' dành cho Morphling:"
"DOTA_Bundle_Desc_Invoker_Magnus"	"Bao gồm tất cả trang bị trong bộ 'Magnus Magnus' dành cho Invoker:"
"DOTA_Bundle_Summer_2012"	"Bộ Sithil's Summer"
"DOTA_Bundle_Desc_Summer_2012"	"Bao gồm một gói lớn gồm 47 vật phẩm mới:"
"DOTA_Item_AntiMages_Head"	"Đầu của Anti-Mage"
"DOTA_Item_AntiMages_Belt"	"Dây nịch của Anti-Mage"
"DOTA_Item_Chens_Staff"	"Quyền Trượng Của Chen"
"DOTA_Bundle_Desc_Bloodseeker_Hlotl"	"Bao gồm tất cả các trang bị trong bộ 'Ritual Garb of the Seeker' dành cho Bloodseeker:"
"DOTA_Bundle_Desc_Ursa_Iron_Bear"	"Bao gồm tất cả các trang bị trong bộ 'The Iron Bear' dành cho Ursa:"
"DOTA_Bundle_Desc_Ursa_Ravager"	"Bao gồm tất cả các trang bị trong bộ 'The Ursine Ravager' dành cho Ursa:"
"DOTA_Bundle_Desc_Ursa_Savage_Age"	"Bao gồm tất cả các trang bị trong bộ 'The Savage Age' dành cho Ursa:"
"DOTA_Bundle_Desc_Bounty_Hunter_Master_Assassin"	"Bao gồm tất cả trang bị trong bộ 'The Master Assassin' dành cho Bounty Hunter:"
"DOTA_Bundle_Desc_Omniknight_Hierophant"	"Bao gồm tất cả trang bị trong bộ 'The Hierophant's Protection' dành cho Omniknight:"
"DOTA_Bundle_Desc_Bloodseeker_Bonehunter"	"Bao gồm tất cả các trang bị trong bộ 'The Bonehunter' dành cho Bloodseeker:"
"DOTA_Bundle_Bounty_Hunter_Big_Bundle"	"Bounty Hunter's Fat Haul"
"DOTA_Bundle_Desc_Bounty_Hunter_Big_Bundle"	"Bao gồm tất cả trang bị cho Bounty Hunter phát hành đến tháng 8/2012:"
"DOTA_Bundle_Ursa_Big_Bundle"	"Gói Ursa's Primal"
"DOTA_Bundle_Desc_Ursa_Big_Bundle"	"Bao gồm tất cả các trang bị dành cho Ursa phát hành đến tháng 8/2012:"
"DOTA_Item_AntiMages_Armor"	"Giáp của Anti-Mage"
"DOTA_Item_Announcer_Axe"	"Phát thanh viên: Axe"
"DOTA_Bundle_Desc_Ursa_Alpine_Stalker"	"Bao gồm tất cả các trang bị trong bộ 'The Alpine Stalker' dành cho Ursa:"
"DOTA_Bundle_Desc_Talk_Like_A_Pirate_Day"	"Dù không phải là hải tặc, kể cả Kunkka vẫn đắm chìm trong không khí hải tặc trong ngày Nói Như một Hải tặc. Hãy gia nhập cùng ổng trong không khí lễ hội một ngày này, với một gói hàng mặc cả chứa tất cả món đồ mang phong cách hải tặc rẻ đến mức, cứ như là ăn cắp ý!"
"DOTA_Item_AntiMages_Glaive"	"Đoản kiếm của Anti-Mage"
"DOTA_Item_Centaurs_Axe"	"Rìu Của Centaur"
"DOTA_Item_League_atoD2"	"atoD 2"
"DOTA_Item_AbsoluteArena_King_of_the_Hill__Admin"	"AbsoluteArena King of the Hill - Admin"
"DOTA_Item_Medusas_Bow"	"Cung Tên của Medusa"
"DOTA_Item_Aegis_of_the_Storm"	"Aegis of the Storm"
"DOTA_Item_Ancestral_Cloak"	"Ancestral Cloak"
"DOTA_Item_Ancestral_Arm_Wrap"	"Ancestral Arm Wrap"
"DOTA_Item_Ancestral_Dress"	"Ancestral Dress"
"DOTA_Item_2012_Polycount_Ward"	"Mắt 2012 Polycount"
"DOTA_Item_Pile_of_Coal"	"Đống Than"
"DOTA_Item_75_Battle_Bonus_2_Hours"	"75% Điểm Thưởng trận đấu (2 Tiếng)"
"DOTA_Item_Desc_75_Battle_Bonus_2_Hours"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>75%</font> trong 2 giờ. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_100_Battle_Bonus_2_Hours"	"Thưởng 100% Điểm trận đấu (2 Giờ)"
"DOTA_Item_200_Battle_Bonus_2_Hours"	"200% Điểm Thưởng trận đấu (2 Tiếng)"
"DOTA_Bundle_Desc_Faceless_Void_Chronite"	"Bao gồm tất cả các trang bị trong bộ 'Chronite Defense' dành cho Faceless Void:"
"DOTA_Item_4Players_League"	"4Players League"
"DOTA_Item_4Players_League__ADMIN"	"4Players League - ADMIN"
"DOTA_Item_Alchemy_Essentials_Set"	"Bộ Alchemy Essentials"
"DOTA_Item_Ancestors_Pride_Set"	"Bộ Ancestors' Pride"
"DOTA_Item_Ancestors_Belt"	"Ancestors' Belt"
"DOTA_Item_Ancestors_Edge"	"Ancestors' Edge"
"DOTA_Item_Ancestors_Pauldron"	"Ancestors' Pauldron"
"DOTA_Item_Ancestors_Vambrace"	"Ancestors' Vambrace"
"DOTA_Item_Snowl"	"Snowl"
"DOTA_Item_Ancestral_Axes_of_Karroch"	"Ancestral Axes of Karroch"
"DOTA_Item_Ancestral_Belt_of_Karroch"	"Ancestral Belt of Karroch"
"DOTA_Item_Ancestral_Bracers_of_Karroch"	"Ancestral Bracers of Karroch"
"DOTA_Item_Akakiryu_of_a_Thousand_Faces"	"Akakiryu of a Thousand Faces"
"DOTA_Item_Ambinderaths_Jaw"	"Ambinderath's Jaw"
"DOTA_Item_AMD_Dota2_Premier_League"	"AMD Dota2 Premier League"
"DOTA_Item_AMD_Dota2_Premier_League_ADMIN"	"AMD Dota2 Premier League -ADMIN"
"DOTA_Item_Desc_International_2013_Battle_Bonus"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>125%</font> cho đến khi kết thúc giải đấu the International. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>25%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_American_Dota_League"	"American Dota League"
"DOTA_Item_American_Dota_League__ADMIN"	"American Dota League - ADMIN"
"DOTA_Item_Desc_100_Battle_Bonus_2_Hours"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>100%</font> trong 2 giờ. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_Desc_200_Battle_Bonus_2_Hours"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>200%</font> trong 2 giờ. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_Abaddons_Cape"	"Áo Choàng Của Abaddon"
"DOTA_Item_Abaddons_Helmet"	"Mũ của Abaddon"
"DOTA_Item_Abaddons_Mount"	"Thú cưỡi của Abaddon"
"DOTA_Item_Abaddons_Shoulder_Armor"	"Giáp Vai của Abaddon"
"DOTA_Item_Abaddons_Weapon"	"Vũ khí của Abaddon"
"DOTA_Item_Acolyte_of_Clasz_Set"	"Bộ Acolyte of Clasz"
"DOTA_Item_Ainidul_the_Eternal"	"Ainidul the Eternal"
"DOTA_Item_Alienware_Cup__2013_Season_1"	"Alienware Cup - 2013 Season 1"
"DOTA_Item_Alienware_Cup__2013_Season_1__ADMIN"	"Alienware Cup - 2013 Season 1 - ADMIN"
"DOTA_Item_AMD_Dota2_Premier_League_Season_2"	"AMD Dota2 Premier League Season 2"
"DOTA_Item_AMD_Dota2_Premier_League_Season_2__ADMIN"	"AMD Dota2 Premier League Season 2 - ADMIN"
"DOTA_Item_A_Dire_Gaze"	"A Dire Gaze"
"DOTA_Item_Aduron"	"Aduron"
"DOTA_Item_A_Bit_of_Boat"	"A Bit of Boat"
"DOTA_Item_Abaddons_Cowl_Down"	"Mũ chùm của Abaddon"
"DOTA_Item_Abaddons_Gryphon"	"Bằng Mã Của Abaddon"
"DOTA_Item_Abaddons_Raven_Shoulders"	"Vai Con quạ của Abaddon"
"DOTA_Item_Abaddons_Talon_Cape"	"Áo choàng Vuốt của Abaddon"
"DOTA_Item_Admirals_Prow"	"Admiral's Prow"
"DOTA_Item_AetherWings"	"Aether-Wings"
"DOTA_Item_Aghanims_Basher"	"Aghanim's Basher"
"DOTA_Item_Alpha_Predator_Set"	"Bộ Alpha Predator"
"DOTA_Item_Alphid_of_Lecaciida"	"Alphid of Lecaciida"
"DOTA_Item_Desc_80_Battle_Point_Booster_500_minutes"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>80%</font> trong 500 phút chơi game. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>16%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ.<br><br>
Gói tăng điểm chiến đấu sẽ chỉ tính là được sử dụng khi bạn nhận được Điểm chiến đấu, các hoạt động như theo dõi trận đấu hay huấn luyện đều không bị ảnh hưởng."
"DOTA_WearableType_Battle_Point_Booster"	"Gói tăng điểm chiến đấu"
"DOTA_WearableType_Collector_of_Shining_Fragments"	"Gói tăng điểm chiến đấu"
"DOTA_Item_Desc_Single_Battle_Point_Booster"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>150%</font> cho một trận đấu duy nhất. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>5%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ.<br><br>
Gói tăng điểm chiến đấu sẽ chỉ tính là được sử dụng khi bạn nhận được Điểm chiến đấu, các hoạt động như theo dõi trận đấu hay huấn luyện đều không bị ảnh hưởng."
"DOTA_Item_Noctis_the_Heavenly_Qilin_Guardian"	"Noctis the Heavenly Qilin Guardian"
"DOTA_Item_Desc_175_Battle_Point_Booster_3_Days"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>175%</font> trong 3 ngày. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_Desc_175_Battle_Point_Booster_6_Days"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>175%</font> trong 6 ngày. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>15%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ."
"DOTA_Item_Desc_180_Battle_Point_Booster_500_minutes"	"Sử dụng vật phẩm này để tăng mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> lên <font color='#9da1a9'>180%</font> trong 500 phút chơi game. Thêm vào đó, bạn còn cung cấp cho những người chơi trong trận đấu thêm <font color='#9da1a9'>16%</font> cộng dồn vào mức thưởng <font color='#9da1a9'>Điểm chiến đấu</font> của họ.<br><br>
Gói tăng điểm chiến đấu sẽ chỉ tính là được sử dụng khi bạn nhận được Điểm chiến đấu, các hoạt động như theo dõi trận đấu hay huấn luyện đều không bị ảnh hưởng."
"DOTA_Item_Octopus"	"Octopus"
"DOTA_Item_Trove_Carafe_279471378"	"Trove Carafe đã được ký bởi 李坏"
"DOTA_Item_Desc_Pudgling_Golden_Hook_Upgrade"	"Vật phẩm này cho phép kiểu dáng 'Golden Hook' được mở khóa trên Pudgling thông qua trình đơn kiểu dáng."
"DOTA_Item_Desc_Lt_Squawkins_Rowboat_Upgrade"	"Vật phẩm này cho phép kiểu dáng 'Rowboat' được mở khóa trên Lt. Squawkins thông qua trình đơn kiểu dáng."
"DOTA_Item_Desc_Lt_Squawkins_Sailboat_Upgrade"	"Vật phẩm này cho phép kiểu dáng 'Sailboat' được mở khóa trên Lt. Squawkins thông qua trình đơn kiểu dáng."
"DOTA_Item_Treasure_Redemption_Token"	"Xu đổi kho báu"
"DOTA_Item_Pauldrones_of_the_Basilisk"	"Pauldrones of the Basilisk"
"DOTA_Item_Desc_Krane_the_Enlightened_Upgrade"	"Vật phẩm này cho phép mở khóa kết cấu nâng cấp của 'Krane the Enlightened' thông qua trình đơn kiểu dáng. Nâng cấp này sẽ không thể trao đổi hay mua bán cho đến ngày 01 tháng 03 năm 2015."
"DOTA_Item_Desc_Wyvern_Hatchling_Fire_Upgrade"	"Vật phẩm này cho phép mở khóa kết cấu lửa nâng cấp cho 'Wyvern Hatchling' thông qua trình đơn kiểu dáng."
"DOTA_Item_Desc_Almond_the_Frondillo_Golden_Upgrade"	"Vật phẩm này cho phép mở khóa kết cấu vàng nâng cấp cho 'Almond the Frondillo' thông qua trình đơn kiểu dáng."
"DOTA_Item_Desc_Almond_the_Frondillo_Red_Upgrade"	"Vật phẩm này cho phép mở khóa kết cấu đỏ nâng cấp cho 'Almond the Frondillo' thông qua trình đơn kiểu dáng."
"DOTA_Item_Desc_Mantle_of_the_Cinder_Baron_Upgrade"	"Vật phẩm này cho phép mở khóa kết cấu nâng cấp cho 'Mantle of the Cinder Barono' của Axe thông qua trang chi tiết trang bị."
"DOTA_Item_Desc_Bindings_of_the_Battleranger_Style_Unlock"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của bộ 'Bindings of the Battleranger' cho Windranger thông qua trình đơn kiểu dáng. Bạn có thể dùng vật phẩm này nhiều lần để mở khóa các kiểu dáng cho tất cả các trang bị của bộ."
"DOTA_Item_Desc_Onibi_Upgrade_Style_01"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm chiếc vỏ ở phía sau."
"DOTA_Item_Desc_Onibi_Upgrade_Style_10"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm sự thay đổi màu sắc."
"DOTA_Item_Desc_Onibi_Upgrade_Style_11"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm mặt nạ khác."
"DOTA_Item_Desc_Onibi_Upgrade_Style_12"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm cánh."
"DOTA_Item_Desc_Onibi_Upgrade_Style_13"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có mặt nạ tai lớn hơn."
"DOTA_Item_Desc_Onibi_Upgrade_Style_14"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm hiệu ứng hạt."
"DOTA_Item_Desc_Onibi_Upgrade_Style_15"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm sự thay đổi màu sắc."
"DOTA_Item_Desc_Onibi_Upgrade_Style_16"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm mặt nạ khác."
"DOTA_Item_Desc_Onibi_Upgrade_Style_17"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm hiệu ứng hạt lửa."
"DOTA_Item_Desc_Onibi_Upgrade_Style_18"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm hiệu ứng hạt nóng chảy."
"DOTA_Item_Desc_Onibi_Upgrade_Style_19"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm bộ cánh khác."
"DOTA_Item_Desc_Onibi_Upgrade_Style_2"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm vỏ lá."
"DOTA_Item_Desc_Onibi_Upgrade_Style_20"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm khăn quàng và biểu ngữ."
"DOTA_Item_Desc_Onibi_Upgrade_Style_21"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ cuối này có thêm sự thay đổi màu sắc, mặt nạ mới, và hiệu ứng hạt mới."
"DOTA_Item_Desc_Onibi_Upgrade_Style_3"	"Phần thưởng của International 2016này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm vỏ nấm và mắt sáng."
"DOTA_Item_Desc_Onibi_Upgrade_Style_4"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm hiệu ứng hạt."
"DOTA_Item_Desc_Onibi_Upgrade_Style_5"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm sự thay đổi màu sắc."
"DOTA_Item_Desc_Onibi_Upgrade_Style_6"	"Phần thưởng của International 2016 này cho phép mở khóa kiểu dáng nâng cấp của thú 'Onibi' trong trình đơn kiểu dáng. Cấp độ này có thêm mặt nạ, cổ áo, và dây chuyền."
