"lang"
{
"Language"	"brazilian"
"ACH_SURVIVE_CONTAINER_RIDE_D"	"Sobreviva ao controle manual"
"[english]ACH_SURVIVE_CONTAINER_RIDE_D"	"Survive the manual override"
"ACH_WAKE_UP_T"	"Sua Monstra"
"[english]ACH_WAKE_UP_T"	"You Monster"
"ACH_WAKE_UP_D"	"Reúna-se com GLaDOS"
"[english]ACH_WAKE_UP_D"	"Reunite with GLaDOS"
"ACH_LASER_T"	"Desedesencorajada"
"[english]ACH_LASER_T"	"Undiscouraged"
"ACH_LASER_D"	"Complete o primeiro teste do Feixe Luminoso de Desencorajamento Térmico"
"[english]ACH_LASER_D"	"Complete the first Thermal Discouragement Beam test"
"ACH_BRIDGE_T"	"Ponte Sobre Águas Passadas"
"[english]ACH_BRIDGE_T"	"Bridge Over Troubling Water"
"ACH_BRIDGE_D"	"Complete o primeiro teste com a Ponte de Luz Sólida"
"[english]ACH_BRIDGE_D"	"Complete the first Hard Light Bridge test"
"ACH_BREAK_OUT_T"	"SaBOTagem"
"[english]ACH_BREAK_OUT_T"	"SaBOTour"
"ACH_BREAK_OUT_D"	"Fuja com Wheatley"
"[english]ACH_BREAK_OUT_D"	"Make a break for it"
"ACH_STALEMATE_ASSOCIATE_T"	"Associada de Impasses"
"[english]ACH_STALEMATE_ASSOCIATE_T"	"Stalemate Associate"
"ACH_STALEMATE_ASSOCIATE_D"	"Pressione o botão!"
"[english]ACH_STALEMATE_ASSOCIATE_D"	"Press the button!"
"ACH_ADDICTED_TO_SPUDS_T"	"À Vencedora, as Batatas"
"[english]ACH_ADDICTED_TO_SPUDS_T"	"Tater Tote"
"ACH_ADDICTED_TO_SPUDS_D"	"Faça a ciência progredir"
"[english]ACH_ADDICTED_TO_SPUDS_D"	"Carry science forward"
"ACH_BLUE_GEL_T"	"Duplo Portal Carpado"
"[english]ACH_BLUE_GEL_T"	"Vertically Unchallenged"
"ACH_BLUE_GEL_D"	"Domine o Gel Repulsor"
"[english]ACH_BLUE_GEL_D"	"Master the Repulsion Gel"
"ACH_ORANGE_GEL_T"	"Mais Estranho que a Fricção"
"[english]ACH_ORANGE_GEL_T"	"Stranger Than Friction"
"ACH_ORANGE_GEL_D"	"Domine o Gel Propulsor"
"[english]ACH_ORANGE_GEL_D"	"Master the Propulsion Gel"
"ACH_WHITE_GEL_T"	"Deu Branco"
"[english]ACH_WHITE_GEL_T"	"White Out"
"ACH_WHITE_GEL_D"	"Complete o primeiro teste do Gel Conversor"
"[english]ACH_WHITE_GEL_D"	"Complete the first Conversion Gel test"
"ACH_TRACTOR_BEAM_T"	"Túnel de Funil"
"[english]ACH_TRACTOR_BEAM_T"	"Tunnel of Funnel"
"ACH_TRACTOR_BEAM_D"	"Domine o Funil de Excursão"
"[english]ACH_TRACTOR_BEAM_D"	"Master the Excursion Funnel"
"ACH_TRIVIAL_TEST_T"	"Vale a Pena Testar de Novo"
"[english]ACH_TRIVIAL_TEST_T"	"Dual Pit Experiment"
"ACH_TRIVIAL_TEST_D"	"Faça o mesmo teste duas vezes"
"[english]ACH_TRIVIAL_TEST_D"	"Do the same test twice"
"ACH_WHEATLEY_TRIES_TO_T"	"A Parte em que Ele te Mata"
"[english]ACH_WHEATLEY_TRIES_TO_T"	"The Part Where He Kills You"
"ACH_WHEATLEY_TRIES_TO_D"	"A parte é essa"
"[english]ACH_WHEATLEY_TRIES_TO_D"	"This is that part"
"ACH_SHOOT_THE_MOON_T"	"No Mundo da Lua"
"[english]ACH_SHOOT_THE_MOON_T"	"Lunacy"
"ACH_SHOOT_THE_MOON_D"	"Aquilo realmente aconteceu"
"[english]ACH_SHOOT_THE_MOON_D"	"That just happened"
"ACH_BOX_HOLE_IN_ONE_T"	"Sem as Mãos"
"[english]ACH_BOX_HOLE_IN_ONE_T"	"Drop Box"
"ACH_BOX_HOLE_IN_ONE_D"	"Coloque um cubo, sem tocá-lo, em um botão"
"[english]ACH_BOX_HOLE_IN_ONE_D"	"Place a cube on a button without touching the cube"
"ACH_SPEED_RUN_LEVEL_T"	"Contra o Relógio"
"[english]ACH_SPEED_RUN_LEVEL_T"	"Overclocker"
"ACH_SPEED_RUN_LEVEL_D"	"Complete a Câmara de Teste 10 em 70 segundos"
"[english]ACH_SPEED_RUN_LEVEL_D"	"Complete Test Chamber 10 in 70 seconds"
"ACH_COMPLIANT_T"	"No Fundo do Poço"
"[english]ACH_COMPLIANT_T"	"Pit Boss"
"ACH_COMPLIANT_D"	"Mostre ao poço quem é que manda"
"[english]ACH_COMPLIANT_D"	"Show that pit who's boss"
"ACH_SAVE_CUBE_T"	"Preservação de Massa"
"[english]ACH_SAVE_CUBE_T"	"Preservation of Mass"
"ACH_SAVE_CUBE_D"	"Quebre as regras na Câmara de Teste 07"
"[english]ACH_SAVE_CUBE_D"	"Break the rules in Test Chamber 07"
"ACH_LAUNCH_TURRET_T"	"Ptorretáctilo"
"[english]ACH_LAUNCH_TURRET_T"	"Pturretdactyl"
"ACH_LAUNCH_TURRET_D"	"Use uma Placa Aérea de Fé para lançar uma torreta"
"[english]ACH_LAUNCH_TURRET_D"	"Use an Aerial Faith Plate to launch a turret"
"ACH_CLEAN_UP_T"	"Transmissão Final"
"[english]ACH_CLEAN_UP_T"	"Final Transmission"
"ACH_CLEAN_UP_D"	"Encontre o sinal escondido em uma das tocas do Rat Man"
"[english]ACH_CLEAN_UP_D"	"Find the hidden signal in one of the Rat Man's dens"
"ACH_REENTER_TEST_CHAMBERS_T"	"Boa Menina"
"[english]ACH_REENTER_TEST_CHAMBERS_T"	"Good Listener"
"ACH_REENTER_TEST_CHAMBERS_D"	"Aceite o conselho de fuga da GLaDOS"
"[english]ACH_REENTER_TEST_CHAMBERS_D"	"Take GLaDOS' escape advice"
"ACH_NOT_THE_DROID_T"	"Brilho Eterno de um Scanner sem Torretas"
"[english]ACH_NOT_THE_DROID_T"	"Scanned Alone"
"ACH_NOT_THE_DROID_D"	"Fique dentro de um detector de torretas defeituosas"
"[english]ACH_NOT_THE_DROID_D"	"Stand in a defective turret detector"
"ACH_SAVE_REDEMPTION_TURRET_T"	"Sem Ressentimentos"
"[english]ACH_SAVE_REDEMPTION_TURRET_T"	"No Hard Feelings"
"ACH_SAVE_REDEMPTION_TURRET_D"	"Salve uma torreta da redenção"
"[english]ACH_SAVE_REDEMPTION_TURRET_D"	"Save a turret from redemption"
"ACH_CATCH_CRAZY_BOX_T"	"Pegada de Schrodinger"
"[english]ACH_CATCH_CRAZY_BOX_T"	"Schrodinger's Catch"
"ACH_CATCH_CRAZY_BOX_D"	"Agarre uma caixa pintada de azul antes dela tocar o chão"
"[english]ACH_CATCH_CRAZY_BOX_D"	"Catch a blue-painted box before it touches the ground"
"ACH_NO_BOAT_T"	"Navio ao Mar"
"[english]ACH_NO_BOAT_T"	"Ship Overboard"
"ACH_NO_BOAT_D"	"Descubra o experimento sumido"
"[english]ACH_NO_BOAT_D"	"Discover the missing experiment"
"ACH_A3_DOORS_T"	"Porta da Esperança"
"[english]ACH_A3_DOORS_T"	"Door Prize"
"ACH_A3_DOORS_D"	"Examine todas as portas vitrificadas de câmaras de teste"
"[english]ACH_A3_DOORS_D"	"Examine all the vitrified test chamber doors"
"ACH_PORTRAIT_T"	"Retrato de uma Senhora"
"[english]ACH_PORTRAIT_T"	"Portrait of a Lady"
"ACH_PORTRAIT_D"	"Encontre um retrato escondido"
"[english]ACH_PORTRAIT_D"	"Find a hidden portrait"
"ACH_DEFIANT_T"	"Já Entendi"
"[english]ACH_DEFIANT_T"	"You Made Your Point"
"ACH_DEFIANT_D"	"Recuse-se a resolver o primeiro teste no Capítulo 8"
"[english]ACH_DEFIANT_D"	"Refuse to solve the first test in Chapter 8"
"ACH_BREAK_MONITORS_T"	"Esmaga TV"
"[english]ACH_BREAK_MONITORS_T"	"Smash TV"
"ACH_BREAK_MONITORS_D"	"Quebre 11 monitores de câmaras de teste"
"[english]ACH_BREAK_MONITORS_D"	"Break 11 test chamber monitors"
"ACH_HI_FIVE_YOUR_PARTNER_T"	"Toca Aqui"
"[english]ACH_HI_FIVE_YOUR_PARTNER_T"	"High Five"
"ACH_HI_FIVE_YOUR_PARTNER_D"	"Celebre seu sucesso na calibração cooperativa"
"[english]ACH_HI_FIVE_YOUR_PARTNER_D"	"Celebrate your cooperative calibration success"
"ACH_TEAM_BUILDING_T"	"Construção de Equipes"
"[english]ACH_TEAM_BUILDING_T"	"Team Building"
"ACH_TEAM_BUILDING_D"	"Complete todas as câmaras de teste no percurso cooperativo Construção de Equipes"
"[english]ACH_TEAM_BUILDING_D"	"Complete all test chambers in the Team Building co-op course"
"ACH_MASS_AND_VELOCITY_T"	"Construção de Confiança"
"[english]ACH_MASS_AND_VELOCITY_T"	"Confidence Building"
"ACH_MASS_AND_VELOCITY_D"	"Complete todas as câmaras de teste no percurso cooperativo Massa e Velocidade"
"[english]ACH_MASS_AND_VELOCITY_D"	"Complete all test chambers in the Mass and Velocity co-op course"
"ACH_HUG_NAME_T"	"Construção de Pontes"
"[english]ACH_HUG_NAME_T"	"Bridge Building"
"ACH_HUG_NAME_D"	"Complete todas as câmaras de teste no percurso cooperativo Superfícies de Luz Sólida"
"[english]ACH_HUG_NAME_D"	"Complete all test chambers in the Hard-Light Surfaces co-op course"
"ACH_EXCURSION_FUNNELS_T"	"Construção de Obstáculos"
"[english]ACH_EXCURSION_FUNNELS_T"	"Obstacle Building"
"ACH_EXCURSION_FUNNELS_D"	"Complete todas as câmaras de teste no percurso cooperativo Funis de Excursão"
"[english]ACH_EXCURSION_FUNNELS_D"	"Complete all test chambers in the Excursion Funnels co-op course"
"ACH_NEW_BLOOD_T"	"Vocês Salvaram a Ciência"
"[english]ACH_NEW_BLOOD_T"	"You Saved Science"
"ACH_NEW_BLOOD_D"	"Complete todas as câmaras de teste em todos os percursos cooperativos"
"[english]ACH_NEW_BLOOD_D"	"Complete all test chambers in all courses of co-op"
"ACH_NICE_CATCH_T"	"Passa ou Repassa"
"[english]ACH_NICE_CATCH_T"	"Iron Grip"
"ACH_NICE_CATCH_D"	"Nunca perca um cubo na Câmara 6 do percurso cooperativo Massa e Velocidade"
"[english]ACH_NICE_CATCH_D"	"Never lose a cube in Chamber 6 of the Mass and Velocity co-op course"
"ACH_TAUNTS_T"	"8-do bem?"
"[english]ACH_TAUNTS_T"	"Gesticul-8"
"ACH_TAUNTS_D"	"Faça todos os 8 gestos por vontade própria no modo cooperativo"
"[english]ACH_TAUNTS_D"	"Perform all 8 gestures of your own volition in co-op"
"ACH_YOU_MONSTER_T"	"Ai Se Eu Te Pego"
"[english]ACH_YOU_MONSTER_T"	"Can't Touch This"
"ACH_YOU_MONSTER_D"	"Dance em frente de uma torreta bloqueada por uma ponte de luz sólida no modo cooperativo"
"[english]ACH_YOU_MONSTER_D"	"Dance in front of a turret blocked by a hard light bridge in co-op"
"ACH_PARTNER_DROP_T"	"Pediu tá Pedido"
"[english]ACH_PARTNER_DROP_T"	"Empty Gesture"
"ACH_PARTNER_DROP_D"	"Faça o seu parceiro cooperativo cair na gosma enquanto ele gesticula ao remover a ponte na qual ele está"
"[english]ACH_PARTNER_DROP_D"	"Drop your co-op partner in goo while they are gesturing by removing the bridge under them"
"ACH_PARTY_OF_THREE_T"	"Festa a Três"
"[english]ACH_PARTY_OF_THREE_T"	"Party of Three"
"ACH_PARTY_OF_THREE_D"	"Encontre o cubo companheiro escondido na câmara de testes cooperativa"
"[english]ACH_PARTY_OF_THREE_D"	"Find the hidden companion cube in co-op test chamber"
"ACH_PORTAL_TAUNT_T"	"Narbacular Drop"
"[english]ACH_PORTAL_TAUNT_T"	"Narbacular Drop"
"ACH_PORTAL_TAUNT_D"	"Coloque um portal embaixo de seu parceiro cooperativo enquanto ele estiver gesticulando"
"[english]ACH_PORTAL_TAUNT_D"	"Place a portal under your co-op partner while they are gesturing"
"ACH_TEACHER_T"	"Professor Portal"
"[english]ACH_TEACHER_T"	"Professor Portal"
"ACH_TEACHER_D"	"Após completar o modo cooperativo, complete o Percurso de Calibração online com um amigo que está jogando pela primeira vez"
"[english]ACH_TEACHER_D"	"After completing co-op, complete Calibration Course online with a friend who hasn’t played before"
"ACH_WITH_STYLE_T"	"Show Aéreo"
"[english]ACH_WITH_STYLE_T"	"Air Show"
"ACH_WITH_STYLE_D"	"Faça 2 gestos aéreos antes de tocar o chão no modo cooperativo"
"[english]ACH_WITH_STYLE_D"	"Perform 2 aerial gestures before touching the ground in co-op"
"ACH_LIMITED_PORTALS_T"	"Sociedade de Proteção aos Portais"
"[english]ACH_LIMITED_PORTALS_T"	"Portal Conservation Society"
"ACH_LIMITED_PORTALS_D"	"Complete a Câmara 3 no percurso cooperativo Superfícies de Luz Sólida usando um total de 5 portais"
"[english]ACH_LIMITED_PORTALS_D"	"Complete Chamber 3 in the Hard-Light Surfaces co-op course using only 5 total portal placements"
"ACH_FOUR_PORTALS_T"	"1, 2, 3, Pim"
"[english]ACH_FOUR_PORTALS_T"	"Four Ring Circus"
"ACH_FOUR_PORTALS_D"	"Entre em 4 portais diferentes sem tocar o chão no modo cooperativo"
"[english]ACH_FOUR_PORTALS_D"	"Enter 4 different portals without touching the ground in co-op"
"ACH_SPEED_RUN_COOP_T"	"Tríplice Coroa"
"[english]ACH_SPEED_RUN_COOP_T"	"Triple Crown"
"ACH_SPEED_RUN_COOP_D"	"Resolva 3 câmaras cooperativas no percurso Massa e Velocidade em menos de 60 segundos cada"
"[english]ACH_SPEED_RUN_COOP_D"	"Solve 3 co-op chambers in the Mass and Velocity course in under 60 seconds each"
"ACH_STAYING_ALIVE_T"	"Ainda Vivos"
"[english]ACH_STAYING_ALIVE_T"	"Still Alive"
"ACH_STAYING_ALIVE_D"	"Complete o Percurso 4 sem que você ou seu parceiro cooperativo morra"
"[english]ACH_STAYING_ALIVE_D"	"Complete Course 4 with neither you nor your co-op partner dying"
"ACH_TAUNT_CAMERA_T"	"Procurando Encrenca"
"[english]ACH_TAUNT_CAMERA_T"	"Asking for Trouble"
"ACH_TAUNT_CAMERA_D"	"Provoque a GLaDOS em frente de uma câmera em cada um dos cinco percursos cooperativos"
"[english]ACH_TAUNT_CAMERA_D"	"Taunt GLaDOS in front of a camera in each of the five co-op courses"
"ACH_ROCK_CRUSHES_ROBOT_T"	"Pedra, Portal e Tesoura"
"[english]ACH_ROCK_CRUSHES_ROBOT_T"	"Rock Portal Scissors"
"ACH_ROCK_CRUSHES_ROBOT_D"	"Vença 3 partidas consecutivas de \"pedra, papel e tesoura\" no modo cooperativo"
"[english]ACH_ROCK_CRUSHES_ROBOT_D"	"Win 3 co-op games of rock-paper-scissors in a row"
"ACH_SPREAD_THE_LOVE_T"	"Lista de Amigos Coloridos"
"[english]ACH_SPREAD_THE_LOVE_T"	"Friends List With Benefits"
"ACH_SPREAD_THE_LOVE_D"	"Enquanto joga no modo cooperativo, abrace 3 pessoas diferentes que estão na sua lista de amigos"
"[english]ACH_SPREAD_THE_LOVE_D"	"While playing co-op, hug 3 different people on your friends list"
"ASSET_SHIRT1_T1"	"Camisa do Portal 2 (Feminina)"
"[english]ASSET_SHIRT1_T1"	"Portal 2 Shirt (Female)"
"ASSET_SHIRT1_T2"	"Camisa do Portal 2 (Masculina)"
"[english]ASSET_SHIRT1_T2"	"Portal 2 Shirt (Male)"
"ASSET_SHIRT1_D"	"Camisa do Portal 2 recebida por completar o modo cooperativo do Portal 2"
"[english]ASSET_SHIRT1_D"	"Portal 2 Shirt earned for completing Portal 2 Coop"
"ASSET_SHIRT1_H"	"Destrave a Camisa do Portal 2 ao completar o modo cooperativo do Portal 2"
"[english]ASSET_SHIRT1_H"	"Unlock Portal 2 Shirt by completing Portal 2 Coop"
"ASSET_SHIRT2_T1"	"Camisa do amor (Feminina)"
"[english]ASSET_SHIRT2_T1"	"Love Shirt (Female)"
"ASSET_SHIRT2_T2"	"Camisa do amor (Masculina)"
"[english]ASSET_SHIRT2_T2"	"Love Shirt (Male)"
"ASSET_SHIRT2_D"	"Camisa do amor recebida por abraçar 3 amigos no modo cooperativo do Portal 2"
"[english]ASSET_SHIRT2_D"	"Love Shirt earned for hugging 3 friends in Portal 2 Coop"
"ASSET_SHIRT2_H"	"Destrave a Camisa do amor ao abraçar 3 amigos no modo cooperativo do Portal 2"
"[english]ASSET_SHIRT2_H"	"Unlock Love Shirt by hugging 3 friends in Portal 2 Coop"
"ASSET_SHIRT3_T1"	"Camisa da torreta (Feminina)"
"[english]ASSET_SHIRT3_T1"	"Turret Shirt (Female)"
"ASSET_SHIRT3_T2"	"Camisa da torreta (Masculina)"
"[english]ASSET_SHIRT3_T2"	"Turret Shirt (Male)"
"ASSET_SHIRT3_D"	"Camisa da torreta recebida por completar a Câmara de Teste 10 em menos de 70 segundos"
"[english]ASSET_SHIRT3_D"	"Turret Shirt earned for completing Test Chamber 10 in under 70 seconds"
"ASSET_SHIRT3_H"	"Destrave a Camisa da torreta ao completar a Câmara de Teste 10 em menos de 70 segundos"
"[english]ASSET_SHIRT3_H"	"Unlock Turret Shirt by completing Test Chamber 10 in under 70 seconds"
"ASSET_HAT1_T1"	"Chapéu do Portal 2"
"[english]ASSET_HAT1_T1"	"Portal 2 Hat"
"ASSET_HAT1_T2"	"Chapéu do Portal 2"
"[english]ASSET_HAT1_T2"	"Portal 2 Hat"
"ASSET_HAT1_D"	"Chapéu do Portal 2 recebido por sobreviver ao controle manual"
"[english]ASSET_HAT1_D"	"Portal 2 Hat earned for surviving the manual override"
"ASSET_HAT1_H"	"Destrave o Chapéu do Portal 2 ao sobreviver ao controle manual"
"[english]ASSET_HAT1_H"	"Unlock Portal 2 Hat by surviving the manual override"
"ASSET_PROP1_T1"	"Cubo Companheiro do Portal 2"
"[english]ASSET_PROP1_T1"	"Portal 2 Companion Cube"
"ASSET_PROP1_T2"	"Cubo Companheiro do Portal 2"
"[english]ASSET_PROP1_T2"	"Portal 2 Companion Cube"
"ASSET_PROP1_D"	"Cubo Companheiro do Portal 2 recebido por completar o modo de um jogador do Portal 2"
"[english]ASSET_PROP1_D"	"Portal 2 Companion Cube earned for completing Portal 2 Single Player"
"ASSET_PROP1_H"	"Destrave o Cubo Companheiro do Portal 2 ao completar o modo de um jogador"
"[english]ASSET_PROP1_H"	"Unlock Portal 2 Companion Cube by completing Portal 2 Single Player"
"Portal2_DLC02_TITLE"	"Portal 2: Pintura do Bot"
"[english]Portal2_DLC02_TITLE"	"Portal 2: Bot Paint Job"
"Portal2_DLC02_SELL"	"Portal 2: Pintura do Bot"
"[english]Portal2_DLC02_SELL"	"Portal 2: Bot Paint Job"
"Portal2_DLC02_NAME"	"Portal 2: Pintura do Bot"
"[english]Portal2_DLC02_NAME"	"Portal 2: Bot Paint Job"
"Portal2_DLC02_DESC"	"Portal 2: Pintura do Bot"
"[english]Portal2_DLC02_DESC"	"Portal 2: Bot Paint Job"
"Portal2_DLC03_TITLE"	"Portal 2: Gaiola de Proteção para Robôs"
"[english]Portal2_DLC03_TITLE"	"Portal 2: Bot Roll Cage"
"Portal2_DLC03_SELL"	"Portal 2: Gaiola de Proteção para Robôs"
