"lang"
{
"Language"	"japanese"
"ACH_WAKE_UP_T"	"この人でなし!"
"[english]ACH_WAKE_UP_T"	"You Monster"
"ACH_WAKE_UP_D"	"GLaDOSと再会する"
"[english]ACH_WAKE_UP_D"	"Reunite with GLaDOS"
"ACH_LASER_T"	"阻止不可能"
"[english]ACH_LASER_T"	"Undiscouraged"
"ACH_LASER_D"	"最初の高温阻止ビームテストをクリアする"
"[english]ACH_LASER_D"	"Complete the first Thermal Discouragement Beam test"
"ACH_BRIDGE_T"	"汚水に架ける橋"
"[english]ACH_BRIDGE_T"	"Bridge Over Troubling Water"
"ACH_BRIDGE_D"	"最初のハードライトブリッジテストをクリアする"
"[english]ACH_BRIDGE_D"	"Complete the first Hard Light Bridge test"
"ACH_BREAK_OUT_T"	"ロボタージュ"
"[english]ACH_BREAK_OUT_T"	"SaBOTour"
"ACH_BREAK_OUT_D"	"Wheatleyと一緒にテストチェンバーから脱出する"
"[english]ACH_BREAK_OUT_D"	"Make a break for it"
"ACH_STALEMATE_ASSOCIATE_T"	"こう着状態要員"
"[english]ACH_STALEMATE_ASSOCIATE_T"	"Stalemate Associate"
"ACH_STALEMATE_ASSOCIATE_D"	"ボタンを押す!"
"[english]ACH_STALEMATE_ASSOCIATE_D"	"Press the button!"
"ACH_ADDICTED_TO_SPUDS_T"	"おイモのお供"
"[english]ACH_ADDICTED_TO_SPUDS_T"	"Tater Tote"
"ACH_ADDICTED_TO_SPUDS_D"	"科学を発展させる"
"[english]ACH_ADDICTED_TO_SPUDS_D"	"Carry science forward"
"ACH_BLUE_GEL_T"	"楽々ジャンプ"
"[english]ACH_BLUE_GEL_T"	"Vertically Unchallenged"
"ACH_BLUE_GEL_D"	"反発性ジェルをマスターする"
"[english]ACH_BLUE_GEL_D"	"Master the Repulsion Gel"
"ACH_ORANGE_GEL_T"	"摩擦知らず"
"[english]ACH_ORANGE_GEL_T"	"Stranger Than Friction"
"ACH_ORANGE_GEL_D"	"推進性ジェルをマスターする"
"[english]ACH_ORANGE_GEL_D"	"Master the Propulsion Gel"
"ACH_WHITE_GEL_T"	"ホワイトアウト"
"[english]ACH_WHITE_GEL_T"	"White Out"
"ACH_WHITE_GEL_D"	"最初の変換ジェルテストをクリアする"
"[english]ACH_WHITE_GEL_D"	"Complete the first Conversion Gel test"
"ACH_TRACTOR_BEAM_T"	"ファンネルのトンネル"
"[english]ACH_TRACTOR_BEAM_T"	"Tunnel of Funnel"
"ACH_TRACTOR_BEAM_D"	"輸送ファンネルをマスターする"
"[english]ACH_TRACTOR_BEAM_D"	"Master the Excursion Funnel"
"ACH_TRIVIAL_TEST_T"	"デュアル・エクスペリメント"
"[english]ACH_TRIVIAL_TEST_T"	"Dual Pit Experiment"
"ACH_TRIVIAL_TEST_D"	"同じテストを2回行う"
"[english]ACH_TRIVIAL_TEST_D"	"Do the same test twice"
"ACH_WHEATLEY_TRIES_TO_T"	"最期の時"
"[english]ACH_WHEATLEY_TRIES_TO_T"	"The Part Where He Kills You"
"ACH_WHEATLEY_TRIES_TO_D"	"これがその場面"
"[english]ACH_WHEATLEY_TRIES_TO_D"	"This is that part"
"ACH_SHOOT_THE_MOON_T"	"月による錯乱"
"[english]ACH_SHOOT_THE_MOON_T"	"Lunacy"
"ACH_SHOOT_THE_MOON_D"	"それは今始まったばかり"
"[english]ACH_SHOOT_THE_MOON_D"	"That just happened"
"ACH_BOX_HOLE_IN_ONE_T"	"ドロップボックス"
"[english]ACH_BOX_HOLE_IN_ONE_T"	"Drop Box"
"ACH_BOX_HOLE_IN_ONE_D"	"キューブに触れることなくボタンの上に乗せる"
"[english]ACH_BOX_HOLE_IN_ONE_D"	"Place a cube on a button without touching the cube"
"ACH_SPEED_RUN_LEVEL_T"	"オーバークロッカー"
"[english]ACH_SPEED_RUN_LEVEL_T"	"Overclocker"
"ACH_SPEED_RUN_LEVEL_D"	"テストチェンバー10を70秒以内にクリアする"
"[english]ACH_SPEED_RUN_LEVEL_D"	"Complete Test Chamber 10 in 70 seconds"
"ACH_COMPLIANT_T"	"穴のボス"
"[english]ACH_COMPLIANT_T"	"Pit Boss"
"ACH_COMPLIANT_D"	"穴に誰が本当のボスか思い知らせる"
"[english]ACH_COMPLIANT_D"	"Show that pit who's boss"
"ACH_SAVE_CUBE_T"	"質量保存の法則"
"[english]ACH_SAVE_CUBE_T"	"Preservation of Mass"
"ACH_SAVE_CUBE_D"	"テストチェンバー07の法則を破る"
"[english]ACH_SAVE_CUBE_D"	"Break the rules in Test Chamber 07"
"ACH_LAUNCH_TURRET_T"	"空飛ぶタレット"
"[english]ACH_LAUNCH_TURRET_T"	"Pturretdactyl"
"ACH_LAUNCH_TURRET_D"	"空中信頼性プレートを使ってタレットを飛ばす"
"[english]ACH_LAUNCH_TURRET_D"	"Use an Aerial Faith Plate to launch a turret"
"ACH_CLEAN_UP_T"	"最後の送信メッセージ"
"[english]ACH_CLEAN_UP_T"	"Final Transmission"
"ACH_CLEAN_UP_D"	"ラットマンの巣窟のいずれかに隠されたメッセージを見つける"
"[english]ACH_CLEAN_UP_D"	"Find the hidden signal in one of the Rat Man's dens"
"ACH_REENTER_TEST_CHAMBERS_T"	"聞き上手"
"[english]ACH_REENTER_TEST_CHAMBERS_T"	"Good Listener"
"ACH_REENTER_TEST_CHAMBERS_D"	"GLaDOSの脱出アドバイスに従う"
"[english]ACH_REENTER_TEST_CHAMBERS_D"	"Take GLaDOS' escape advice"
"ACH_NOT_THE_DROID_T"	"スキャン・アローン"
"[english]ACH_NOT_THE_DROID_T"	"Scanned Alone"
"ACH_NOT_THE_DROID_D"	"欠陥タレット検知器の中に入る"
"[english]ACH_NOT_THE_DROID_D"	"Stand in a defective turret detector"
"ACH_SAVE_REDEMPTION_TURRET_T"	"恨みっこなし"
"[english]ACH_SAVE_REDEMPTION_TURRET_T"	"No Hard Feelings"
"ACH_SAVE_REDEMPTION_TURRET_D"	"回収されていくタレットを救い出す"
"[english]ACH_SAVE_REDEMPTION_TURRET_D"	"Save a turret from redemption"
"ACH_CATCH_CRAZY_BOX_T"	"シュレーディンガーの箱"
"[english]ACH_CATCH_CRAZY_BOX_T"	"Schrodinger's Catch"
"ACH_CATCH_CRAZY_BOX_D"	"地面に落ちる前に青く塗られたボックスをキャッチする"
"[english]ACH_CATCH_CRAZY_BOX_D"	"Catch a blue-painted box before it touches the ground"
"ACH_NO_BOAT_T"	"失われた財宝"
"[english]ACH_NO_BOAT_T"	"Ship Overboard"
"ACH_NO_BOAT_D"	"行方不明の実験装置を発見する"
"[english]ACH_NO_BOAT_D"	"Discover the missing experiment"
"ACH_A3_DOORS_T"	"ドア賞"
"[english]ACH_A3_DOORS_T"	"Door Prize"
"ACH_A3_DOORS_D"	"ガラス化した(VIRTRIFIED)テストチェンバーのドアをすべて調べる"
"[english]ACH_A3_DOORS_D"	"Examine all the vitrified test chamber doors"
"ACH_PORTRAIT_T"	"レディの肖像"
"[english]ACH_PORTRAIT_T"	"Portrait of a Lady"
"ACH_PORTRAIT_D"	"隠された肖像を見つける"
"[english]ACH_PORTRAIT_D"	"Find a hidden portrait"
"ACH_DEFIANT_T"	"意志貫徹"
"[english]ACH_DEFIANT_T"	"You Made Your Point"
"ACH_DEFIANT_D"	"チャプター8での最初のテストを拒否する"
"[english]ACH_DEFIANT_D"	"Refuse to solve the first test in Chapter 8"
"ACH_BREAK_MONITORS_T"	"モニター粉砕"
"[english]ACH_BREAK_MONITORS_T"	"Smash TV"
"ACH_BREAK_MONITORS_D"	"テストチェンバーのモニターを11個破壊する"
"[english]ACH_BREAK_MONITORS_D"	"Break 11 test chamber monitors"
"ACH_HI_FIVE_YOUR_PARTNER_T"	"ハイファイブ"
"[english]ACH_HI_FIVE_YOUR_PARTNER_T"	"High Five"
"ACH_HI_FIVE_YOUR_PARTNER_D"	"協力モードで精度調整の成功を祝う"
"[english]ACH_HI_FIVE_YOUR_PARTNER_D"	"Celebrate your cooperative calibration success"
"ACH_TEAM_BUILDING_T"	"チーム作り"
"[english]ACH_TEAM_BUILDING_T"	"Team Building"
"ACH_TEAM_BUILDING_D"	"「チーム作り」協力モードコースのすべてのテストチェンバーをクリアする"
"[english]ACH_TEAM_BUILDING_D"	"Complete all test chambers in the Team Building co-op course"
"ACH_MASS_AND_VELOCITY_T"	"信頼作り"
"[english]ACH_MASS_AND_VELOCITY_T"	"Confidence Building"
"ACH_MASS_AND_VELOCITY_D"	"「質量と速度」協力モードコースのすべてのテストチェンバーをクリアする"
"[english]ACH_MASS_AND_VELOCITY_D"	"Complete all test chambers in the Mass and Velocity co-op course"
"ACH_HUG_NAME_T"	"橋作り"
"[english]ACH_HUG_NAME_T"	"Bridge Building"
"ACH_HUG_NAME_D"	"「ハードライトブリッジ」協力モードコースのすべてのテストチェンバーをクリアする"
"[english]ACH_HUG_NAME_D"	"Complete all test chambers in the Hard-Light Surfaces co-op course"
"ACH_EXCURSION_FUNNELS_T"	"障害物作り"
"[english]ACH_EXCURSION_FUNNELS_T"	"Obstacle Building"
"ACH_EXCURSION_FUNNELS_D"	"「輸送ファンネル」協力モードコースのすべてのテストチェンバーをクリアする"
"[english]ACH_EXCURSION_FUNNELS_D"	"Complete all test chambers in the Excursion Funnels co-op course"
"ACH_NEW_BLOOD_T"	"科学は救われました"
"[english]ACH_NEW_BLOOD_T"	"You Saved Science"
"ACH_NEW_BLOOD_D"	"協力モードですべてのコースのすべてのテストチェンバーをクリアする"
"[english]ACH_NEW_BLOOD_D"	"Complete all test chambers in all courses of co-op"
"ACH_NICE_CATCH_T"	"アイアン・グリップ"
"[english]ACH_NICE_CATCH_T"	"Iron Grip"
"ACH_NICE_CATCH_D"	"「質量と速度」協力モードコースのチェンバー6でキューブを一度も失わない"
"[english]ACH_NICE_CATCH_D"	"Never lose a cube in Chamber 6 of the Mass and Velocity co-op course"
"ACH_TAUNTS_T"	"ジェスチャー・エイト"
"[english]ACH_TAUNTS_T"	"Gesticul-8"
"ACH_TAUNTS_D"	"協力モードでプレイ中に、自分の意思で8種類すべてのジェスチャーを実行する"
"[english]ACH_TAUNTS_D"	"Perform all 8 gestures of your own volition in co-op"
"ACH_YOU_MONSTER_T"	"Can't Touch This"
"[english]ACH_YOU_MONSTER_T"	"Can't Touch This"
"ACH_YOU_MONSTER_D"	"協力モードでプレイ中にハードライトブリッジに阻まれたタレットの前でダンスを踊る"
"[english]ACH_YOU_MONSTER_D"	"Dance in front of a turret blocked by a hard light bridge in co-op"
"ACH_PARTNER_DROP_T"	"虚しきジェスチャー"
"[english]ACH_PARTNER_DROP_T"	"Empty Gesture"
"ACH_PARTNER_DROP_D"	"あなたのポータルから投射するブリッジ上でダンス中のパートナーをブリッジを移動させ液体に落とす"
"[english]ACH_PARTNER_DROP_D"	"Drop your co-op partner in goo while they are gesturing by removing the bridge under them"
"ACH_PARTY_OF_THREE_T"	"3名様"
"[english]ACH_PARTY_OF_THREE_T"	"Party of Three"
"ACH_PARTY_OF_THREE_D"	"協力モードのテストチェンバーで、隠されたコンパニオンキューブを見つける"
"[english]ACH_PARTY_OF_THREE_D"	"Find the hidden companion cube in co-op test chamber"
"ACH_PORTAL_TAUNT_T"	"Narbacular Drop"
"[english]ACH_PORTAL_TAUNT_T"	"Narbacular Drop"
"ACH_PORTAL_TAUNT_D"	"ジェスチャーを行っている協力プレイのパートナーの真下にポータルをセットする"
"[english]ACH_PORTAL_TAUNT_D"	"Place a portal under your co-op partner while they are gesturing"
"ACH_TEACHER_T"	"プロフェッサー・ポータル"
"[english]ACH_TEACHER_T"	"Professor Portal"
"ACH_TEACHER_D"	"協力プレイモードをクリアした後、今までプレイしたことのないフレンドと一緒にオンラインで精度調整コースをクリアする"
"[english]ACH_TEACHER_D"	"After completing co-op, complete Calibration Course online with a friend who hasn’t played before"
"ACH_WITH_STYLE_T"	"空中ショー"
"[english]ACH_WITH_STYLE_T"	"Air Show"
"ACH_WITH_STYLE_D"	"協力モードでプレイ中、着地するまでに2種類のジェスチャーを空中で行う"
"[english]ACH_WITH_STYLE_D"	"Perform 2 aerial gestures before touching the ground in co-op"
"ACH_LIMITED_PORTALS_T"	"ポータル保全協会"
"[english]ACH_LIMITED_PORTALS_T"	"Portal Conservation Society"
"ACH_LIMITED_PORTALS_D"	"ポータルを5回だけ使って、「ハードライトブリッジ」協力モードコースのチェンバー3をクリアする"
"[english]ACH_LIMITED_PORTALS_D"	"Complete Chamber 3 in the Hard-Light Surfaces co-op course using only 5 total portal placements"
"ACH_FOUR_PORTALS_T"	"4リング・サーカス"
"[english]ACH_FOUR_PORTALS_T"	"Four Ring Circus"
"ACH_FOUR_PORTALS_D"	"協力モードをプレイ中、地面に触れることなく4つのポータルをくぐる"
"[english]ACH_FOUR_PORTALS_D"	"Enter 4 different portals without touching the ground in co-op"
"ACH_SPEED_RUN_COOP_T"	"三冠王"
"[english]ACH_SPEED_RUN_COOP_T"	"Triple Crown"
"ACH_SPEED_RUN_COOP_D"	"協力モードでプレイ中に、「質量と速度」コースの3つのチェンバーをそれぞれ60秒以内にクリアする"
"[english]ACH_SPEED_RUN_COOP_D"	"Solve 3 co-op chambers in the Mass and Velocity course in under 60 seconds each"
"ACH_STAYING_ALIVE_T"	"Still Alive"
"[english]ACH_STAYING_ALIVE_T"	"Still Alive"
"ACH_STAYING_ALIVE_D"	"自分と協力プレイのパートナー共に一度も死ぬことなくコース4をクリアする"
"[english]ACH_STAYING_ALIVE_D"	"Complete Course 4 with neither you nor your co-op partner dying"
"ACH_TAUNT_CAMERA_T"	"墓穴掘り"
"[english]ACH_TAUNT_CAMERA_T"	"Asking for Trouble"
"ACH_TAUNT_CAMERA_D"	"5つすべての協力モードコースのカメラの前でGLaDOSに対して挑発アクションを行う"
"[english]ACH_TAUNT_CAMERA_D"	"Taunt GLaDOS in front of a camera in each of the five co-op courses"
"ACH_ROCK_CRUSHES_ROBOT_T"	"じゃん　けん　ポータル"
"[english]ACH_ROCK_CRUSHES_ROBOT_T"	"Rock Portal Scissors"
"ACH_ROCK_CRUSHES_ROBOT_D"	"協力モードのじゃんけんで3回連続勝利する"
"[english]ACH_ROCK_CRUSHES_ROBOT_D"	"Win 3 co-op games of rock-paper-scissors in a row"
"ACH_SPREAD_THE_LOVE_T"	"フレンドリストの恩恵"
"[english]ACH_SPREAD_THE_LOVE_T"	"Friends List With Benefits"
"ACH_SPREAD_THE_LOVE_D"	"協力モードでプレイ中に、フレンドリストに登録されているフレンド3人とハグする"
"[english]ACH_SPREAD_THE_LOVE_D"	"While playing co-op, hug 3 different people on your friends list"
"ASSET_SHIRT1_T1"	"Portal 2のシャツ(レディース)"
"[english]ASSET_SHIRT1_T1"	"Portal 2 Shirt (Female)"
"ASSET_SHIRT1_T2"	"Portal 2のシャツ(メンズ)"
"[english]ASSET_SHIRT1_T2"	"Portal 2 Shirt (Male)"
"ASSET_SHIRT1_D"	"Portal 2の協力モードをクリアして、Portal 2のシャツを獲得した"
"[english]ASSET_SHIRT1_D"	"Portal 2 Shirt earned for completing Portal 2 Coop"
"ASSET_SHIRT1_H"	"Portal 2の協力モードをクリアして、Portal 2のシャツを獲得しよう"
"[english]ASSET_SHIRT1_H"	"Unlock Portal 2 Shirt by completing Portal 2 Coop"
"ASSET_SHIRT2_T1"	"ラブシャツ(レディース)"
"[english]ASSET_SHIRT2_T1"	"Love Shirt (Female)"
"ASSET_SHIRT2_T2"	"ラブシャツ(メンズ)"
"[english]ASSET_SHIRT2_T2"	"Love Shirt (Male)"
"ASSET_SHIRT2_D"	"Portal 2の協力モードでフレンド3人とハグして、ラブシャツを獲得した"
"[english]ASSET_SHIRT2_D"	"Love Shirt earned for hugging 3 friends in Portal 2 Coop"
"ASSET_SHIRT2_H"	"Portal 2の協力モードでフレンド3人とハグして、ラブシャツを獲得しよう"
"[english]ASSET_SHIRT2_H"	"Unlock Love Shirt by hugging 3 friends in Portal 2 Coop"
"ASSET_SHIRT3_T1"	"タレットシャツ(レディース)"
"[english]ASSET_SHIRT3_T1"	"Turret Shirt (Female)"
"ASSET_SHIRT3_T2"	"タレットシャツ(メンズ)"
"[english]ASSET_SHIRT3_T2"	"Turret Shirt (Male)"
"ASSET_SHIRT3_D"	"テストチェンバー10を70秒以内にクリアして、タレットシャツを獲得した"
"[english]ASSET_SHIRT3_D"	"Turret Shirt earned for completing Test Chamber 10 in under 70 seconds"
"ASSET_SHIRT3_H"	"テストチェンバー10を70秒以内にクリアして、タレットシャツを獲得しよう"
"[english]ASSET_SHIRT3_H"	"Unlock Turret Shirt by completing Test Chamber 10 in under 70 seconds"
"ASSET_HAT1_T1"	"Portal 2の帽子"
"[english]ASSET_HAT1_T1"	"Portal 2 Hat"
"ASSET_HAT1_T2"	"Portal 2の帽子"
"[english]ASSET_HAT1_T2"	"Portal 2 Hat"
"ASSET_HAT1_D"	"手動オーバーライドを生き残り、Portal 2の帽子を獲得した"
"[english]ASSET_HAT1_D"	"Portal 2 Hat earned for surviving the manual override"
"ASSET_HAT1_H"	"手動オーバーライドを生き残り、Portal 2の帽子をアンロックしよう"
"[english]ASSET_HAT1_H"	"Unlock Portal 2 Hat by surviving the manual override"
"ASSET_PROP1_T1"	"Portal 2のコンパニオンキューブ"
"[english]ASSET_PROP1_T1"	"Portal 2 Companion Cube"
"ASSET_PROP1_T2"	"Portal 2のコンパニオンキューブ"
"[english]ASSET_PROP1_T2"	"Portal 2 Companion Cube"
"ASSET_PROP1_D"	"Portal 2のシングルプレイヤーモードをクリアして、Portal 2のコンパニオンキューブを獲得した"
"[english]ASSET_PROP1_D"	"Portal 2 Companion Cube earned for completing Portal 2 Single Player"
"ASSET_PROP1_H"	"Portal 2のシングルプレイヤーモードをクリアして、Portal 2のコンパニオンキューブをアンロックしよう"
"[english]ASSET_PROP1_H"	"Unlock Portal 2 Companion Cube by completing Portal 2 Single Player"
"Portal2_DLC02_TITLE"	"Portal 2: Bot ペンキ塗装"
"[english]Portal2_DLC02_TITLE"	"Portal 2: Bot Paint Job"
"Portal2_DLC02_SELL"	"Portal 2: Bot ペンキ塗装"
"[english]Portal2_DLC02_SELL"	"Portal 2: Bot Paint Job"
"Portal2_DLC02_NAME"	"Portal 2: Bot ペンキ塗装"
"[english]Portal2_DLC02_NAME"	"Portal 2: Bot Paint Job"
"Portal2_DLC02_DESC"	"Portal 2: Bot ペンキ塗装"
"[english]Portal2_DLC02_DESC"	"Portal 2: Bot Paint Job"
"Portal2_DLC03_TITLE"	"Portal 2: Bot ロールケージ"
"[english]Portal2_DLC03_TITLE"	"Portal 2: Bot Roll Cage"
"Portal2_DLC03_SELL"	"Portal 2: Bot ロールケージ"
"[english]Portal2_DLC03_SELL"	"Portal 2: Bot Roll Cage"
"Portal2_DLC03_NAME"	"Portal 2: Bot ロールケージ"
"[english]Portal2_DLC03_NAME"	"Portal 2: Bot Roll Cage"
"Portal2_DLC03_DESC"	"Portal 2: Bot ロールケージ"
"[english]Portal2_DLC03_DESC"	"Portal 2: Bot Roll Cage"
"Portal2_DLC04_TITLE"	"Portal 2: Bot  アンテナトッパー"
