"lang"
{
"Language"	"vietnamese"
"DOTA_Chat_DisconnectWaitForReconnect"	"%s1 đã mất kết nối. Xin vui lòng chờ họ kết nối lại."
"DOTA_Chat_DisconnectTimeRemaining"	"<font color='#FF0000'><b>%s1 còn lại %s2 phút để kết nối lại.</b></font>"
"DOTA_Chat_DisconnectTimeRemainingPlural"	"<font color='#FF0000'><b>%s1 còn lại %s2 phút để kết nối lại.</b></font>"
"DOTA_Chat_SafeToLeave"	"<font color='#00FF00'><b>Bạn có thể thoát khỏi trận đấu này mà không bị phạt.</b></font>"
"DOTA_Chat_Reconnect"	"%s1 đã kết nối lại vào game."
"DOTA_Chat_Rune_DoubleDamage"	"%s1 đã kích hoạt rune <font color='#82CAFF'>Gấp Đôi Sát Thương</font>."
"DOTA_Chat_Rune_Haste"	"%s1 đã kích hoạt rune <font color='#F62817'>Haste</font>."
"DOTA_Chat_Rune_Illusion"	"%s1 đã kích hoạt rune <font color='#FFD700'>Ảo ảnh</font> ."
"DOTA_Chat_Rune_Invisibility"	"%s1 đã kích hoạt rune <font color='#8B008B'>Tàng hình</font> ."
"DOTA_Chat_Rune_Regeneration"	"%s1 đã kích hoạt rune <font color='#7FFF00'>Regeneration</font> ."
"DOTA_Chat_Rune_Bottle_DoubleDamage"	"%s1 đã đóng chai rune <font color='#82CAFF'>Gấp Đôi Sát Thương</font>."
"DOTA_Chat_Rune_Bottle_Haste"	"%s1 vừa cho rune <font color='#F62817'>Haste</font> vào lọ."
"DOTA_Chat_Rune_Bottle_Illusion"	"%s1 vừa cho rune <font color='#FFD700'>Phân bóng</font> vào lọ."
"DOTA_Chat_Rune_Bottle_Invisibility"	"%s1 đã trữ lại rune <font color='#8B008B'>Tàng hình</font> ."
"DOTA_Chat_Rune_Bottle_Regeneration"	"%s1 đã bỏ rune <font color='#7FFF00'>Hồi phục</font> vào bình."
"DOTA_Chat_NoHero"	"Chưa chọn tướng"
"DOTA_Chat_InTheBag"	"%s1 đã dự đoán rằng đội mình sẽ thắng!"
"DOTA_Chat_SecretShop"	"Đến cửa hàng bí mật để mua %s1"
"DOTA_Chat_ItemAutoPurchased"	"Vật phẩm %s1 đã được mua cho bạn"
"DOTA_Chat_ItemsCombined"	"Các vật phẩm của bạn đã được kết hợp để tạo %s1!"
"DOTA_Chat_CourierLostGood"	"Thú vận chuyển của phe Radiant đã bị giết."
"DOTA_Chat_CourierLostBad"	"Thú vận chuyển của phe Dire đã bị giết."
"DOTA_Chat_GlyphUsedGood"	"Các công trình của Radiant đã được bảo vệ."
"DOTA_Chat_GlyphUsedBad"	"Các công trình của Dire đã được bảo vệ."
"DOTA_Chat_CantUseActionItem"	"Bạn không thể sử dụng '%s1' ngay bây giờ - %s2."
"DOTA_Chat_ChargesExhausted"	"Bạn đã sử dụng lần nạp cuối cùng của vật phẩm '%s1'"
"DOTA_Chat_Bot_Gank"	"Đang tấn công %s1!"
"DOTA_Chat_Bot_PushTower"	"Đang đẩy %s1"
"DOTA_Chat_Bot_Defend"	"Đang thủ %s1"
"DOTA_Chat_Bot_Roam"	"Đảo qua %s1 để gank"
"DOTA_Chat_Bot_RoamGank"	"Tiếp tục %s1!"
"DOTA_Chat_Bot_RuneTop"	"Đang kiểm tra rune trên"
"DOTA_Chat_Bot_RuneBottom"	"Đang kiểm tra rune dưới"
"DOTA_Chat_Bot_Roshan"	"Giết Roshan!"
"DOTA_LaneNameNone"	"Căn cứ"
"DOTA_LaneNameTop"	"đường trên"
"DOTA_LaneNameMiddle"	"đường giữa"
"DOTA_Chat_ActionItemReason_Unknown"	"bây giờ không là thời điểm tốt"
"DOTA_Chat_ActionItemReason_Dead"	"bạn đã chết"
"DOTA_Chat_ActionItemReason_Cooldown"	"đang hồi (%s1)"
"DOTA_MiniKillCam_KillerInfo"	"BỊ GIẾT BỞI\n%s1"
"DOTA_MiniKillCam_ReadytoRespawn"	"Hãy sẵn sàng để hồi sinh!"
"DOTA_MiniKillcam_TotalDamage"	"%s1 Sát thương"
"DOTA_MiniKillcam_OtherDamage"	"Sát thương từ Lính"
"DOTA_MiniKillcam_KilledByGood"	"Bị Giết Bởi\nPhe Radiant!"
"DOTA_MiniKillcam_KilledByBad"	"BỊ GIẾT BỞI\nPhe Dire!"
"DOTA_MiniKillcam_Timer"	"%s1:%s2"
"DOTA_Chat_Good"	"Phe Radiant"
"DOTA_Chat_Bad"	"Phe Dire"
"DOTA_Chat_Melee"	"Cận chiến"
"DOTA_Chat_Ranged"	"Tầm xa"
"DOTA_Chat_LaneTop"	"Đường trên"
"DOTA_Chat_LaneMid"	"Đường giữa"
"DOTA_Chat_LaneBot"	"Đường dưới"
"DOTA_ToolTip_Ability"	"KỸ NĂNG:"
"DOTA_ToolTip_Ability_Passive"	"Nội tại"
"DOTA_ToolTip_Ability_AutoCast"	"Tự động sử dụng"
"DOTA_ToolTip_Ability_Aura"	"Aura"
"DOTA_ToolTip_Ability_Toggle"	"Bật Tắt"
"DOTA_ToolTip_Ability_Target"	"Tác động mục tiêu"
"DOTA_ToolTip_Targeting_Enemy"	"Kẻ thù"
"DOTA_ToolTip_Targeting_EnemyHero"	"Hero địch"
"DOTA_ToolTip_Targeting_Self"	"Bản thân"
"DOTA_ToolTip_Targeting_Allies"	"Đồng Đội"
"DOTA_ToolTip_Targeting_Trees"	"Cây"
"DOTA_ToolTip_Level"	"CẤP ĐỘ"
"AbilityDuration"	"THỜI GIAN:"
"AbilityDamage"	"SÁT THƯƠNG:"
"dota_dashboard_action_tutorial"	"HƯỚNG DẪN"
"dota_dashboard_action_heroes"	"TƯỚNG"
"dota_dashboard_settings"	"Thiết lập"
"dota_profile_mini_title"	"HỒ SƠ"
"dota_profile_mini_party"	"NHÓM"
"dota_profile_mini_2"	"TƯỚNG GẦN ĐÂY"
"returning_top_of_queue"	"Đang quay trở lại tìm trận với ưu tiên cao"
"dota_cancel_match_find"	"HỦY BỎ TÌM KIẾM"
"dota_abandon_game"	"RỜI TRẬN ĐẤU"
"dota_abandon_dialog_title"	"BỎ TRẬN ĐẤU"
"dota_abandon_dialog_warning"	"Bỏ trận đấu trước khi nó kết thúc có thể hủy hoại trải nghiệm trò chơi với người người chơi khác."
"dota_abandon_dialog_confirm"	"Bạn có chắc muốn bỏ trận đấu này?"
"dota_play_matchmaking"	"CHƠI NGAY"
"dota_play_practice"	"RIÊNG TƯ"
"dota_play_tournament"	"GIẢI ĐẤU"
"dota_play_tutorial"	"HƯỚNG DẪN"
"dota_play_matchmaking_desc"	"Tìm một trận đấu với những người chơi có cùng kinh nghiệm trong khu vực của bạn."
"dota_play_practice_desc"	"Tao một phòng riêng tư để chơi với bạn bè hay máy."
"dota_play_tutorial_desc"	"Chơi một trận với một người cố vấn hay qua một bài học."
"dota_play_tournament_desc"	"Tìm một trận trong giải đấu."
"dota_play_leaver_left_label"	"Bạn đã rời trận vừa rồi của bạn. Nếu bạn gặp sự cố hay mất kết nối, bạn nên kết nối lại với trận đấu. Việc rời bỏ sẽ dẫn đến hậu quả trong tương lai."
"dota_play_matchmaking_reconnect_hint"	"Bạn có thể vào lại một trận đấu nếu bạn gặp sự cố hay ngắt kết nối. Không vào lại có thể làm hỏng trận đấu của những người chơi khác."
"dota_play_find_match"	"Tìm một trận"
"dota_play_welcome_title"	"Chào mừng đến với DOTA 2"
"dota_play_welcome_text"	"Cảm ơn sự tham gia của bạn, phản hồi\ncủa bạn sẽ giúp Dota 2 tốt hơn."
"dota_apply"	"ÁP DỤNG"
"DOTA_RP_INIT"	"Trình đơn chính"
"DOTA_ActivateGlyph"	"Kích hoạt bảo vệ công trình"
"DOTA_SelectCourier"	"Chọn thú vận chuyển"
"DOTA_PurchaseQuickbuy"	"Mua đồ nhanh"
"DOTA_PurchaseSticky"	"Mua vật phẩm được Đính"
"DOTA_Pause"	"Tạm dừng"
"DOTA_Chat_Bot_RoamLane"	"Quay về lại %s1"
"DOTA_Chat_CantPause"	"Bạn không thể tạm dừng."
"DOTA_Chat_NoPausesLeft"	"Bạn không còn lượt dừng nào nữa."
"DOTA_Chat_CantPauseYet"	"Bạn không thể dừng trong %s1 giây."
"DOTA_Chat_Paused"	"%s1 đã tạm dừng trận đấu."
"DOTA_Chat_Unpaused"	"%s1 đã tiếp tục trận đấu"
"DOTA_Chat_YouPaused"	"Bạn đã dừng trận đấu, bạn còn %s1 quyền dừng trận đấu."
"DOTA_Chat_CantUnpauseTeam"	"Chưa đến lúc bạn có thể tiếp tục trận đấu ở đội này."
"DOTA_Winner_GoodGuys"	"Phe Radiant chiến thắng"
"DOTA_Winner_BadGuys"	"Phe Dire chiến thắng"
"DOTA_Finish_Game"	"Kết thúc trận đấu"
"DOTA_LearnAbilities"	"Học Kĩ năng"
"DOTA_ReactiveHintTitle_TowerDamage"	"Sát thương từ Trụ"
"DOTA_ReactiveHintBody_TowerDamage"	"Trụ gây RẤT NHIỀU sát thương - nếu bạn nhận thậm chí chỉ một vài đòn đánh từ chúng, bạn có thể cần phải về suối hồi máu. Tốt hơn hết là chỉ nên chiến đấu gần trụ khi lính đang tấn công chúng."
"DOTA_ReactiveHintTitle_Death"	"Đã chết"
"DOTA_ReactiveHintBody_Death"	"Khi bạn chết, bạn sẽ hồi sinh ở suối. Khoảng thời gian hồi sinh tỉ lệ thuận với cấp độ của bạn nên hãy cố gắng ĐỪNG CHẾT. Nếu lượng máu của bạn đang thấp, hãy quay về suối để hồi phục."
"DOTA_Tutorial_TaskCompleted"	"Hoàn thành!"
"DOTA_TutorialTitle_WelcomeToDota"	"Nguyên lý cơ bản của trò chơi và hướng dẫn điều khiển."
"DOTA_TutorialBody_WelcomeToDota"	"Hướng dẫn này sẽ giới thiệu bạn về thế giới của Dota và chỉ cho bạn cách làm sao để điều khiển tướng của bạn."
"DOTA_TutorialTitle_MaidenIntro"	"Tướng của Bạn"
"DOTA_TutorialBody_MaidenIntro"	"Bạn sẽ chơi trận đấu này bằng vị tướng Shadow Shaman, một vị thần tà thuật. Bạn ở phe Radiant, đội đối phương là phe Dire."
"DOTA_TutorialTitle_MovingYourCharacter"	"Di chuyển Nhân Vật của bạn"
"DOTA_TutorialBody_MovingYourCharacter"	"Bạn có thể di chuyển nhân vật bằng cách nhấn chuột phải tại nơi muốn đến. Hồ máu của đội bạn ở ngay dưới chân đó."
"DOTA_TutorialTask_MoveToFountain"	"Di chuyển đến suối (nhấn chuột phải)."
"DOTA_TutorialTitle_FountainIntro"	"Hồ máu"
"DOTA_TutorialBody_FountainIntro"	"Hồ máu có thể nhanh chóng hồi phục máu và năng lượng cho bạn. Nó cũng là nơi bạn sống lại nếu bạn chết trong trận chiến. Chúng ta cùng xem các tòa nhà quan trọng xung quanh khác."
"DOTA_TutorialTitle_CameraIntro"	"Tầm nhìn của Bạn"
"DOTA_TutorialBody_CameraIntro"	"Bạn có thể di chuyển tầm nhìn của bạn bằng cách rê chuột vào cạnh màn hình. Nào chúng ta cùng nhìn về hướng đông bắc từ Ancient của đội bạn."
"DOTA_TutorialTask_MoveToAncient"	"Di chuyển góc nhìn đến ancient (đưa chuột đến cạnh màn hình)"
"DOTA_TutorialTitle_AncientIntro"	"Ancient"
"DOTA_TutorialBody_AncientIntro"	"Ancient là công trình quan trọng nhất của đội bạn - nếu nó bị phá hủy đội của bạn sẽ thua. Bạn phải phá hủy Ancient của phe Dire để chiến thắng."
"DOTA_TutorialTitle_ViewHeroIntro"	"Trở về tướng của bạn"
"DOTA_TutorialBody_ViewHeroIntro"	"Bạn có thể cho góc nhìn quay về hero của mình bằng cách nhấn vào chân dung hoặc bấm F1 hai lần. Bây giờ hãy làm thế để đưa góc nhìn trở về hero của mình."
"DOTA_TutorialTask_ViewToHero"	"Quay tầm nhìn trở lại (nhấp vào chân dung)"
"DOTA_TutorialTitle_MapIntro"	"Bản đồ nhỏ"
"DOTA_TutorialBody_MapIntro"	"Có một bản đồ nhỏ nằm ở góc trái màn hình của bạn. Căn cứ của bạn (màu xanh lá cây) thì nằm ở góc trái bên dưới và căn cứ của địch (màu đỏ) thì nằm ở phía trên bên phải."
"DOTA_TutorialTitle_LaneIntro"	"Các đường tấn công"
"DOTA_TutorialBody_LaneIntro"	"Có ba con đường để đến căn cứ địch. Hãy di chuyển lên đường trên."
"DOTA_TutorialTask_MoveToTopLane"	"Di chuyển tướng của bạn lên đường trên"
"DOTA_TutorialTitle_BarracksIntro"	"Nhà lính"
"DOTA_TutorialBody_BarracksIntro"	"Mỗi đường có hai nhà lính mà bộ binh phe bạn, còn được gọi là quái, sẽ sinh ra đều đặn. Quái di chuyển tới căn cứ kè thù và tấn công cả quái lẫn công trình đối thủ trên đường đi -- bạn không thể điều khiển chúng!"
"DOTA_TutorialTitle_LaningIntro"	"Trận chiến bắt đầu!"
"DOTA_TutorialBody_LaningIntro"	"Một lượt quái Radiant chuẩn bị xuất hiện. Theo chúng vào trận chiến và chiến đấu từ xa. Cố gắng không để bị đánh trúng - bạn rất quan trọng! Khi một lượt quái chết, bạn nên rút lui và đợi đợt quái tiếp theo."
"DOTA_TutorialTitle_FindingYourHero"	"Tìm Hero của bạn"
"DOTA_TutorialBody_FindingYourHero"	"Nếu bạn mất dấu tướng của mình, bạn có thể nhấn đúp F1 hoặc nhấn chuột vào chân dung tướng của mình để tập trung máy quay lên tướng."
"DOTA_TutorialTask_FollowCreeps"	"Đi theo creep để ra chiến tuyến."
"DOTA_TutorialTitle_CombatIntro"	"Chiến đấu"
"DOTA_TutorialBody_CombatIntro"	"Có giao tranh phía trước. Nhớ cẩn thận và tránh nhận sát thương."
"DOTA_TutorialTitle_AttackingIntro"	"Tấn công"
"DOTA_TutorialBody_AttackingIntro"	"Bạn có thể tấn công đối phương bằng cách nhấp chuột phải lên chúng (chỉ cần nhấp một lần)."
"DOTA_TutorialTitle_BountiesIntro"	"Phần thưởng"
"DOTA_TutorialBody_BountiesIntro"	"Khi bạn ra đòn kết liễu quân lính hoặc công trình bạn sẽ nhận được tiền thưởng. Tấn công quân địch còn thấp máu và cố gắng nhận được tiền thưởng."
"DOTA_TutorialTask_LastHitCreeps"	"Nhận tiền thưởng từ đòn kết liễu %s1/%s2"
"DOTA_TutorialTitle_SpendGold"	"Tiêu tiền"
"DOTA_TutorialBody_SpendGold"	"Hãy trở về căn cứ để tiêu số vàng mà bạn đã phải khó khăn mới kiếm được. Nhấp phải chuột vào căn cứ của đội bạn ở góc dưới trái bản đồ nhỏ để di chuyển tới đó."
"DOTA_TutorialTask_ReturnToShop"	"Trở về căn cứ để mua đồ."
"DOTA_TutorialTitle_BuyFromShop"	"Tiêu tiền: Cửa hàng"
"DOTA_TutorialBody_BuyFromShop"	"Bạn có thể dùng số vàng kiếm được để mua đồ trong cửa hàng."
"DOTA_TutorialTitle_BuyFromShop2"	"Mua từ cửa hàng"
"DOTA_TutorialBody_BuyFromShop2"	"Nhấn chuột trái vào cửa hàng để xem những món đồ được bán. Nhấp đôi vào \"Town Portal Scroll\" và \"Blades of Attack\" để mua chúng."
"DOTA_TutorialTitle_CloseShop"	"Đóng cửa hàng"
"DOTA_TutorialBody_CloseShop"	"Để đóng cửa hàng, bạn có thể nhấn chuột trái nút X ở góc trên bên trái, hoặc nhấn chuột trái bất kỳ chỗ nào ngoài bảng chọn cửa hàng, hoặc ấn nút ở gần hòm đồ của mình. Cửa hàng cũng tự động đóng lại khi bạn di chuyển ra khỏi khu vực mua hàng."
"DOTA_TutorialTask_BuyTPScroll"	"Mua hai vật phẩm từ cửa hàng."
"DOTA_TutorialTitle_TeleportIntro"	"Loại đồ"
"DOTA_TutorialBody_TeleportIntro"	"\"Blades of Attack\" của bạn cung cấp một lượng sát thương bị động, trong khi \"Town Portal Scroll\" cần phải được kích hoạt. Sử dụng \"Town Portal Scroll\" sẽ cho phép bạn dịch chuyển đến bất cứ công trình nào của đội. Đây là điều thiết yếu để tiết kiệm thời gian quý báu."
"DOTA_TutorialTitle_UseItemIntro"	"Dùng \"Town Portal Scroll\" để dịch chuyển."
"DOTA_TutorialBody_UseItemIntro"	"Để sử dụng \"Town Portal Scroll\", nhấn chuột trái vào nó rồi nhấn tiếp vào điểm đến mong muốn trên bản đồ nhỏ. Dịch chuyển là một chiêu vận pháp, vì vậy cẩn thận đừng làm gián đoạn quá trình bằng việc đưa ra cho tướng của mình một lệnh khác khi bạn đang thi triển."
"DOTA_TutorialTask_UseTPScroll"	"Dùng \"Town Portal Scroll\" của bạn để dịch chuyển."
"DOTA_TutorialTitle_StayInLane"	"Trụ lại đường."
"DOTA_TutorialBody_StayInLane"	"Vì bạn nhận được kinh nghiệm và vàng từ việc đánh bại đối thủ nên bạn rất cần dành thời gian ở đường trong giai đoạn đầu của trận đấu. Quay trở về đường của bạn để trở lại giao tranh."
"DOTA_TutorialTask_BackToCombat"	"Trở về đường của bạn."
"DOTA_TutorialTitle_ExpIntro"	"Thu kinh nghiệm"
"DOTA_TutorialBody_ExpIntro"	"Khi 1 quân đối thủ chết điểm kinh nghiệm sẽ chia cho các tướng của phe bạn đứng gần đó. Cố gắng nhận đủ điểm kinh nghiệm để lên level."
"DOTA_TutorialTask_GetALevel"	"Lên cấp độ bằng việc giúp đỡ tiêu diệt quân địch."
"DOTA_TutorialTitle_LevelIntro"	"Lên cấp"
"DOTA_TutorialBody_LevelIntro"	"Khi bạn lên một cấp độ bạn được thưởng một điểm để nâng một kĩ năng."
"DOTA_TutorialTitle_AbilityIntro"	"Sử dụng điểm kỹ năng"
"DOTA_TutorialBody_AbilityIntro"	"Bạn có thể thấy mỗi kỹ năng làm gì bằng cách rê chuột vào hình đại diện của nó. Sử dụng điểm để nâng cấp độ cho kĩ năng bằng cách nhấp chuột vào thanh màu vàng bên dưới hình đại diện của nó. Nâng cấp độ cho kĩ năng Ether Shock của bạn."
"DOTA_TutorialTask_BuyAbility"	"Dùng một điểm kỹ năng để học Ether Shock."
"DOTA_TutorialTitle_CastIntro"	"Sử dụng kỹ năng"
"DOTA_TutorialBody_CastIntro"	"Kĩ năng Ether Shock gây ra sát thương phép. Sẽ tốn năng lượng bất cứ khi nào bạn dùng nó. Nhấp chuột vào biểu tượng kĩ năng sau đó nhấp chuột trái vào nơi bạn muốn khai triển kĩ năng."
"DOTA_TutorialTask_CastSpell"	"Hãy thi triển kỹ năng Ether Shock của bạn."
"DOTA_TutorialTitle_RazorIntro"	"Razor"
"DOTA_TutorialBody_RazorIntro"	"Tướng địch Razor ở phe Dire đã tham chiến. Một bậc thầy trong việc sử dụng ma thuật sấm sét với kỹ năng Plasma Field rất mạnh mẽ. Hắn sẽ tấn công đường trên."
"DOTA_TutorialTitle_NewItems"	"Đồ mới"
"DOTA_TutorialBody_NewItems"	"Bạn đã được trang bị một vài vật phẩm để phục vụ cho cuộc chiến. Bạn có một ít tango với KỸ NĂNG CHỦ ĐỘNG tiêu thụ một cái cây để hồi máu. Bạn cũng có một perseverance với KỸ NĂNG BỊ ĐỘNG giúp tăng khả năng hồi phục."
"DOTA_TutorialTitle_AttackTower"	"Tấn công trụ"
