"lang"
{
"Language"	"pirate"
"DOTA_Chat_ItemAutoPurchased"	"Th' item %s1 has been aquiered fer ye!"
"DOTA_Chat_ItemsCombined"	"Ye smashed yer pieces o' loot together t' form a %s1!"
"DOTA_Chat_CourierLostGood"	"Radiant's courier be sent t' Davy Jones` Locker!"
"DOTA_Chat_CourierLostBad"	"Dire's courier be sent t' Davy Jones` Locker."
"DOTA_Chat_GlyphUsedGood"	"Radiant structures' be fortified."
"DOTA_Chat_GlyphUsedBad"	"Dire structures' be fortified."
"DOTA_Chat_CantUseActionItem"	"Can't be usin' that thar '%s1' right now - %s2."
"DOTA_Chat_Bot_Gank"	"Invadin' %s1!"
"DOTA_Chat_Bot_PushTower"	"Pushin' %s1"
"DOTA_Chat_Bot_Defend"	"Protectin' %s1"
"DOTA_Chat_Bot_Roam"	"Sailin' t' %s1 t' shank"
"DOTA_Chat_Bot_RoamGank"	"Get on %s1!"
"DOTA_Chat_Bot_RuneTop"	"Be checkin' th' rune above"
"DOTA_Chat_Bot_RuneBottom"	"Be checkin' th' rune below"
"DOTA_Chat_Bot_Roshan"	"Slayin' th' Kraken!"
"DOTA_LaneNameNone"	"base"
"DOTA_LaneNameTop"	"top"
"DOTA_LaneNameMiddle"	"mid"
"DOTA_Chat_ActionItemReason_Unknown"	"ain't th' best of times, right now"
"DOTA_Chat_ActionItemReason_Dead"	"yer dead\nwe ain't suprised\nye shan't be mourned"
"DOTA_MiniKillCam_KillerInfo"	"MURDERED BY\n%s1"
"DOTA_MiniKillCam_ReadytoRespawn"	"Prepare fer yer resurrection!"
"DOTA_MiniKillcam_TotalDamage"	"%s1 DMG"
"DOTA_MiniKillcam_OtherDamage"	"Creep Damage"
"DOTA_MiniKillcam_KilledByGood"	"MURDERED BY\nTh' Radiant!"
"DOTA_MiniKillcam_KilledByBad"	"MURDERED BY\nTh' Dire!"
"DOTA_MiniKillcam_Timer"	"%s1:%s2"
"DOTA_Chat_Good"	"Th' Radiant"
"DOTA_Chat_Bad"	"Th' Dire"
"DOTA_Chat_Melee"	"Close Combat"
"DOTA_Chat_Ranged"	"Ranged"
"DOTA_Chat_LaneTop"	"Top"
"DOTA_Chat_LaneMid"	"Mid"
"DOTA_Chat_LaneBot"	"Bottom"
"DOTA_Lobby_Player_Joined"	"%s1 boarded."
"DOTA_Lobby_Player_Left"	"%s1 disembarked."
"DOTA_Lobby_Become_Leader_Self"	"Yer now in charge o' th' Lobby."
"DOTA_Lobby_Become_Leader"	"%s1 now be in charge o' th' Lobby."
"DOTA_Lobby_Game_Lobby_Setup"	"SEAFARIN' PRACTICE LOBBY RIGGINGS"
"DOTA_Lobby_Game_Mode"	"BATTLE TYPE"
"DOTA_Lobby_Region"	"PORT LOCATION"
"DOTA_Lobby_Team_1_Logo"	"FIRST CREW'S FLAG"
"DOTA_Lobby_Team_2_Logo"	"SECOND CREW'S FLAG"
"DOTA_Lobby_Team_1_Name"	"FIRST CREW'S TITLE"
"DOTA_Lobby_Team_2_Name"	"SECOND CREW'S TITLE"
"DOTA_Lobby_Enable_Cheats"	"Permit cheatin'"
"DOTA_Lobby_Fill_Bots"	"Stuff empty slots wit' dummies"
"DOTA_Lobby_Intro_Mode"	"Intro Mode"
"DOTA_UI_Cancel"	"BELAY"
"DOTA_UI_Ok"	"AYE"
"dota_region_automatic"	"Automatic"
"dota_region_us_west"	"US West"
"dota_region_us_east"	"US East"
"dota_region_europe"	"Luxembourg"
"dota_region_hong_kong"	"Hong Kong"
"dota_region_singapore"	"Singapore"
"dota_region_shanghai"	"Shanghai"
"dota_region_beijing"	"Beijing"
"dota_region_malaysia"	"Malaysia"
"dota_matchgroup_sa"	"South America"
"dota_matchgroup_eu"	"Europe West"
"DOTA_Hero_Selection_Timer_Second"	"GRAIN O' SAND"
"DOTA_Hero_Selection_Timer_Seconds"	"GRAINS O' SAND"
"DOTA_Hero_Selection_Search_Field_Default"	"SCOUR FER ADMIRALS"
"DOTA_Hero_Selection_Filter_All"	"ALL ADMIRALS"
"DOTA_Hero_Selection_AdvFilter_Carry"	"Carry"
"DOTA_Hero_Selection_AdvFilter_Initiator"	"Rumble Starter"
"DOTA_Hero_Selection_AdvFilter_Support"	"Support"
"DOTA_Hero_Selection_AdvFilter_Pusher"	"Pusher"
"DOTA_Hero_Selection_Team_Good"	"TH' RADIANT"
"DOTA_Hero_Selection_Team_Bad"	"TH' DIRE"
"DOTA_Hero_Selection_STR"	"MIGHT"
"DOTA_Hero_Selection_AGI"	"NIMBLENESS"
"DOTA_Hero_Selection_INT"	"WITS"
"DOTA_Hero_Selection_STR_Good"	"TH' RADIANT: MIGHT"
"DOTA_Hero_Selection_AGI_Good"	"NIMBLENESS"
"DOTA_Hero_Selection_INT_Good"	"WITS"
"DOTA_Hero_Selection_STR_Bad"	"TH' DIRE: MIGHT"
"DOTA_Hero_Selection_AGI_Bad"	"NIMBLENESS"
"DOTA_Hero_Selection_INT_Bad"	"WITS"
"DOTA_Hero_Selection_Random"	"Random Admiral"
"DOTA_Hero_Selection_Confirm"	"Hire %s1"
"DOTA_Hero_Selection_Ban_Confirm"	"Exile %s1"
"DOTA_Hero_Selection_Pick_Confirm"	"Pick %s1"
"DOTA_Hero_Selection_Pick"	"SELECT PICK #%d"
"DOTA_Hero_Selection_Ban"	"SELECT EXILE #%d"
"DOTA_Hero_Selection_Complete"	"DONE"
"DOTA_Hero_Selection_Instruction"	"Ye've got %s1 t' pick an' admiral."
"DOTA_Hero_Selection_Instruction_Other"	"Other scallywags be pickin' their admirals."
"DOTA_Hero_Selection_Filter_Starter"	"ADVISED DECKHAND ADMIRALS"
"DOTA_CombatLogHeading"	"Log o' War"
"DOTA_ToolTip_Ability"	"SKILL:"
"DOTA_ToolTip_Ability_NoTarget"	"No Target"
"DOTA_ToolTip_Ability_Passive"	"Passive"
"DOTA_ToolTip_Ability_AutoCast"	"Auto-Cast"
"DOTA_ToolTip_Ability_Aura"	"Aura"
"DOTA_ToolTip_Ability_Toggle"	"Toggle"
"DOTA_ToolTip_Ability_Target"	"Unit Target"
"DOTA_ToolTip_Ability_Point"	"Point Target"
"DOTA_ToolTip_Targeting"	"AFFECTS:"
"DOTA_ToolTip_Targeting_Enemy"	"Foes"
"DOTA_ToolTip_Targeting_EnemyHero"	"Enemy Admirals"
"DOTA_ToolTip_Targeting_Self"	"Meself"
"DOTA_ToolTip_Targeting_Allies"	"Shipmates"
"DOTA_ToolTip_Targeting_Trees"	"Trees"
"DOTA_ToolTip_Level"	"RANK"
"DOTA_Hero_Tooltip_Level"	"Rank %s1"
"AbilityDuration"	"DURATION:"
"AbilityDamage"	"DAMAGE:"
"DOTA_Chat_Prompt"	"Shout:"
"dota_dashboard_players_online"	"%s1 SEAFARIN' SCALLYWAGS"
"dota_dashboard_welcome"	"AVAST YE, AN' WELCOME T' TH' DOTA NETWORK"
"dota_dashboard_actions"	"ACTIONS:"
"dota_dashboard_start_playing"	"PLUNDER"
"dota_dashboard_action_matchmaking"	"BRAWLFINDIN'"
"dota_dashboard_action_matchmaking_label"	"plunder wit' scallywags that can almost best ye"
"dota_dashboard_action_private"	"HIDDEN"
"dota_dashboard_action_private_label"	"plunder wit' some o' yer mateys"
"dota_dashboard_action_ai"	"A.I."
"dota_dashboard_action_ai_label"	"plunder wit' dummies"
"dota_dashboard_action_tutorial"	"TUTORIAL"
"dota_dashboard_action_tutorial_label"	"plunder wit' manual"
"dota_dashboard_action_friends_game_label"	"mateys currently in an battle lobby"
"dota_dashboard_prepareresearch"	"PREPARE/RESEARCH"
"dota_dashboard_helpout"	"LEND A HAND"
"dota_dashboard_action_mentor"	"MENTOR"
"dota_dashboard_action_mentor_label"	"recruit a deckhand, answer a query"
"dota_dashboard_action_contribute"	"CONTRIBUTE"
"dota_dashboard_action_contribute_label"	"scribble an admiral manual, rate a manual"
"dota_dashboard_start_learning"	"START LEARNIN':"
"dota_dashboard_heropedia"	"ADMIRALOGY"
"dota_dashboard_action_heroes"	"ADMIRALS"
"dota_dashboard_action_items"	"LOOT"
"dota_dashboard_action_replays"	"RECORDIN'S"
"dota_dashboard_action_comma"	", "
"dota_dashboard_tips"	"TIPS"
"dota_dashboard_configure"	"RIG:"
"dota_dashboard_settings"	"Riggings"
"dota_dashboard_quit"	"Abandon Ship"
"dota_dashboard_profile"	"YER LOG"
"dota_dashboard_chat"	"PARLEY"
"dota_dashboard_community"	"PARLEY"
"dota_dashboard_join_chat"	"BOARD CHANNEL"
"dota_dashboard_category_today"	"T'DAY"
"dota_dashboard_category_updates"	"AMENDMENTS"
"dota_dashboard_category_play"	"PLUNDER"
"dota_dashboard_category_watch"	"OBSERVE"
"dota_dashboard_category_socialize"	"CREW"
"dota_profile_mini_title"	"LOG"
"dota_profile_mini_party"	"PARTY"
"dota_profile_mini_2"	"RECENT ADMIRALS"
"matchmaking_status_title"	"Brawlfindin' State"
"matchmaking_status_text"	"Yer battle be ready"
"matchmaking_ready_text"	"%s1 Ready"
"matchmaking_player_afk"	"Scallywag ain't ready"
"matchmaking_player_cancel"	"Scallywag bail'd out"
"matchmaking_player_rematch"	"Scourin' fer new scallywags"
"matchmaking_waiting_for_players"	"Waitin' fer other scallywags"
"matchmaking_player_declined"	"A scallywag be too chicken t' fight ye"
"returning_top_of_queue"	"Goin' back t' th' top o' th' brawlfindin' list"
"dota_ready_fail"	"FAILED T' PREPARE"
"dota_ready_fail_desc"	"We were ready t' send ye int' battle, but ye sat around twiddlin' yer thumbs an' have been purged from th' brawlfindin' pool."
"dota_ready_fail_return"	"Seek out some other battle?"
"matchmaking_label"	"Brawlfindin'"
"matchmaking_wait_time"	"Time ye have t' wait: nnn"
"matchmaking_exp_geo"	"Scourin' outside yer area"
"matchmaking_exp_skill"	"Scourin' outside yer scallywag rank"
"matchmaking_region_active"	"PICKED"
"matchmaking_region_inactive"	"UNPICKED"
"matchmaking"	"ACTIVE SEAS"
"today_in_dota"	"T'DAY IN DOTA"
"matches_in_progress"	"TOP BATTLES UNDERWAY"
"findmatch"	"SEEK OUT A FIGHT"
"players_online"	"SEAFARIN' SCALLYWAGS"
"dota_profile_prestige"	"PRESTIGE"
"dota_profile_wins"	"VICTORIES:"
"dota_profile_losses"	"DEFEATS"
"dota_profile_leaves"	"ABANDONED"
"dota_join_chat_channel_prompt"	"Channel:"
"dota_join_chat_channel_button"	"BOARD"
"dota_join_chat_channel_name_header"	"Channel Title"
"dota_join_chat_channel_startup_header"	"Board On Startup"
"dota_chat_party_tab"	"Party"
"dota_chat_lobby_tab"	"Lobby"
"dota_game_lobby_title"	"BATTLE LOBBY"
"dota_match_history"	"BATTLE HISTORY"
"dota_match_history_details"	"BATTLE DETAILS"
"dota_match_history_win"	"VICTORY"
"dota_match_history_loss"	"DEFEAT"
"dota_match_history_back"	"SHUT"
"dota_match_history_Winner_GoodGuys"	"VICTOR: Th' Radiant"
"dota_match_history_Winner_BadGuys"	"VICTOR: Th' Dire"
"page_previous"	"PREVIOUS"
"page_next"	"NEXT"
"page_counter"	"Page: %s1"
"page_back"	"ASTERN"
"dota_load_game_title"	"FETCH BATTLE"
"dota_watch_replay"	"WATCH RECORDIN'"
"dota_download_replay"	"RECEIVE RECORDIN'"
"dota_replay_unavailable"	"RECORDIN' AIN'T AVAILABLE"
"dota_profile_show_match_history"	"BATTLE HISTORY"
"dota_persona_panel_title"	"SCALLYWAG DETAILS"
"dota_downloading_replay"	"Receivin'..."
"dota_num_players_searching"	"SCALLYWAGS SCOURIN': %s1"
"dota_search_range"	"SCOURIN' RANGE"
"dota_num_matching_players"	"MATCHIN' SCALLYWAGS: %s1 o' 10"
"dota_cancel_match_find"	"QUIT SCOURIN'"
"dota_match_in_progress"	"Battle underway"
"dota_match_finished"	"Battle be over"
"dota_match_connecting"	"Dockin' in th' port..."
"dota_match_connected"	"Docked at th' port"
"dota_reconnect_to_game"	"RE-DOCK"
"dota_abandon_game"	"ABANDON BATTLE"
"dota_disconnect_game"	"DEPART"
"dota_match_game_ui"	"Hidden Lobby Preparation"
"dota_number_of_spectators"	"Number o' Lookouts: %s1"
"dota_abandon_dialog_title"	"DITCH BATTLE"
"dota_abandon_dialog_warning"	"Ditchin' an battle 'fore it's over wont make yer fellow scallywags like ye very much."
"dota_abandon_dialog_confirm"	"Yer sure ye'd like t' abandon yer current battle?"
"dota_play_matchmaking"	"PLUNDER ADVENTURE"
"dota_play_practice"	"HIDDEN"
"dota_play_tournament"	"TOURNEY"
"dota_play_tutorial"	"TUTORIAL"
"dota_watch_game"	"OBSERVE"
"dota_play_matchmaking_desc"	"Find a brawl nearby wit' scallywags that be as tough as ye.
"
"dota_play_practice_desc"	"Arrange a hidden lobby t' go adventurin' with yer mateys or th' A.I. "
"dota_play_tutorial_desc"	"Plunder wit' a mentor or blast yer way through a lesson."
"dota_play_tournament_desc"	"Get int' a fight in a competitive tourney."
"dota_play_leaver_left_label"	"Arr, ye turned tail an' left th' battle. If it be an accident or some act o' mysterious, unseen forces, ye should rejoin th' battle. Leavin' yer crewmates will come back t' haunt ye if ye don't."
"dota_play_matchmaking_reconnect_hint"	"If some force beyond yer control made ye stop adventurin', ye can always hop back on board. Not doin' so would be seen as mutinous by yer fellow scallywags."
"dota_play_find_match"	"Seek a Battle"
"dota_play_welcome_title"	"Avast ye, an' welcome t' Dota 2"
"dota_play_welcome_text"	"Thanks fer participatin', yer feedback\nwill help use make sure Dota 2 ain't crap. "
"DOTA_create_private_lobby"	"Arr, scribble down a watchword t' craft a private battle (Dun 'ave t')"
"DOTA_join_private_title"	"JOIN HIDDEN BATTLE"
"DOTA_join_private_desc"	"What's th' watchword? Th' lobby-leader won't let ye onboard without it."
"DOTA_join_private_error1"	"That ain't th' watchword! Go away ye treacherous swine!"
"dota_apply"	"APPLY"
"DOTA_Matchmaking_NoRegion_Error"	"Pick out yer brawlfindin' region, landlubber!"
"DOTA_GameStartCountdown"	"Battle begins in %s1:%s2"
"DOTA_GameTime"	"%s1:%s2"
"DOTA_GamePreGame"	"Pre-Battle"
"find_match"	"Seek Out A Fight"
"play_tutorial"	"Plunder Tutorial"
"unlock_persona"	"Once yer at rank 2, ye'll get all sorts o' persona features"
"dota_party_leader"	"Party Leader"
"DOTA_UserMenu_Profile"	"See Dota Log"
"DOTA_UserMenu_SteamProfile"	"See Steam Log"
"DOTA_UserMenu_SendMessage"	"Cast Note..."
"DOTA_UserMenu_PartyKick"	"Boot from Party"
"DOTA_UserMenu_PartyInvite"	"Invite t' Party"
"DOTA_UserMenu_PartySuggestInvite"	"Suggest invite t' Party"
"DOTA_UserMenu_PartyLeave"	"Abandon Party"
"DOTA_UserMenu_Spectate"	"Observe Battle"
"DOTA_InvitedToParty"	"%s1 has invited ye t' a party."
"DOTA_Invite_Accept"	"AGREE"
"DOTA_Invite_Decline"	"DECLINE"
"DOTA_RP_INIT"	"Main Table"
"DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"Waitin' fer fetchers"
"DOTA_RP_HERO_SELECTION"	"Admiral Selection"
"DOTA_RP_STRATEGY_TIME"	"Strategy Time"
"DOTA_RP_PRE_GAME"	"Pre Battle"
"DOTA_RP_GAME_IN_PROGRESS"	"Adventurin'"
"DOTA_RP_POST_GAME"	"Aftermath"
"DOTA_RP_DISCONNECT"	"Departin'"
"DOTA_RP_SPECTATING"	"Observin' A Battle"
"DOTA_ActivateGlyph"	"Activate Glyph"
"DOTA_PurchaseQuickbuy"	"Acquire Quickbuy"
"DOTA_PurchaseSticky"	"Acquire Sticky"
"DOTA_Pause"	"Halt"
"DOTA_Chat_Bot_RoamLane"	"Headin' back t' %s1"
"DOTA_Chat_CantPause"	"Ye can't halt."
"DOTA_Chat_NoPausesLeft"	"Ye've held us up long enough, ye can't halt th' battle anymore."
"DOTA_Chat_CantPauseYet"	"Ye cannot be haltin' th' battle fer %s1 seconds."
"DOTA_Chat_Paused"	"%s1 halted th' battle."
"DOTA_Chat_Unpaused"	"%s1 continued th' battle."
"DOTA_Chat_YouPaused"	"Ye halted th' battle, ye can only halt %s1 more times."
"DOTA_Chat_CantUnpauseTeam"	"Thar be no continuin' o' the battle on this crew yet."
"DOTA_Winner_GoodGuys"	"Radiant Victory"
"DOTA_Winner_BadGuys"	"Dire Victory"
"DOTA_Finish_Game"	"Wrap up Battle"
"DOTA_LearnAbilities"	"Attain Skills"
"DOTA_ReactiveHintTitle_TowerDamage"	"Damage from Crow's Nests"
"DOTA_ReactiveHintBody_TowerDamage"	"Crow nests do A LOT o' damage - if ye take even a handful of smacks from them ye might be needin' t' return t' th' fountain o' youth and heal up. It's better t' fight near th' crows nest only when yer creeps be attackin' it."
"DOTA_ReactiveHintTitle_Death"	"Watery Graves"
"DOTA_ReactiveHintBody_Death"	"When yer sent t' a watery grave ye'll rejoin yer crew back at yer fountain. The time t' come back gets higher as ye level so 'tis imperative that ye try t' NEVER PERISH. If yer low on health then return t' the fountain t' heal.
"
"DOTA_Tutorial_TaskCompleted"	"Finished!"
"DOTA_TutorialTitle_WelcomeToDota"	"Th' Basic Battle Concepts an' Controls Guide"
"DOTA_TutorialBody_WelcomeToDota"	"This guide be introducin' ye t' th' world o' Dota and show ye how t' be controllin' yer admiral."
"DOTA_TutorialTitle_MaidenIntro"	"Yer Admiral"
"DOTA_TutorialBody_MaidenIntro"	"Ye'll be plunderin' this match as Shadow Shaman, a master o' voodoo witchery. Ye're on Th' Radiant crew, th' blasted enemy crew be called Th' Dire."
"DOTA_TutorialTitle_MovingYourCharacter"	"Navigatin' yer Character"
"DOTA_TutorialBody_MovingYourCharacter"	"Ye can navigate yer character by jabbin' th' right mouse button where ye want to go. Yer crew fountain is directly below ye."
"DOTA_TutorialTask_MoveToFountain"	"Head towards yer fountain (right-jab)."
"DOTA_TutorialTitle_FountainIntro"	"Th' Fountain"
"DOTA_TutorialBody_FountainIntro"	"Th' fountain o' youth can quickly replenish ye life an' rum. It also rescues ye from Davy Jones' Locker if ye ever die. We be lookin' at sum' other important structures around now."
"DOTA_TutorialTitle_CameraIntro"	"Yer view"
"DOTA_TutorialBody_CameraIntro"	"Ye can scroll yer view by movin' th' mouse t' th' tip o' th' screen. Let's peek t' th' northeast at yer crew's Ancient."
"DOTA_TutorialTask_MoveToAncient"	"Move VIEW t' ancient (mouse th' screen tip)"
"DOTA_TutorialTitle_AncientIntro"	"Th' Ancient"
"DOTA_TutorialBody_AncientIntro"	"Th' Ancient be yer crew's most important contraption - if it's destroy'd then yer crew loses. Ye must destroy Th' Dire crew's Ancient t' be victorious."
"DOTA_TutorialTitle_ViewHeroIntro"	"Return t' yer Admiral"
"DOTA_TutorialBody_ViewHeroIntro"	"Ye can snap yer view back t' yer admiral by jabbin' yer portrait or double tappin' F1. Go on Cap'n, do that now t' return yer view t' yer admiral."
"DOTA_TutorialTask_ViewToHero"	"Move yer view back (jab yer portrait)"
"DOTA_TutorialTitle_MapIntro"	"Th' Mini-map"
"DOTA_TutorialBody_MapIntro"	"Thar be a mini-map on th' lower left corner o' yer screen. Yer stronghold (in green) be in th' bottom left corner an' th' enemy stronghold (in red) be in th' top right."
