"lang"
{
"Language"	"pirate"
"Bonus_Map_TC14Advanced"	"Testin' Quarters 14: Advanced"
"[english]Bonus_Map_TC14Advanced"	"Test Chamber 14: Advanced"
"Bonus_Map_TC14AdvancedComment"	"Gettin' to the box be harder and movin' platforms be missin'."
"[english]Bonus_Map_TC14AdvancedComment"	"Getting to the box is harder and the moving platforms are removed."
"Bonus_Map_TC15Advanced"	"Testin' Quarters 15: Advanced"
"[english]Bonus_Map_TC15Advanced"	"Test Chamber 15: Advanced"
"Bonus_Map_TC15AdvancedComment"	"Everything be more difficult to test yar wits 'n know how."
"[english]Bonus_Map_TC15AdvancedComment"	"Everything has been made more difficult to test your reflexes and cognitive problem solving."
"Bonus_Map_TC16Advanced"	"Testin' Quarters 16: Advanced"
"[english]Bonus_Map_TC16Advanced"	"Test Chamber 16: Advanced"
"Bonus_Map_TC16AdvancedComment"	"Turrets be lock'd in treasure chests."
"[english]Bonus_Map_TC16AdvancedComment"	"The turrets are locked in cages."
"Bonus_Map_TC17Advanced"	"Testin' Quarters 17: Advanced"
"[english]Bonus_Map_TC17Advanced"	"Test Chamber 17: Advanced"
"Bonus_Map_TC17AdvancedComment"	"Yer' companion cube now be a ball and it'll take more o' ye' wits to activate th' catchers."
"[english]Bonus_Map_TC17AdvancedComment"	"The companion cube is now a ball and activating the catchers is more complicated."
"Bonus_Map_TC18Advanced"	"Testin' Quarters 18: Advanced"
"[english]Bonus_Map_TC18Advanced"	"Test Chamber 18: Advanced"
"Bonus_Map_TC18AdvancedComment"	"The rooftop be metal and the ball launcher be no more."
"[english]Bonus_Map_TC18AdvancedComment"	"The ceiling is metal and the ball launcher has been removed."
"HL2_Credits_VoicesTitle"	"Jabberin' Souls:"
"[english]HL2_Credits_VoicesTitle"	"Voices:"
"HL2_Credits_Eli"	"Robert Guillaume - Cap'n Eli Vance"
"[english]HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"	"Robert Culp - Cap'n Wallace Breen"
"[english]HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"[english]HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"	"Michelle Forbes - Cap'n Judith Mossman"
"[english]HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"[english]HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"[english]HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"	"Mike Shapiro - Gman"
"[english]HL2_Credits_Gman"	"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"	"Harry S. Robins - Cap'n Isaac Kleiner"
"[english]HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"	"Jim French - Father Grigori"
"[english]HL2_Credits_Grigori"	"Jim French - Father Grigori"
"HL2_Credits_Misc1"	"John Patrick Lowrie - Citizens\\Misc. characters"
"[english]HL2_Credits_Misc1"	"John Patrick Lowrie - Citizens\\Misc. characters"
"HL2_Credits_Misc2"	"Mary Kae Irvin - Citizens\\Misc. characters"
"[english]HL2_Credits_Misc2"	"Mary Kae Irvin - Citizens\\Misc. characters"
"HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"[english]HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"HL2_Credits_VoiceCastingTitle"	"Jabberin' Castin':"
"[english]HL2_Credits_VoiceCastingTitle"	"Voice Casting:"
"HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"[english]HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"HL2_Credits_VoiceRecordingTitle"	"Jabberin' Recordin':"
"[english]HL2_Credits_VoiceRecordingTitle"	"Voice Recording:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"[english]HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"[english]HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"HL2_Credits_VoiceSchedulingTitle"	"Jabberin' recording schedulin' an'... an' logistics:"
"[english]HL2_Credits_VoiceSchedulingTitle"	"Voice recording scheduling and logistics:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"[english]HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"HL2_Credits_LegalTeam"	"Fine Chaps Whom Keep Us From Th' Brig:"
"[english]HL2_Credits_LegalTeam"	"Crack Legal Team:"
"HL2_Credits_FacesThanks"	"A hearty thanks t' these kind souls fer lettin' us borrow their faces:"
"[english]HL2_Credits_FacesThanks"	"Thanks to the following for the use of their faces:"
"HL2_Credits_SpecialThanks"	"An' of course, a hearty thanks t' all ye at:"
"[english]HL2_Credits_SpecialThanks"	"Special thanks to everyone at:"
"PORTAL_GET_PORTALGUNS_NAME"	"Pet Rodent"
"[english]PORTAL_GET_PORTALGUNS_NAME"	"Lab Rat"
"PORTAL_GET_PORTALGUNS_DESC"	"Seize th' fully functionin' Aperture Alchemy Handheld Porthole Cannon."
"[english]PORTAL_GET_PORTALGUNS_DESC"	"Acquire the fully powered Aperture Science Handheld Portal Device."
"PORTAL_ESCAPE_TESTCHAMBERS_NAME"	"Grogdrinker"
"[english]PORTAL_ESCAPE_TESTCHAMBERS_NAME"	"Partygoer"
"PORTAL_ESCAPE_TESTCHAMBERS_DESC"	"Make th' right party escort submission position decision wit' precision."
"[english]PORTAL_ESCAPE_TESTCHAMBERS_DESC"	"Make the correct party escort submission position decision."
"PORTAL_BEAT_GAME_NAME"	"'eartbreaker"
"[english]PORTAL_BEAT_GAME_NAME"	"Heartbreaker"
"PORTAL_BEAT_GAME_DESC"	"Sail through Portal."
"[english]PORTAL_BEAT_GAME_DESC"	"Complete Portal."
"PORTAL_INFINITEFALL_NAME"	"The Ship Can't Handle Any More Velocity, Cap'n"
"[english]PORTAL_INFINITEFALL_NAME"	"Terminal Velocity"
"PORTAL_INFINITEFALL_DESC"	"Fall 6 Leagues."
"[english]PORTAL_INFINITEFALL_DESC"	"Fall 30,000 feet."
"PORTAL_LONGJUMP_NAME"	"Lengthy Leap"
"[english]PORTAL_LONGJUMP_NAME"	"Long Jump"
"PORTAL_LONGJUMP_DESC"	"Soar 300 paces."
"[english]PORTAL_LONGJUMP_DESC"	"Jump 300 feet."
"PORTAL_BEAT_2ADVANCEDMAPS_NAME"	"Sweet Tart"
"[english]PORTAL_BEAT_2ADVANCEDMAPS_NAME"	"Cupcake"
"PORTAL_BEAT_2ADVANCEDMAPS_DESC"	"Ye need t' beat two Portal advanced chambers."
"[english]PORTAL_BEAT_2ADVANCEDMAPS_DESC"	"Beat two Portal advanced maps."
"PORTAL_BEAT_4ADVANCEDMAPS_NAME"	"Fruit Tart"
"[english]PORTAL_BEAT_4ADVANCEDMAPS_NAME"	"Fruitcake"
"PORTAL_BEAT_4ADVANCEDMAPS_DESC"	"Ye need t' beat four Portal advanced chambers."
"[english]PORTAL_BEAT_4ADVANCEDMAPS_DESC"	"Beat four Portal advanced maps."
"PORTAL_BEAT_6ADVANCEDMAPS_NAME"	"Vanilla Crazy Tart"
"[english]PORTAL_BEAT_6ADVANCEDMAPS_NAME"	"Vanilla Crazy Cake"
"PORTAL_BEAT_6ADVANCEDMAPS_DESC"	"Ye need t' beat all six o' the Portal advanced chambers, me hearty."
"[english]PORTAL_BEAT_6ADVANCEDMAPS_DESC"	"Beat all six Portal advanced maps."
"PORTAL_GET_ALLBRONZE_NAME"	"Basic Alchemy"
"[english]PORTAL_GET_ALLBRONZE_NAME"	"Basic Science"
"PORTAL_GET_ALLBRONZE_DESC"	"Take all th' Portal challenge bronze medals."
"[english]PORTAL_GET_ALLBRONZE_DESC"	"Earn bronze medals on all Portal challenges."
"PORTAL_GET_ALLSILVER_NAME"	"Cannon Alchemy"
"[english]PORTAL_GET_ALLSILVER_NAME"	"Rocket Science"
"PORTAL_GET_ALLSILVER_DESC"	"Take all th' Portal challenge silver medals thar be."
"[english]PORTAL_GET_ALLSILVER_DESC"	"Earn silver medals on all Portal challenges."
"PORTAL_GET_ALLGOLD_NAME"	"Aperture Alchemy"
"[english]PORTAL_GET_ALLGOLD_NAME"	"Aperture Science"
"PORTAL_GET_ALLGOLD_DESC"	"Take all th' Portal challenge gold medals thar be t' take."
"[english]PORTAL_GET_ALLGOLD_DESC"	"Earn gold medals on all Portal challenges."
"PORTAL_KILL_COMPANIONCUBE_NAME"	"Mutiny"
"[english]PORTAL_KILL_COMPANIONCUBE_NAME"	"Fratricide"
"PORTAL_KILL_COMPANIONCUBE_DESC"	"Let none take ye alive! Yarr!!"
"[english]PORTAL_KILL_COMPANIONCUBE_DESC"	"Do whatever it takes to survive."
"PORTAL_DETACH_ALL_CAMERAS_NAME"	"Yer Wall Decoration be Ugly"
"[english]PORTAL_DETACH_ALL_CAMERAS_NAME"	"Camera Shy"
"PORTAL_DETACH_ALL_CAMERAS_DESC"	"Take down all of th' security cameras from th' walls."
"[english]PORTAL_DETACH_ALL_CAMERAS_DESC"	"Detach security cameras from the walls."
"PORTAL_HIT_TURRET_WITH_TURRET_NAME"	"Mutiny"
"[english]PORTAL_HIT_TURRET_WITH_TURRET_NAME"	"Friendly Fire"
"PORTAL_HIT_TURRET_WITH_TURRET_DESC"	"Knock down a turret wit' another one o' its kind."
"[english]PORTAL_HIT_TURRET_WITH_TURRET_DESC"	"Knock down a turret with another turret."
"PORTAL_TRANSMISSION_RECEIVED_NAME"	"Transmission Incomin'"
"[english]PORTAL_TRANSMISSION_RECEIVED_NAME"	"Transmission Received"
"PORTAL_TRANSMISSION_RECEIVED_DESC"	"..?"
"[english]PORTAL_TRANSMISSION_RECEIVED_DESC"	"..?"
"portal_lyrics_01"	"This be a mutiny."
"[english]portal_lyrics_01"	"This was a triumph."
"portal_lyrics_02"	"I'm sayin' it right now:"
"[english]portal_lyrics_02"	"I'm making a note here:"
"portal_lyrics_03"	"TREASONOUS SWINE!"
"[english]portal_lyrics_03"	"HUGE SUCCESS."
"portal_lyrics_04"	"Tis hard t' describe just"
"[english]portal_lyrics_04"	"It's hard to overstate"
"portal_lyrics_05"	"how grand I'm feelin'."
"[english]portal_lyrics_05"	"my satisfaction."
"portal_lyrics_06"	"Aperture Alchemy"
"[english]portal_lyrics_06"	"Aperture Science"
"portal_lyrics_07"	"We do what we do"
"[english]portal_lyrics_07"	"We do what we must"
"portal_lyrics_08"	"fer loot"
"[english]portal_lyrics_08"	"because"
"portal_lyrics_09"	"an' fame."
"[english]portal_lyrics_09"	"we can."
"portal_lyrics_10"	"Fer th' gain"
"[english]portal_lyrics_10"	"For the good"
"portal_lyrics_11"	"o' me own crew."
"[english]portal_lyrics_11"	" of all of us."
"portal_lyrics_12"	"Except th' ones who be drunk."
"[english]portal_lyrics_12"	"Except the ones who are dead."
"portal_lyrics_13"	"But thar's no point millin'"
"[english]portal_lyrics_13"	"But there's no sense crying"
"portal_lyrics_14"	"over every purview."
"[english]portal_lyrics_14"	"over every mistake."
"portal_lyrics_15"	"Ye'll just keep on killin'"
"[english]portal_lyrics_15"	"You just keep on trying"
"portal_lyrics_16"	"till ye run out o'"
"[english]portal_lyrics_16"	"till you run out of"
"portal_lyrics_17"	" crew."
"[english]portal_lyrics_17"	" cake."
"portal_lyrics_18"	"An' th' stories get told."
"[english]portal_lyrics_18"	"And the Science gets done."
"portal_lyrics_19"	"An' ye'll find stacks o' gold."
"[english]portal_lyrics_19"	"And you make a neat gun."
"portal_lyrics_20"	"Fer th' pirates who be"
"[english]portal_lyrics_20"	"For the people who are"
"portal_lyrics_21"	"still at sea."
"[english]portal_lyrics_21"	"still alive."
"portal_lyrics_22"	"I ain't even angry."
"[english]portal_lyrics_22"	"I'm not even angry."
"portal_lyrics_23"	"I'm tellin' "
"[english]portal_lyrics_23"	"I'm being "
"portal_lyrics_24"	"true,"
"[english]portal_lyrics_24"	"so"
"portal_lyrics_25"	" I swear"
"[english]portal_lyrics_25"	" sincere "
"portal_lyrics_26"	"t' ye."
"[english]portal_lyrics_26"	"right now."
"portal_lyrics_27"	"Even"
"[english]portal_lyrics_27"	"Even "
"portal_lyrics_28"	"though ye"
"[english]portal_lyrics_28"	"though you "
"portal_lyrics_29"	"sunk"
"[english]portal_lyrics_29"	"broke "
"portal_lyrics_30"	"me ship."
"[english]portal_lyrics_30"	"my heart."
"portal_lyrics_31"	"An'"
"[english]portal_lyrics_31"	"And "
"portal_lyrics_32"	"drowned"
"[english]portal_lyrics_32"	"killed "
"portal_lyrics_33"	"me."
"[english]portal_lyrics_33"	"me."
"portal_lyrics_34"	"An' tore off me peg leg."
"[english]portal_lyrics_34"	"And tore me to pieces."
"portal_lyrics_35"	"An' threw me whole crew"
"[english]portal_lyrics_35"	"And threw every piece"
"portal_lyrics_36"	"into"
"[english]portal_lyrics_36"	"into"
"portal_lyrics_37"	"th' sea."
"[english]portal_lyrics_37"	"a fire."
"portal_lyrics_38"	"As they drowned "
"[english]portal_lyrics_38"	"As they burned "
"portal_lyrics_39"	"I laughed because"
"[english]portal_lyrics_39"	"it hurt because"
"portal_lyrics_40"	"I swam off in me lifeboat!"
"[english]portal_lyrics_40"	"I was so happy for you!"
"portal_lyrics_41"	"Now me hook an' bait"
"[english]portal_lyrics_41"	"Now these points of data"
"portal_lyrics_42"	"catch some really nice fish"
"[english]portal_lyrics_42"	"make a beautiful line."
"portal_lyrics_43"	"An' I caught a big one."
"[english]portal_lyrics_43"	"And we're out of beta."
"portal_lyrics_44"	"So I'll be bloody rich!"
"[english]portal_lyrics_44"	"We're releasing on time."
"portal_lyrics_45"	"So yer mutiny. I forgive."
"[english]portal_lyrics_45"	"So I'm GLaD. I got burned."
"portal_lyrics_46"	"Since yer treason I'll outlive"
"[english]portal_lyrics_46"	"Think of all the things we learned"
"portal_lyrics_47"	"Fer th' pirates who be"
"[english]portal_lyrics_47"	"for the people who are"
"portal_lyrics_48"	"still"
"[english]portal_lyrics_48"	"still"
"portal_lyrics_49"	" at sea."
"[english]portal_lyrics_49"	" alive."
"portal_lyrics_50"	"Keep sailin' on"
"[english]portal_lyrics_50"	"Go ahead and leave "
"portal_lyrics_51"	"wards."
"[english]portal_lyrics_51"	"me."
"portal_lyrics_52"	"Me thinks"
"[english]portal_lyrics_52"	"I think "
"portal_lyrics_53"	"I'd rather "
"[english]portal_lyrics_53"	"I prefer "
"portal_lyrics_54"	"just stay "
"[english]portal_lyrics_54"	"to stay "
"portal_lyrics_55"	"an' "
"[english]portal_lyrics_55"	"in"
"portal_lyrics_56"	"drink."
"[english]portal_lyrics_56"	"side."
"portal_lyrics_57"	"May"
"[english]portal_lyrics_57"	"May"
"portal_lyrics_58"	"be ye'll find some ol' crew"
"[english]portal_lyrics_58"	"be you'll find someone else"
"portal_lyrics_59"	"t' sail with."
"[english]portal_lyrics_59"	"to help you."
"portal_lyrics_60"	"Look fer "
"[english]portal_lyrics_60"	"Maybe "
"portal_lyrics_61"	"Black "
"[english]portal_lyrics_61"	"Black "
"portal_lyrics_62"	"Baron"
"[english]portal_lyrics_62"	"Mesa"
"portal_lyrics_63"	"I'M PULLIN' YER LEG."
"[english]portal_lyrics_63"	"THAT WAS A JOKE."
"portal_lyrics_64"	"TOUGH "
"[english]portal_lyrics_64"	"FAT "
"portal_lyrics_65"	"LUCK."
"[english]portal_lyrics_65"	"CHANCE."
"portal_lyrics_66"	"Anywho"
"[english]portal_lyrics_66"	"Anyway"
"portal_lyrics_67"	", this rum be great."
"[english]portal_lyrics_67"	", this cake is great."
"portal_lyrics_68"	"Tis very groggy an' wet."
"[english]portal_lyrics_68"	"It's so delicious and moist."
"portal_lyrics_69"	"Why am I still singin?"
"[english]portal_lyrics_69"	"Look at me still talking"
"portal_lyrics_70"	"Thar be treasure t' loot."
"[english]portal_lyrics_70"	"when there's Science to do."
"portal_lyrics_71"	"If I saw yer state,"
"[english]portal_lyrics_71"	"When I look out there,"
"portal_lyrics_72"	"I would just give ye th' boot."
"[english]portal_lyrics_72"	"it makes me GLaD I'm not you."
"portal_lyrics_73"	"I've got oceans to sail."
"[english]portal_lyrics_73"	"I've experiments to run."
"portal_lyrics_74"	"An' a big gulp o' me ale."
"[english]portal_lyrics_74"	"There is research to be done."
"portal_lyrics_75"	"Fer th' pirates who be"
"[english]portal_lyrics_75"	"On the people who are"
"portal_lyrics_76"	"still "
"[english]portal_lyrics_76"	"still "
"portal_lyrics_77"	"at sea."
"[english]portal_lyrics_77"	"alive."
"portal_lyrics_78"	"An' just trust me I be"
"[english]portal_lyrics_78"	"And believe me I am"
"portal_lyrics_79"	"still at sea."
"[english]portal_lyrics_79"	"still alive."
"portal_lyrics_80"	"I'm lootin' treasure an' I'm"
"[english]portal_lyrics_80"	"I'm doing Science and I'm"
"portal_lyrics_81"	"still at sea."
"[english]portal_lyrics_81"	"still alive."
"portal_lyrics_82"	"I'm BLOODY DRUNKEN an' I'm"
"[english]portal_lyrics_82"	"I feel FANTASTIC and I'm"
"portal_lyrics_83"	"still at sea."
"[english]portal_lyrics_83"	"still alive."
"portal_lyrics_84"	"While yer sinkin', I'll be"
"[english]portal_lyrics_84"	"While you're dying I'll be"
"portal_lyrics_85"	"still at sea."
"[english]portal_lyrics_85"	"still alive."
"portal_lyrics_86"	"When yer with Jones I will be"
"[english]portal_lyrics_86"	"And when you're dead I will be"
"portal_lyrics_87"	"still at sea."
"[english]portal_lyrics_87"	"still alive."
"portal_lyrics_88"	"STILL AT SEA"
"[english]portal_lyrics_88"	"STILL ALIVE"
}
}
