"lang"
{
"Language"	"japanese"
"Bonus_Map_TC15Advanced"	"テストチェンバー 15: 上級"
"[english]Bonus_Map_TC15Advanced"	"Test Chamber 15: Advanced"
"Bonus_Map_TC15AdvancedComment"	"反射神経と問題解決能力を試すため、すべてが難しくなっている。"
"[english]Bonus_Map_TC15AdvancedComment"	"Everything has been made more difficult to test your reflexes and cognitive problem solving."
"Bonus_Map_TC16Advanced"	"テストチェンバー 16: 上級"
"[english]Bonus_Map_TC16Advanced"	"Test Chamber 16: Advanced"
"Bonus_Map_TC16AdvancedComment"	"タレットがケージにロックされている。"
"[english]Bonus_Map_TC16AdvancedComment"	"The turrets are locked in cages."
"Bonus_Map_TC17Advanced"	"テストチェンバー 17: 上級"
"[english]Bonus_Map_TC17Advanced"	"Test Chamber 17: Advanced"
"Bonus_Map_TC17AdvancedComment"	"コンパニオンキューブがボールになっており、キャッチャーの起動が複雑になっている。"
"[english]Bonus_Map_TC17AdvancedComment"	"The companion cube is now a ball and activating the catchers is more complicated."
"Bonus_Map_TC18Advanced"	"テストチェンバー 18: 上級"
"[english]Bonus_Map_TC18Advanced"	"Test Chamber 18: Advanced"
"Bonus_Map_TC18AdvancedComment"	"天井が金属で、ボール発射装置がなくなっている。"
"[english]Bonus_Map_TC18AdvancedComment"	"The ceiling is metal and the ball launcher has been removed."
"HL2_Credits_VoicesTitle"	"声の出演:"
"[english]HL2_Credits_VoicesTitle"	"Voices:"
"HL2_Credits_Eli"	"Robert Guillaume -  イーライ・バンス博士"
"[english]HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"	"Robert Culp -  ウォレス・ブリーン博士"
"[english]HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - ボーティガンツ"
"[english]HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"	"Michelle Forbes -  ジュディス・モスマン博士"
"[english]HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"	"Merle Dandridge - アリックス・バンス"
"[english]HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"	"Mike Shapiro - バーニィ・カルホーン"
"[english]HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"	"Mike Shapiro - G-Man"
"[english]HL2_Credits_Gman"	"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"	"Harry S. Robins -  アイザック・クライナー博士"
"[english]HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"	"Jim French - グリゴリ神父"
"[english]HL2_Credits_Grigori"	"Jim French - Father Grigori"
"HL2_Credits_Misc1"	"John Patrick Lowrie - 市民\\その他の キャラクター"
"[english]HL2_Credits_Misc1"	"John Patrick Lowrie - Citizens\\Misc. characters"
"HL2_Credits_Misc2"	"Mary Kae Irvin - 市民\\その他の キャラクター"
"[english]HL2_Credits_Misc2"	"Mary Kae Irvin - Citizens\\Misc. characters"
"HL2_Credits_Overwatch"	"Ellen McLain - 監視員"
"[english]HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"HL2_Credits_VoiceCastingTitle"	"配役:"
"[english]HL2_Credits_VoiceCastingTitle"	"Voice Casting:"
"HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"[english]HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"HL2_Credits_VoiceRecordingTitle"	"音声録音:"
"[english]HL2_Credits_VoiceRecordingTitle"	"Voice Recording:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"[english]HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"[english]HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"HL2_Credits_VoiceSchedulingTitle"	"音声録音スケジュールおよび手配:"
"[english]HL2_Credits_VoiceSchedulingTitle"	"Voice recording scheduling and logistics:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"[english]HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"HL2_Credits_LegalTeam"	"Crack Legal Team:"
"[english]HL2_Credits_LegalTeam"	"Crack Legal Team:"
"HL2_Credits_FacesThanks"	"顔のモデル:"
"[english]HL2_Credits_FacesThanks"	"Thanks to the following for the use of their faces:"
"HL2_Credits_SpecialThanks"	"協力:"
"[english]HL2_Credits_SpecialThanks"	"Special thanks to everyone at:"
"PORTAL_GET_PORTALGUNS_NAME"	"実験用ネズミ"
"[english]PORTAL_GET_PORTALGUNS_NAME"	"Lab Rat"
"PORTAL_GET_PORTALGUNS_DESC"	"完全な状態の Aperture Science 携帯用ポータル装置を入手。"
"[english]PORTAL_GET_PORTALGUNS_DESC"	"Acquire the fully powered Aperture Science Handheld Portal Device."
"PORTAL_ESCAPE_TESTCHAMBERS_NAME"	"パーティー出席者"
"[english]PORTAL_ESCAPE_TESTCHAMBERS_NAME"	"Partygoer"
"PORTAL_ESCAPE_TESTCHAMBERS_DESC"	"パーティーにエスコートしてもらえるよう、適切な姿勢をとる。"
"[english]PORTAL_ESCAPE_TESTCHAMBERS_DESC"	"Make the correct party escort submission position decision."
"PORTAL_BEAT_GAME_NAME"	"ハートブレーカー"
"[english]PORTAL_BEAT_GAME_NAME"	"Heartbreaker"
"PORTAL_BEAT_GAME_DESC"	"Portal をクリア。"
"[english]PORTAL_BEAT_GAME_DESC"	"Complete Portal."
"PORTAL_INFINITEFALL_NAME"	"最終速度"
"[english]PORTAL_INFINITEFALL_NAME"	"Terminal Velocity"
"PORTAL_INFINITEFALL_DESC"	"30,000 フィートを落下。"
"[english]PORTAL_INFINITEFALL_DESC"	"Fall 30,000 feet."
"PORTAL_LONGJUMP_NAME"	"ロングジャンプ"
"[english]PORTAL_LONGJUMP_NAME"	"Long Jump"
"PORTAL_LONGJUMP_DESC"	"300 フィートをジャンプ。"
"[english]PORTAL_LONGJUMP_DESC"	"Jump 300 feet."
"PORTAL_BEAT_2ADVANCEDMAPS_NAME"	"カップケーキ"
"[english]PORTAL_BEAT_2ADVANCEDMAPS_NAME"	"Cupcake"
"PORTAL_BEAT_2ADVANCEDMAPS_DESC"	"ポータルの上級マップを 2 つクリア。"
"[english]PORTAL_BEAT_2ADVANCEDMAPS_DESC"	"Beat two Portal advanced maps."
"PORTAL_BEAT_4ADVANCEDMAPS_NAME"	"フルーツケーキ"
"[english]PORTAL_BEAT_4ADVANCEDMAPS_NAME"	"Fruitcake"
"PORTAL_BEAT_4ADVANCEDMAPS_DESC"	"ポータルの上級マップを 4 つクリア。"
"[english]PORTAL_BEAT_4ADVANCEDMAPS_DESC"	"Beat four Portal advanced maps."
"PORTAL_BEAT_6ADVANCEDMAPS_NAME"	"クレイジーバニラケーキ"
"[english]PORTAL_BEAT_6ADVANCEDMAPS_NAME"	"Vanilla Crazy Cake"
"PORTAL_BEAT_6ADVANCEDMAPS_DESC"	"ポータルの上級マップを 6つ すべてクリア。"
"[english]PORTAL_BEAT_6ADVANCEDMAPS_DESC"	"Beat all six Portal advanced maps."
"PORTAL_GET_ALLBRONZE_NAME"	"基礎科学"
"[english]PORTAL_GET_ALLBRONZE_NAME"	"Basic Science"
"PORTAL_GET_ALLBRONZE_DESC"	"すべてのポータルチャレンジでブロンズメダルを獲得。"
"[english]PORTAL_GET_ALLBRONZE_DESC"	"Earn bronze medals on all Portal challenges."
"PORTAL_GET_ALLSILVER_NAME"	"ロケット科学"
"[english]PORTAL_GET_ALLSILVER_NAME"	"Rocket Science"
"PORTAL_GET_ALLSILVER_DESC"	"すべてのポータルチャレンジでシルバーメダルを獲得。"
"[english]PORTAL_GET_ALLSILVER_DESC"	"Earn silver medals on all Portal challenges."
"PORTAL_GET_ALLGOLD_NAME"	"Aperture Science"
"[english]PORTAL_GET_ALLGOLD_NAME"	"Aperture Science"
"PORTAL_GET_ALLGOLD_DESC"	"すべてのポータルチャレンジでゴールドメダルを獲得。"
"[english]PORTAL_GET_ALLGOLD_DESC"	"Earn gold medals on all Portal challenges."
"PORTAL_KILL_COMPANIONCUBE_NAME"	"生存本能"
"[english]PORTAL_KILL_COMPANIONCUBE_NAME"	"Fratricide"
"PORTAL_KILL_COMPANIONCUBE_DESC"	"手段を問わず、生き残る。"
"[english]PORTAL_KILL_COMPANIONCUBE_DESC"	"Do whatever it takes to survive."
"PORTAL_DETACH_ALL_CAMERAS_NAME"	"カメラ嫌い"
"[english]PORTAL_DETACH_ALL_CAMERAS_NAME"	"Camera Shy"
"PORTAL_DETACH_ALL_CAMERAS_DESC"	"壁からセキュリティカメラをとる。"
"[english]PORTAL_DETACH_ALL_CAMERAS_DESC"	"Detach security cameras from the walls."
"PORTAL_HIT_TURRET_WITH_TURRET_NAME"	"同士撃ち"
"[english]PORTAL_HIT_TURRET_WITH_TURRET_NAME"	"Friendly Fire"
"PORTAL_HIT_TURRET_WITH_TURRET_DESC"	"タレットを別のタレットで倒す。"
"[english]PORTAL_HIT_TURRET_WITH_TURRET_DESC"	"Knock down a turret with another turret."
"PORTAL_TRANSMISSION_RECEIVED_NAME"	"電波受信中"
"[english]PORTAL_TRANSMISSION_RECEIVED_NAME"	"Transmission Received"
"PORTAL_TRANSMISSION_RECEIVED_DESC"	"..?"
"[english]PORTAL_TRANSMISSION_RECEIVED_DESC"	"..?"
"portal_lyrics_01"	"よくやりましたね。"
"[english]portal_lyrics_01"	"This was a triumph."
"portal_lyrics_02"	"個人ファイルに書いておきましょう。"
"[english]portal_lyrics_02"	"I'm making a note here:"
"portal_lyrics_03"	"「大成功」と。"
"[english]portal_lyrics_03"	"HUGE SUCCESS."
"portal_lyrics_04"	"私は本当に"
"[english]portal_lyrics_04"	"It's hard to overstate"
"portal_lyrics_05"	"満足しているのですよ。"
"[english]portal_lyrics_05"	"my satisfaction."
"portal_lyrics_06"	"Aperture Science"
"[english]portal_lyrics_06"	"Aperture Science"
"portal_lyrics_07"	"私たちには力があるから、"
"[english]portal_lyrics_07"	"We do what we must"
"portal_lyrics_08"	"すべきことを"
"[english]portal_lyrics_08"	"because"
"portal_lyrics_09"	"やらねばならないのです。"
"[english]portal_lyrics_09"	"we can."
"portal_lyrics_10"	"私たちみんなの"
"[english]portal_lyrics_10"	"For the good"
"portal_lyrics_11"	" ために。"
"[english]portal_lyrics_11"	" of all of us."
"portal_lyrics_12"	"死んだ人々はあきらめましょう。"
"[english]portal_lyrics_12"	"Except the ones who are dead."
"portal_lyrics_13"	"科学の進歩に"
"[english]portal_lyrics_13"	"But there's no sense crying"
"portal_lyrics_14"	"失敗は付き物です。"
"[english]portal_lyrics_14"	"over every mistake."
"portal_lyrics_15"	"ケーキがなくなるまで、"
"[english]portal_lyrics_15"	"You just keep on trying"
"portal_lyrics_16"	"ひたすら試し続けるの"
"[english]portal_lyrics_16"	"till you run out of"
"portal_lyrics_17"	" です。"
"[english]portal_lyrics_17"	" cake."
"portal_lyrics_18"	"科学はそうして進歩していくのです。"
"[english]portal_lyrics_18"	"And the Science gets done."
"portal_lyrics_19"	"そして、すばらしい銃が作られる。"
"[english]portal_lyrics_19"	"And you make a neat gun."
"portal_lyrics_20"	"生きている人たちの"
"[english]portal_lyrics_20"	"For the people who are"
"portal_lyrics_21"	"ために。"
"[english]portal_lyrics_21"	"still alive."
"portal_lyrics_22"	"怒ってなんかいませんよ。"
"[english]portal_lyrics_22"	"I'm not even angry."
"portal_lyrics_23"	"本当です。 "
"[english]portal_lyrics_23"	"I'm being "
"portal_lyrics_24"	"嘘じゃ"
"[english]portal_lyrics_24"	"so"
"portal_lyrics_25"	" ありません。 "
"[english]portal_lyrics_25"	" sincere "
"portal_lyrics_26"	""
"[english]portal_lyrics_26"	"right now."
"portal_lyrics_27"	"あなたは "
"[english]portal_lyrics_27"	"Even "
"portal_lyrics_28"	"私を "
"[english]portal_lyrics_28"	"though you "
"portal_lyrics_29"	"裏切って "
"[english]portal_lyrics_29"	"broke "
"portal_lyrics_30"	"殺し、"
"[english]portal_lyrics_30"	"my heart."
"portal_lyrics_31"	" "
"[english]portal_lyrics_31"	"And "
"portal_lyrics_32"	" "
"[english]portal_lyrics_32"	"killed "
"portal_lyrics_33"	""
"[english]portal_lyrics_33"	"me."
"portal_lyrics_34"	"ばらばらにして、"
"[english]portal_lyrics_34"	"And tore me to pieces."
"portal_lyrics_35"	"火の中に放り込んだ"
"[english]portal_lyrics_35"	"And threw every piece"
"portal_lyrics_36"	"けれど。"
"[english]portal_lyrics_36"	"into"
"portal_lyrics_37"	""
"[english]portal_lyrics_37"	"a fire."
"portal_lyrics_38"	"燃えるのは苦しかったけれど、 "
"[english]portal_lyrics_38"	"As they burned "
"portal_lyrics_39"	"私はあなたの成功が"
"[english]portal_lyrics_39"	"it hurt because"
"portal_lyrics_40"	"うれしかった。"
"[english]portal_lyrics_40"	"I was so happy for you!"
"portal_lyrics_41"	"このデータのおかげで、"
"[english]portal_lyrics_41"	"Now these points of data"
"portal_lyrics_42"	"すばらしいコードができました。"
"[english]portal_lyrics_42"	"make a beautiful line."
"portal_lyrics_43"	"ベータは終了、"
"[english]portal_lyrics_43"	"And we're out of beta."
"portal_lyrics_44"	"予定通りのリリースです。"
"[english]portal_lyrics_44"	"We're releasing on time."
"portal_lyrics_45"	"だから、私は 燃やされてよかった。"
"[english]portal_lyrics_45"	"So I'm GLaD. I got burned."
"portal_lyrics_46"	"たくさんのことが分かったのですから。"
"[english]portal_lyrics_46"	"Think of all the things we learned"
"portal_lyrics_47"	"生きている人たちの"
"[english]portal_lyrics_47"	"for the people who are"
"portal_lyrics_48"	"ために。"
"[english]portal_lyrics_48"	"still"
"portal_lyrics_49"	" "
"[english]portal_lyrics_49"	" alive."
"portal_lyrics_50"	"さあ、 "
"[english]portal_lyrics_50"	"Go ahead and leave "
"portal_lyrics_51"	"お行きなさい。"
"[english]portal_lyrics_51"	"me."
"portal_lyrics_52"	"私は "
"[english]portal_lyrics_52"	"I think "
"portal_lyrics_53"	"ここに "
"[english]portal_lyrics_53"	"I prefer "
"portal_lyrics_54"	"残ります。 "
"[english]portal_lyrics_54"	"to stay "
"portal_lyrics_55"	""
"[english]portal_lyrics_55"	"in"
"portal_lyrics_56"	""
"[english]portal_lyrics_56"	"side."
"portal_lyrics_57"	"誰か"
"[english]portal_lyrics_57"	"May"
"portal_lyrics_58"	"あなたの力になってくれる人が"
"[english]portal_lyrics_58"	"be you'll find someone else"
"portal_lyrics_59"	"現れるでしょう。"
"[english]portal_lyrics_59"	"to help you."
"portal_lyrics_60"	"ブラック・メサ "
"[english]portal_lyrics_60"	"Maybe "
"portal_lyrics_61"	"かも "
"[english]portal_lyrics_61"	"Black "
"portal_lyrics_62"	"しれないけれど。"
"[english]portal_lyrics_62"	"Mesa"
"portal_lyrics_63"	"冗談ですよ。"
"[english]portal_lyrics_63"	"THAT WAS A JOKE."
"portal_lyrics_64"	"そんなことは "
"[english]portal_lyrics_64"	"FAT "
"portal_lyrics_65"	"まずないでしょう。"
"[english]portal_lyrics_65"	"CHANCE."
"portal_lyrics_66"	"ともあれ、"
"[english]portal_lyrics_66"	"Anyway"
"portal_lyrics_67"	"このケーキは絶品です。"
"[english]portal_lyrics_67"	", this cake is great."
"portal_lyrics_68"	"しっとりとして、すばらしい味です。"
"[english]portal_lyrics_68"	"It's so delicious and moist."
"portal_lyrics_69"	"おやおや、私は仕事をそっちのけにして"
"[english]portal_lyrics_69"	"Look at me still talking"
"portal_lyrics_70"	"おしゃべりしていますね。"
"[english]portal_lyrics_70"	"when there's Science to do."
"portal_lyrics_71"	"外の様子を知ると、"
"[english]portal_lyrics_71"	"When I look out there,"
"portal_lyrics_72"	"あなたでなくてよかったと思います。"
"[english]portal_lyrics_72"	"it makes me GLaD I'm not you."
"portal_lyrics_73"	"さあ、実験をしなくては。"
"[english]portal_lyrics_73"	"I've experiments to run."
"portal_lyrics_74"	"生きている人たちについて、"
"[english]portal_lyrics_74"	"There is research to be done."
"portal_lyrics_75"	"リサーチを"
"[english]portal_lyrics_75"	"On the people who are"
"portal_lyrics_76"	"続けなくては。 "
"[english]portal_lyrics_76"	"still "
"portal_lyrics_77"	""
"[english]portal_lyrics_77"	"alive."
"portal_lyrics_78"	"私はまだ"
"[english]portal_lyrics_78"	"And believe me I am"
"portal_lyrics_79"	"生きています。"
"[english]portal_lyrics_79"	"still alive."
"portal_lyrics_80"	"私は生きて"
"[english]portal_lyrics_80"	"I'm doing Science and I'm"
"portal_lyrics_81"	"科学の進歩を押し進めています。"
"[english]portal_lyrics_81"	"still alive."
"portal_lyrics_82"	"私は生きています。"
"[english]portal_lyrics_82"	"I feel FANTASTIC and I'm"
"portal_lyrics_83"	"すばらしい気分です。"
"[english]portal_lyrics_83"	"still alive."
"portal_lyrics_84"	"あなたが死にそうになっても、"
"[english]portal_lyrics_84"	"While you're dying I'll be"
"portal_lyrics_85"	"私は生きています。"
"[english]portal_lyrics_85"	"still alive."
"portal_lyrics_86"	"あなたが死んだ後も、"
"[english]portal_lyrics_86"	"And when you're dead I will be"
"portal_lyrics_87"	"私は生き続けます。"
"[english]portal_lyrics_87"	"still alive."
"portal_lyrics_88"	"いつまでも。"
"[english]portal_lyrics_88"	"STILL ALIVE"
}
}
