"lang"
{
"Language"	"greek"
"Bonus_Map_TC14Challenges"	"Θάλαμος δοκιμών 14: Προκλήσεις"
"[english]Bonus_Map_TC14Challenges"	"Test Chamber 14: Challenges"
"Bonus_Map_TC15Challenges"	"Θάλαμος δοκιμών 15: Προκλήσεις"
"[english]Bonus_Map_TC15Challenges"	"Test Chamber 15: Challenges"
"Bonus_Map_TC16Challenges"	"Θάλαμος δοκιμών 16: Προκλήσεις"
"[english]Bonus_Map_TC16Challenges"	"Test Chamber 16: Challenges"
"Bonus_Map_TC17Challenges"	"Θάλαμος δοκιμών 17: Προκλήσεις"
"[english]Bonus_Map_TC17Challenges"	"Test Chamber 17: Challenges"
"Bonus_Map_TC18Challenges"	"Θάλαμος δοκιμών 18: Προκλήσεις"
"[english]Bonus_Map_TC18Challenges"	"Test Chamber 18: Challenges"
"Bonus_Map_ChallengePortals"	"Λιγότερες πύλες"
"[english]Bonus_Map_ChallengePortals"	"Least Portals"
"Bonus_Map_LeastPortalsComment"	"Χρησιμοποιήστε όσο το δυνατό λιγότερες πύλες!"
"[english]Bonus_Map_LeastPortalsComment"	"Use as few portals as possible!"
"Bonus_Map_ChallengeSteps"	"Λιγότερα βήματα"
"[english]Bonus_Map_ChallengeSteps"	"Least Steps"
"Bonus_Map_LeastStepsComment"	"Κάντε όσο το δυνατό λιγότερα βήματα!"
"[english]Bonus_Map_LeastStepsComment"	"Take as few footsteps as possible!"
"Bonus_Map_ChallengeTime"	"Λιγότερος χρόνος"
"[english]Bonus_Map_ChallengeTime"	"Least Time"
"Bonus_Map_LeastTimeComment"	"Φτάστε στο τέλος όσο το δυνατό πιο γρήγορα!"
"[english]Bonus_Map_LeastTimeComment"	"Reach the end as fast as possible!"
"Bonus_Map_AdvancedChambers"	"Προχωρημένοι θάλαμοι"
"[english]Bonus_Map_AdvancedChambers"	"Advanced Chambers"
"Bonus_Map_AdvancedChambersComment"	"Αυτοί οι θάλαμοι δοκιμών έχουν αλλάξει για να είναι πιο δύσκολοι!"
"[english]Bonus_Map_AdvancedChambersComment"	"The test chambers have been twisted to be more advanced!"
"Bonus_Map_TC13Advanced"	"Θάλαμος δοκιμών 13: Προχωρημένος"
"[english]Bonus_Map_TC13Advanced"	"Test Chamber 13: Advanced"
"Bonus_Map_TC13AdvancedComment"	"Το πάτωμα έχει τοξικό υγρό και υπάρχει μόνο ένα κουτί."
"[english]Bonus_Map_TC13AdvancedComment"	"The floor is goo and there's only one box."
"Bonus_Map_TC14Advanced"	"Θάλαμος δοκιμών 14: Προχωρημένος"
"[english]Bonus_Map_TC14Advanced"	"Test Chamber 14: Advanced"
"Bonus_Map_TC14AdvancedComment"	"Το να πάτε στο κουτί είναι δυσκολότερο και οι κινούμενες εξέδρες έχουν αφαιρεθεί."
"[english]Bonus_Map_TC14AdvancedComment"	"Getting to the box is harder and the moving platforms are removed."
"Bonus_Map_TC15Advanced"	"Θάλαμος δοκιμών 15: Προχωρημένος"
"[english]Bonus_Map_TC15Advanced"	"Test Chamber 15: Advanced"
"Bonus_Map_TC15AdvancedComment"	"Τα πάντα έχουν γίνει πιο δύσκολα για να δοκιμαστούν τα αντανακλαστικά σας και η γνωστική ικανότητά σας στην επίλυση προβλημάτων."
"[english]Bonus_Map_TC15AdvancedComment"	"Everything has been made more difficult to test your reflexes and cognitive problem solving."
"Bonus_Map_TC16Advanced"	"Θάλαμος δοκιμών 16: Προχωρημένος"
"[english]Bonus_Map_TC16Advanced"	"Test Chamber 16: Advanced"
"Bonus_Map_TC16AdvancedComment"	"Τα ταχυβόλα είναι κλειδωμένα στα κλουβιά."
"[english]Bonus_Map_TC16AdvancedComment"	"The turrets are locked in cages."
"Bonus_Map_TC17Advanced"	"Θάλαμος δοκιμών 17: Προχωρημένος"
"[english]Bonus_Map_TC17Advanced"	"Test Chamber 17: Advanced"
"Bonus_Map_TC17AdvancedComment"	"Ο κύβος συντροφιάς είναι πλέον μια σφαίρα και η ενεργοποίηση των συλλεκτών πολυπλοκότερη."
"[english]Bonus_Map_TC17AdvancedComment"	"The companion cube is now a ball and activating the catchers is more complicated."
"Bonus_Map_TC18Advanced"	"Θάλαμος δοκιμών 18: Προχωρημένος"
"[english]Bonus_Map_TC18Advanced"	"Test Chamber 18: Advanced"
"Bonus_Map_TC18AdvancedComment"	"Η οροφή είναι μεταλλική και ο εκτοξευτήρας σφαιρών έχει αφαιρεθεί."
"[english]Bonus_Map_TC18AdvancedComment"	"The ceiling is metal and the ball launcher has been removed."
"HL2_Credits_VoicesTitle"	"Ακούγονται:"
"[english]HL2_Credits_VoicesTitle"	"Voices:"
"HL2_Credits_Eli"	"Robert Guillaume - Δρ. Eli Vance"
"[english]HL2_Credits_Eli"	"Robert Guillaume - Dr. Eli Vance"
"HL2_Credits_Breen"	"Robert Culp - Δρ. Wallace Breen"
"[english]HL2_Credits_Breen"	"Robert Culp - Dr. Wallace Breen"
"HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"[english]HL2_Credits_Vortigaunt"	"Lou Gossett, Jr. - Vortigaunt"
"HL2_Credits_Mossman"	"Michelle Forbes - Δρ. Judith Mossman"
"[english]HL2_Credits_Mossman"	"Michelle Forbes - Dr. Judith Mossman"
"HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"[english]HL2_Credits_Alyx"	"Merle Dandridge - Alyx Vance"
"HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"[english]HL2_Credits_Barney"	"Mike Shapiro - Barney Calhoun"
"HL2_Credits_Gman"	"Mike Shapiro - Gman"
"[english]HL2_Credits_Gman"	"Mike Shapiro - Gman"
"HL2_Credits_Kleiner"	"Harry S. Robins - Δρ. Isaac Kleiner"
"[english]HL2_Credits_Kleiner"	"Harry S. Robins - Dr. Isaac Kleiner"
"HL2_Credits_Grigori"	"Jim French - Πάτερ Grigori"
"[english]HL2_Credits_Grigori"	"Jim French - Father Grigori"
"HL2_Credits_Misc1"	"John Patrick Lowrie - Πολίτες\\Λοιποί χαρακτήρες"
"[english]HL2_Credits_Misc1"	"John Patrick Lowrie - Citizens\\Misc. characters"
"HL2_Credits_Misc2"	"Mary Kae Irvin - Πολίτες\\Λοιποί χαρακτήρες"
"[english]HL2_Credits_Misc2"	"Mary Kae Irvin - Citizens\\Misc. characters"
"HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"[english]HL2_Credits_Overwatch"	"Ellen McLain - Overwatch"
"HL2_Credits_VoiceCastingTitle"	"Διανομή ρόλων:"
"[english]HL2_Credits_VoiceCastingTitle"	"Voice Casting:"
"HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"[english]HL2_Credits_VoiceCastingText"	"Shana Landsburg\\Teri Fiddleman"
"HL2_Credits_VoiceRecordingTitle"	"Φωνητική ηχογράφηση:"
"[english]HL2_Credits_VoiceRecordingTitle"	"Voice Recording:"
"HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"[english]HL2_Credits_VoiceRecordingText1"	"Pure Audio, Seattle, WA"
"HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"[english]HL2_Credits_VoiceRecordingText2"	"LA Studios, LA, CA"
"HL2_Credits_VoiceSchedulingTitle"	"Προγραμματισμός φωνητικής ηχογράφησης και επιμέλεια ήχου:"
"[english]HL2_Credits_VoiceSchedulingTitle"	"Voice recording scheduling and logistics:"
"HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"[english]HL2_Credits_VoiceSchedulingText"	"Pat Cockburn, Pure Audio"
"HL2_Credits_LegalTeam"	"Νομική ομάδα:"
"[english]HL2_Credits_LegalTeam"	"Crack Legal Team:"
"HL2_Credits_FacesThanks"	"Ευχαριστούμε τους παρακάτω για τη χρήση των προσώπων τους:"
"[english]HL2_Credits_FacesThanks"	"Thanks to the following for the use of their faces:"
"HL2_Credits_SpecialThanks"	"Ειδικές ευχαριστίες σε όλους στα:"
"[english]HL2_Credits_SpecialThanks"	"Special thanks to everyone at:"
"PORTAL_GET_PORTALGUNS_NAME"	"Πειραματόζωο"
"[english]PORTAL_GET_PORTALGUNS_NAME"	"Lab Rat"
"PORTAL_GET_PORTALGUNS_DESC"	"Αποκτήστε την πλήρως λειτουργική συσκευή χειρός διάνοιξης πυλών της Aperture Science."
"[english]PORTAL_GET_PORTALGUNS_DESC"	"Acquire the fully powered Aperture Science Handheld Portal Device."
"PORTAL_ESCAPE_TESTCHAMBERS_NAME"	"Partygoer"
"[english]PORTAL_ESCAPE_TESTCHAMBERS_NAME"	"Partygoer"
"PORTAL_ESCAPE_TESTCHAMBERS_DESC"	"Πάρτε τη σωστή απόφαση σχετικά με την υποβολή της στάσης για τη συνοδεία στο πάρτι."
"[english]PORTAL_ESCAPE_TESTCHAMBERS_DESC"	"Make the correct party escort submission position decision."
"PORTAL_BEAT_GAME_NAME"	"Heartbreaker"
"[english]PORTAL_BEAT_GAME_NAME"	"Heartbreaker"
"PORTAL_BEAT_GAME_DESC"	"Ολοκληρώστε το Portal."
"[english]PORTAL_BEAT_GAME_DESC"	"Complete Portal."
"PORTAL_INFINITEFALL_NAME"	"Terminal Velocity"
"[english]PORTAL_INFINITEFALL_NAME"	"Terminal Velocity"
"PORTAL_INFINITEFALL_DESC"	"Πέστε 9.000 μέτρα."
"[english]PORTAL_INFINITEFALL_DESC"	"Fall 30,000 feet."
"PORTAL_LONGJUMP_NAME"	"Long Jump"
"[english]PORTAL_LONGJUMP_NAME"	"Long Jump"
"PORTAL_LONGJUMP_DESC"	"Πραγματοποιήστε άλμα 90 μέτρων."
"[english]PORTAL_LONGJUMP_DESC"	"Jump 300 feet."
"PORTAL_BEAT_2ADVANCEDMAPS_NAME"	"Cupcake"
"[english]PORTAL_BEAT_2ADVANCEDMAPS_NAME"	"Cupcake"
"PORTAL_BEAT_2ADVANCEDMAPS_DESC"	"Ολοκληρώστε επιτυχώς δύο πίστες προχωρημένου επιπέδου στο Portal."
"[english]PORTAL_BEAT_2ADVANCEDMAPS_DESC"	"Beat two Portal advanced maps."
"PORTAL_BEAT_4ADVANCEDMAPS_NAME"	"Fruitcake"
"[english]PORTAL_BEAT_4ADVANCEDMAPS_NAME"	"Fruitcake"
"PORTAL_BEAT_4ADVANCEDMAPS_DESC"	"Ολοκληρώστε επιτυχώς τέσσερις πίστες προχωρημένου επιπέδου στο Portal."
"[english]PORTAL_BEAT_4ADVANCEDMAPS_DESC"	"Beat four Portal advanced maps."
"PORTAL_BEAT_6ADVANCEDMAPS_NAME"	"Vanilla Crazy Cake"
"[english]PORTAL_BEAT_6ADVANCEDMAPS_NAME"	"Vanilla Crazy Cake"
"PORTAL_BEAT_6ADVANCEDMAPS_DESC"	"Ολοκληρώστε επιτυχώς και τις έξι πίστες προχωρημένου επιπέδου στο Portal."
"[english]PORTAL_BEAT_6ADVANCEDMAPS_DESC"	"Beat all six Portal advanced maps."
"PORTAL_GET_ALLBRONZE_NAME"	"Basic Science"
"[english]PORTAL_GET_ALLBRONZE_NAME"	"Basic Science"
"PORTAL_GET_ALLBRONZE_DESC"	"Κερδίστε χάλκινα μετάλλια σε όλες τις δοκιμασίες στο Portal."
"[english]PORTAL_GET_ALLBRONZE_DESC"	"Earn bronze medals on all Portal challenges."
"PORTAL_GET_ALLSILVER_NAME"	"Rocket Science"
"[english]PORTAL_GET_ALLSILVER_NAME"	"Rocket Science"
"PORTAL_GET_ALLSILVER_DESC"	"Κερδίστε ασημένια μετάλλια σε όλες τις δοκιμασίες στο Portal."
"[english]PORTAL_GET_ALLSILVER_DESC"	"Earn silver medals on all Portal challenges."
"PORTAL_GET_ALLGOLD_NAME"	"Aperture Science"
"[english]PORTAL_GET_ALLGOLD_NAME"	"Aperture Science"
"PORTAL_GET_ALLGOLD_DESC"	"Κερδίστε χρυσά μετάλλια σε όλες τις δοκιμασίες στο Portal."
"[english]PORTAL_GET_ALLGOLD_DESC"	"Earn gold medals on all Portal challenges."
"PORTAL_KILL_COMPANIONCUBE_NAME"	"Fratricide"
"[english]PORTAL_KILL_COMPANIONCUBE_NAME"	"Fratricide"
"PORTAL_KILL_COMPANIONCUBE_DESC"	"Κάντε ό,τι χρειάζεται για να επιζήσετε."
"[english]PORTAL_KILL_COMPANIONCUBE_DESC"	"Do whatever it takes to survive."
"PORTAL_DETACH_ALL_CAMERAS_NAME"	"Camera Shy"
"[english]PORTAL_DETACH_ALL_CAMERAS_NAME"	"Camera Shy"
"PORTAL_DETACH_ALL_CAMERAS_DESC"	"Ξεχαρβαλώστε τις κάμερες ασφαλείας από τους τοίχους."
"[english]PORTAL_DETACH_ALL_CAMERAS_DESC"	"Detach security cameras from the walls."
"PORTAL_HIT_TURRET_WITH_TURRET_NAME"	"Φίλια πυρά"
"[english]PORTAL_HIT_TURRET_WITH_TURRET_NAME"	"Friendly Fire"
"PORTAL_HIT_TURRET_WITH_TURRET_DESC"	"Ρίξτε κάτω ένα ταχυβόλο με ένα άλλο ταχυβόλο."
"[english]PORTAL_HIT_TURRET_WITH_TURRET_DESC"	"Knock down a turret with another turret."
"PORTAL_TRANSMISSION_RECEIVED_NAME"	"Transmission Received"
"[english]PORTAL_TRANSMISSION_RECEIVED_NAME"	"Transmission Received"
"PORTAL_TRANSMISSION_RECEIVED_DESC"	"..;"
"[english]PORTAL_TRANSMISSION_RECEIVED_DESC"	"..?"
"portal_lyrics_01"	"Αυτός ήταν ένας θρίαμβος."
"[english]portal_lyrics_01"	"This was a triumph."
"portal_lyrics_02"	"Κάνω ένα σημείωμα εδώ:"
"[english]portal_lyrics_02"	"I'm making a note here:"
"portal_lyrics_03"	"ΜΕΓΑΛΗ ΕΠΙΤΥΧΙΑ."
"[english]portal_lyrics_03"	"HUGE SUCCESS."
"portal_lyrics_04"	"Είναι δύσκολο να εκφράσω"
"[english]portal_lyrics_04"	"It's hard to overstate"
"portal_lyrics_05"	"την ικανοποίησή μου."
"[english]portal_lyrics_05"	"my satisfaction."
"portal_lyrics_06"	"Aperture Science"
"[english]portal_lyrics_06"	"Aperture Science"
"portal_lyrics_07"	"Κάνουμε αυτό που πρέπει"
"[english]portal_lyrics_07"	"We do what we must"
"portal_lyrics_08"	"επειδή"
"[english]portal_lyrics_08"	"because"
"portal_lyrics_09"	"μπορούμε."
"[english]portal_lyrics_09"	"we can."
"portal_lyrics_10"	"Για το καλό"
"[english]portal_lyrics_10"	"For the good"
"portal_lyrics_11"	" όλων μας."
"[english]portal_lyrics_11"	" of all of us."
"portal_lyrics_12"	"Εκτός από αυτούς που είναι νεκροί."
"[english]portal_lyrics_12"	"Except the ones who are dead."
"portal_lyrics_13"	"Αλλά δεν έχει νόημα να κλαις"
"[english]portal_lyrics_13"	"But there's no sense crying"
"portal_lyrics_14"	"για κάθε λάθος."
"[english]portal_lyrics_14"	"over every mistake."
"portal_lyrics_15"	"Απλά συνέχισε να προσπαθείς"
"[english]portal_lyrics_15"	"You just keep on trying"
"portal_lyrics_16"	"μέχρι να τελειώσει"
"[english]portal_lyrics_16"	"till you run out of"
"portal_lyrics_17"	"η τούρτα σου."
"[english]portal_lyrics_17"	" cake."
"portal_lyrics_18"	"Και η Επιστήμη ολοκληρώνεται."
"[english]portal_lyrics_18"	"And the Science gets done."
"portal_lyrics_19"	"Και φτιάχνεις ένα ωραίο όπλο."
"[english]portal_lyrics_19"	"And you make a neat gun."
"portal_lyrics_20"	"Για τους ανθρώπους που είναι"
"[english]portal_lyrics_20"	"For the people who are"
"portal_lyrics_21"	"ακόμα ζωντανοί."
"[english]portal_lyrics_21"	"still alive."
"portal_lyrics_22"	"Δεν είμαι καν θυμωμένη."
"[english]portal_lyrics_22"	"I'm not even angry."
"portal_lyrics_23"	"Είμαι"
"[english]portal_lyrics_23"	"I'm being "
"portal_lyrics_24"	"τόσο"
"[english]portal_lyrics_24"	"so"
"portal_lyrics_25"	"ειλικρινής"
"[english]portal_lyrics_25"	" sincere "
"portal_lyrics_26"	"αυτή τη στιγμή."
"[english]portal_lyrics_26"	"right now."
"portal_lyrics_27"	"Ακόμα"
"[english]portal_lyrics_27"	"Even "
"portal_lyrics_28"	"κι αν"
"[english]portal_lyrics_28"	"though you "
"portal_lyrics_29"	"μου έσπασες"
"[english]portal_lyrics_29"	"broke "
"portal_lyrics_30"	"την καρδιά."
"[english]portal_lyrics_30"	"my heart."
"portal_lyrics_31"	"και"
"[english]portal_lyrics_31"	"And "
"portal_lyrics_32"	"με"
"[english]portal_lyrics_32"	"killed "
"portal_lyrics_33"	"σκότωσες."
"[english]portal_lyrics_33"	"me."
"portal_lyrics_34"	"Και με έκανες κομμάτια."
"[english]portal_lyrics_34"	"And tore me to pieces."
"portal_lyrics_35"	"Και πέταξες κάθε κομμάτι"
"[english]portal_lyrics_35"	"And threw every piece"
"portal_lyrics_36"	"στη"
"[english]portal_lyrics_36"	"into"
"portal_lyrics_37"	"φωτιά."
"[english]portal_lyrics_37"	"a fire."
"portal_lyrics_38"	"Καθώς καίγονταν"
"[english]portal_lyrics_38"	"As they burned "
"portal_lyrics_39"	"πονούσε επειδή"
"[english]portal_lyrics_39"	"it hurt because"
"portal_lyrics_40"	"ήμουν τόσο χαρούμενη για σένα!"
"[english]portal_lyrics_40"	"I was so happy for you!"
"portal_lyrics_41"	"Τώρα αυτά τα δεδομένα"
"[english]portal_lyrics_41"	"Now these points of data"
"portal_lyrics_42"	"κάνουν μια όμορφη γραμμή."
"[english]portal_lyrics_42"	"make a beautiful line."
"portal_lyrics_43"	"Και βγήκαμε από τη δοκιμαστική έκδοση."
"[english]portal_lyrics_43"	"And we're out of beta."
"portal_lyrics_44"	"Εκδίδουμε στην ώρα μας."
"[english]portal_lyrics_44"	"We're releasing on time."
"portal_lyrics_45"	"Και έτσι είμαι χαρούμενη (GLaD) που κάηκα."
"[english]portal_lyrics_45"	"So I'm GLaD. I got burned."
"portal_lyrics_46"	"Σκέψου όλα τα πράγματα που μάθαμε"
"[english]portal_lyrics_46"	"Think of all the things we learned"
"portal_lyrics_47"	"για τους ανθρώπους που είναι"
"[english]portal_lyrics_47"	"for the people who are"
"portal_lyrics_48"	"ακόμα"
"[english]portal_lyrics_48"	"still"
"portal_lyrics_49"	"ζωντανοί."
"[english]portal_lyrics_49"	" alive."
"portal_lyrics_50"	"Άντε λοιπόν άφησέ"
"[english]portal_lyrics_50"	"Go ahead and leave "
"portal_lyrics_51"	"με."
"[english]portal_lyrics_51"	"me."
"portal_lyrics_52"	"Νομίζω"
"[english]portal_lyrics_52"	"I think "
"portal_lyrics_53"	"ότι προτιμώ"
"[english]portal_lyrics_53"	"I prefer "
"portal_lyrics_54"	"να"
"[english]portal_lyrics_54"	"to stay "
"portal_lyrics_55"	"μείνω"
"[english]portal_lyrics_55"	"in"
"portal_lyrics_56"	"μέσα."
"[english]portal_lyrics_56"	"side."
"portal_lyrics_57"	"Μπορεί"
"[english]portal_lyrics_57"	"May"
"portal_lyrics_58"	"να βρεις κάποιον άλλο"
"[english]portal_lyrics_58"	"be you'll find someone else"
"portal_lyrics_59"	"να σε βοηθήσει."
